"","FC","log2(FC)","raw.pval","-log10(p)"
"175.1197 / 1.43  MH",3.6615,1.8724,4.9712e-06,5.3035
"204.0683 / 11.45",24.104,4.5912,4.999e-06,5.3011
"174.0573 / 11.45",23.94,4.5814,4.999e-06,5.3011
"571.1296 / 10.27",0.0025317,-8.6257,5.0565e-06,5.2961
"174.0782 / 3.84  M-H-",14.442,3.8522,5.3194e-06,5.2741
"282.1005 / 9.44",23.399,4.5484,5.3906e-06,5.2684
"258.1814 / 1.04  MH",0.0036155,-8.1116,5.6907e-06,5.2448
"590.1251 / 10.47",0.010712,-6.5446,5.6907e-06,5.2448
"243.1352 / 2.73  MH",0.0016136,-9.2755,5.8822e-06,5.2305
"250.0716 / 11.49",22.269,4.4769,6.0274e-06,5.2199
"257.1027 / 3.23  2MNa-2H-",3.8565,1.9473,6.0824e-06,5.2159
"573.1178 / 12.20",0.0021028,-8.8935,6.1562e-06,5.2107
"589.1116 / 10.48",0.0073031,-7.0973,6.1562e-06,5.2107
"227.1397 / 4.96",6.2966e-06,-17.277,6.2087e-06,5.207
"525.7338 / 17.63  M2H2",1.7597e-05,-15.794,6.2087e-06,5.207
"522.2210 / 17.20  M-2H2-",4.3957e-05,-14.474,6.2087e-06,5.207
"429.2394 / 6.82  MHNH42",5.0534e-05,-14.272,6.2087e-06,5.207
"408.1768 / 11.47  M-H-",6.2246e-05,-13.972,6.2087e-06,5.207
"336.1535 / 11.98  MNa",6.7194e-05,-13.861,6.2087e-06,5.207
"606.6544 / 18.52  M3H3",8.2395e-05,-13.567,6.2087e-06,5.207
"690.3213 / 19.36  M-2H2-",9.5395e-05,-13.356,6.2087e-06,5.207
"443.1889 / 3.63",9.9269e-05,-13.298,6.2087e-06,5.207
"482.7590 / 8.92",0.00010763,-13.182,6.2087e-06,5.207
"697.7069 / 18.75  M5H5",0.00011785,-13.051,6.2087e-06,5.207
"872.6324 / 18.79",0.00011833,-13.045,6.2087e-06,5.207
"500.2349 / 8.31",0.00012765,-12.935,6.2087e-06,5.207
"435.1868 / 13.02  MNa-2H-",0.00015738,-12.633,6.2087e-06,5.207
"872.8851 / 18.82",0.00016829,-12.537,6.2087e-06,5.207
"516.2340 / 15.66",0.00019142,-12.351,6.2087e-06,5.207
"483.2599 / 8.96",0.0001928,-12.341,6.2087e-06,5.207
"651.2652 / 14.68",0.00024459,-11.997,6.2087e-06,5.207
"589.1401 / 7.41",0.0002536,-11.945,6.2087e-06,5.207
"560.2801 / 18.73  M3H3",0.00031505,-11.632,6.2087e-06,5.207
"326.1237 / 2.29",6.9008,2.7868,7.2102e-06,5.1421
"346.2080 / 22.30",5.2368,2.3887,7.2256e-06,5.1411
"421.1888 / 22.30",4.3477,2.1202,7.2256e-06,5.1411
"245.1872 / 6.84  MH",0.00016295,-12.583,7.4827e-06,5.1259
"314.1142 / 15.17",0.0034356,-8.1852,7.4827e-06,5.1259
"248.0584 / 11.45",15.337,3.9389,7.7393e-06,5.1113
"227.9731 / 1.80",0.13047,-2.9382,8.0389e-06,5.0948
"263.1674 / 22.15",4.2424,2.0849,8.0389e-06,5.0948
"189.0774 / 11.25",44.258,5.4679,8.3721e-06,5.0772
"307.1294 / 4.91",7.4491,2.8971,8.5117e-06,5.07
"158.0832 / 9.93",5.7664,2.5277,8.5295e-06,5.0691
"344.1341 / 2.29",7.24,2.856,8.6734e-06,5.0618
"262.1835 / 19.21",22.356,4.4826,8.7799e-06,5.0565
"203.0832 / 14.04",575.5,9.1687,9.3076e-06,5.0312
"245.2346 / 1.00",0.0040401,-7.9514,9.3139e-06,5.0309
"284.1127 / 9.44",20.183,4.3351,9.5048e-06,5.0221
"572.1156 / 12.18",0.0041034,-7.9289,9.5254e-06,5.0211
"588.1083 / 10.48",0.0081191,-6.9445,9.5254e-06,5.0211
"277.1444 / 22.51",0.12884,-2.9564,9.5272e-06,5.021
"342.1187 / 2.29",7.9733,2.9952,1.0375e-05,4.984
"220.1178 / 1.62",9.0247,3.1739,1.0439e-05,4.9813
"140.0694 / 1.53",2.4379,1.2856,1.0439e-05,4.9813
"217.0040 / 1.14  M-H-",0.12867,-2.9582,1.0561e-05,4.9763
"220.9961 / 1.03",0.13501,-2.8889,1.0561e-05,4.9763
"585.1880 / 22.62",5.0469,2.3354,1.0561e-05,4.9763
"270.9597 / 1.79",4.2434,2.0852,1.0561e-05,4.9763
"158.1191 / 6.36",3.5249,1.8176,1.0561e-05,4.9763
"524.2388 / 17.21  M2H2",0.00012359,-12.982,1.0616e-05,4.974
"572.3040 / 12.82  M3H3",0.00017422,-12.487,1.0616e-05,4.974
"390.1884 / 4.58  MCH3OHH",0.00021592,-12.177,1.0616e-05,4.974
"410.1929 / 11.48",0.00022562,-12.114,1.0616e-05,4.974
"314.1716 / 11.98  MH",0.00041121,-11.248,1.0616e-05,4.974
"319.1087 / 8.81  MNa",0.0061269,-7.3506,1.1e-05,4.9586
"272.1109 / 7.31  MNa",91.202,6.511,1.1338e-05,4.9455
"259.1295 / 2.73  M-H-",0.00075802,-10.365,1.148e-05,4.9401
"203.0839 / 4.94",6.8613,2.7785,1.148e-05,4.9401
"221.0925 / 3.01",0.0014914,-9.3891,1.1754e-05,4.9298
"248.1162 / 7.35",22.699,4.5045,1.2011e-05,4.9204
"298.0956 / 6.28",17.953,4.1662,1.2011e-05,4.9204
"317.1119 / 3.21",0.036163,-4.7894,1.2294e-05,4.9103
"222.1136 / 3.20",9.0037,3.1705,1.2419e-05,4.9059
"260.1976 / 1.48",0.0037848,-8.0456,1.252e-05,4.9024
"345.2033 / 22.29",4.4892,2.1665,1.252e-05,4.9024
"191.0410 / 1.43",2.5674,1.3603,1.252e-05,4.9024
"187.1082 / 2.29",0.0013816,-9.4995,1.2684e-05,4.8968
"305.1152 / 4.95",9.0997,3.1858,1.2684e-05,4.8968
"151.0400 / 18.37",38.464,5.2655,1.2888e-05,4.8898
"347.1883 / 7.98  M3H3",0.00045371,-11.106,1.2907e-05,4.8892
"484.2371 / 12.43  M2H2",0.00048667,-11.005,1.2907e-05,4.8892
"518.2822 / 15.69  MNH4",0.00054466,-10.842,1.2907e-05,4.8892
