"","FC","log2(FC)","raw.pval","-log10(p)"
"747.3267 / 17.23",0.00026168,-11.9,0.00039046,3.4084
"654.3567 / 15.01",0.00026305,-11.892,0.00039046,3.4084
"610.8231 / 19.25",0.0002638,-11.888,0.00039046,3.4084
"472.2396 / 7.51",0.00026567,-11.878,0.00039046,3.4084
"440.2156 / 12.94",0.00026634,-11.874,0.00039046,3.4084
"461.1985 / 16.60  M-2H2-",0.00026669,-11.873,0.00039046,3.4084
"456.2799 / 18.33",0.00026824,-11.864,0.00039046,3.4084
"629.3449 / 9.29",0.00026837,-11.864,0.00039046,3.4084
"338.1720 / 4.90  MCH3OHH",0.00026864,-11.862,0.00039046,3.4084
"626.3129 / 18.04",0.00026977,-11.856,0.00039046,3.4084
"375.2240 / 6.86",0.00027249,-11.841,0.00039046,3.4084
"382.2450 / 4.91",0.00027323,-11.838,0.00039046,3.4084
"603.8284 / 19.33  M-2H2-",0.00027588,-11.824,0.00039046,3.4084
"527.2250 / 12.43",0.00027639,-11.821,0.00039046,3.4084
"628.2956 / 15.45",0.00027745,-11.816,0.00039046,3.4084
"499.7214 / 11.12  MHNa2",0.00027793,-11.813,0.00039046,3.4084
"520.2245 / 3.07",0.00027914,-11.807,0.00039046,3.4084
"644.2893 / 6.49",0.00028286,-11.788,0.00039046,3.4084
"677.3533 / 16.07",0.00028437,-11.78,0.00039046,3.4084
"537.2512 / 10.63  M2Na2",0.00028462,-11.779,0.00039046,3.4084
"580.6549 / 17.74  M3H3",0.00028558,-11.774,0.00039046,3.4084
"532.2713 / 8.65",0.00028814,-11.761,0.00039046,3.4084
"583.3190 / 12.36",0.00028967,-11.753,0.00039046,3.4084
"399.2596 / 15.48",0.00028988,-11.752,0.00039046,3.4084
"679.3653 / 16.08",0.00029099,-11.747,0.00039046,3.4084
"395.2149 / 5.74",0.00029091,-11.747,0.00039046,3.4084
"328.2232 / 11.48",0.00029245,-11.74,0.00039046,3.4084
"712.3261 / 17.83",0.00029261,-11.739,0.00039046,3.4084
"475.7619 / 17.43  M2H2",0.00029416,-11.731,0.00039046,3.4084
"789.3796 / 18.08  M-H-",0.00029535,-11.725,0.00039046,3.4084
"358.1957 / 7.71",0.00029558,-11.724,0.00039046,3.4084
"419.8760 / 3.17",0.00029583,-11.723,0.00039046,3.4084
"615.9465 / 19.08  M3H3",0.00029779,-11.713,0.00039046,3.4084
"402.1259 / 4.91  MNa-2H-",0.00029823,-11.711,0.00039046,3.4084
"575.7400 / 19.20  M-2H2-",0.00029853,-11.71,0.00039046,3.4084
"402.1633 / 9.66",0.00030042,-11.701,0.00039046,3.4084
"510.1840 / 11.63",0.00030063,-11.7,0.00039046,3.4084
"474.7081 / 18.11  MHNa2",0.00030082,-11.699,0.00039046,3.4084
"439.7346 / 19.10",0.0003013,-11.697,0.00039046,3.4084
"530.3057 / 12.25  M2H2",0.00030212,-11.693,0.00039046,3.4084
"414.9860 / 8.13",0.00030252,-11.691,0.00039046,3.4084
"678.3651 / 12.58",0.0003054,-11.677,0.00039046,3.4084
"494.2593 / 14.47",0.00030737,-11.668,0.00039046,3.4084
"494.2608 / 19.58",0.00030974,-11.657,0.00039046,3.4084
"352.1932 / 11.04",0.00031047,-11.653,0.00039046,3.4084
"601.2698 / 2.34",0.00031048,-11.653,0.00039046,3.4084
"689.3232 / 7.86  MNa-2H-",0.00031096,-11.651,0.00039046,3.4084
"893.3888 / 21.09",0.0003123,-11.645,0.00039046,3.4084
"544.2970 / 13.77",0.00031421,-11.636,0.00039046,3.4084
"826.4195 / 11.34  M-2H2-",0.00031508,-11.632,0.00039046,3.4084
"727.3168 / 3.79",0.00031547,-11.63,0.00039046,3.4084
"506.2460 / 5.20  MCH3OHH",0.00031657,-11.625,0.00039046,3.4084
"441.1976 / 7.28  MNH4",0.00031959,-11.611,0.00039046,3.4084
"336.1554 / 5.20",0.00032046,-11.608,0.00039046,3.4084
"515.3168 / 3.38",0.00032033,-11.608,0.00039046,3.4084
"935.4985 / 18.72",0.0003203,-11.608,0.00039046,3.4084
"366.1655 / 5.99",0.00032149,-11.603,0.00039046,3.4084
"435.2228 / 14.59",0.00032295,-11.596,0.00039046,3.4084
"458.7073 / 17.53  M2",0.00032513,-11.587,0.00039046,3.4084
"404.2475 / 4.99",0.00032564,-11.584,0.00039046,3.4084
"390.2087 / 13.94",0.0003263,-11.582,0.00039046,3.4084
"691.2580 / 18.67",0.00032647,-11.581,0.00039046,3.4084
"687.8575 / 18.82  M2H2",0.00032699,-11.578,0.00039046,3.4084
"429.7029 / 10.32  M-2H2-",0.00032761,-11.576,0.00039046,3.4084
"814.3971 / 18.37",0.00032782,-11.575,0.00039046,3.4084
"857.9493 / 12.85",0.00032915,-11.569,0.00039046,3.4084
"644.3271 / 2.57",0.00032904,-11.569,0.00039046,3.4084
"549.2675 / 12.03  MH",0.00033064,-11.562,0.00039046,3.4084
"433.2045 / 17.93  MNa-2H-",0.00033176,-11.558,0.00039046,3.4084
"583.8416 / 16.27  M2H2",0.00033383,-11.549,0.00039046,3.4084
"343.1977 / 6.72",0.00033537,-11.542,0.00039046,3.4084
"863.4605 / 12.68  MNa-2H-",0.00033592,-11.54,0.00039046,3.4084
"517.2665 / 15.74",0.00033727,-11.534,0.00039046,3.4084
"573.9271 / 15.60  M3H3",0.00033768,-11.532,0.00039046,3.4084
"374.1895 / 7.19  M3H3",0.0003404,-11.52,0.00039046,3.4084
"735.3861 / 11.29",0.00034042,-11.52,0.00039046,3.4084
"389.7308 / 3.72",0.00034084,-11.519,0.00039046,3.4084
"422.5888 / 12.88  M3H3",0.00034134,-11.516,0.00039046,3.4084
"813.3887 / 14.06",0.00034196,-11.514,0.00039046,3.4084
"474.2926 / 14.46",0.00034371,-11.507,0.00039046,3.4084
"578.2495 / 7.35",0.00034436,-11.504,0.00039046,3.4084
"572.3118 / 7.54",0.00034494,-11.501,0.00039046,3.4084
"435.2230 / 13.71",0.00034594,-11.497,0.00039046,3.4084
"506.2420 / 14.35  M-2H2-",0.00034707,-11.492,0.00039046,3.4084
"774.3820 / 14.45",0.00034977,-11.481,0.00039046,3.4084
"528.2284 / 12.13",0.00035079,-11.477,0.00039046,3.4084
"916.3691 / 17.18",0.00035138,-11.475,0.00039046,3.4084
"612.2634 / 19.01  MNa-2H-",0.00035287,-11.469,0.00039046,3.4084
"736.3289 / 19.64  M-H-",0.00035315,-11.467,0.00039046,3.4084
"360.1393 / 12.13",0.00035478,-11.461,0.00039046,3.4084
"468.3176 / 5.48",0.00035507,-11.46,0.00039046,3.4084
"704.3360 / 13.58  M-2H2-",0.00035509,-11.46,0.00039046,3.4084
"298.1767 / 4.72",0.00035806,-11.448,0.00039046,3.4084
"692.3639 / 16.08  M3H3",0.00035814,-11.447,0.00039046,3.4084
"425.2477 / 3.46  MNH4",0.00036019,-11.439,0.00039046,3.4084
"542.2809 / 17.42",0.00036109,-11.435,0.00039046,3.4084
"663.3416 / 13.82  MH",0.00036181,-11.432,0.00039046,3.4084
"433.2648 / 13.71",0.00036254,-11.43,0.00039046,3.4084
"500.2397 / 11.11",0.00036446,-11.422,0.00039046,3.4084
"307.1515 / 3.66",0.00036527,-11.419,0.00039046,3.4084
"835.3902 / 12.10",0.00036612,-11.415,0.00039046,3.4084
"575.2515 / 15.59  MHK2",0.00036704,-11.412,0.00039046,3.4084
"442.2271 / 12.95",0.00036984,-11.401,0.00039046,3.4084
"575.3049 / 8.92  M-H-",0.00036984,-11.401,0.00039046,3.4084
"425.7200 / 11.64  MHNH42",0.00037008,-11.4,0.00039046,3.4084
"612.2776 / 3.47",0.00037047,-11.398,0.00039046,3.4084
"530.3086 / 2.07",0.0003708,-11.397,0.00039046,3.4084
"613.2937 / 3.63",0.00037074,-11.397,0.00039046,3.4084
"470.2239 / 12.53",0.00037157,-11.394,0.00039046,3.4084
"470.1873 / 11.59",0.00037207,-11.392,0.00039046,3.4084
"739.3635 / 18.62",0.00037314,-11.388,0.00039046,3.4084
"529.2585 / 15.79  M3H3",0.0003737,-11.386,0.00039046,3.4084
"445.2284 / 7.45",0.00037498,-11.381,0.00039046,3.4084
"579.3244 / 8.45",0.00037594,-11.377,0.00039046,3.4084
"428.2236 / 11.77",0.0003762,-11.376,0.00039046,3.4084
"811.4449 / 10.79",0.00037654,-11.375,0.00039046,3.4084
"435.1915 / 10.98",0.00038129,-11.357,0.00039046,3.4084
"593.2903 / 19.42  MNa-2H-",0.00038162,-11.356,0.00039046,3.4084
"735.3303 / 11.48",0.00038202,-11.354,0.00039046,3.4084
"848.4251 / 12.99",0.00038227,-11.353,0.00039046,3.4084
"767.3334 / 19.44  MNa-2H-",0.00038348,-11.349,0.00039046,3.4084
"600.2243 / 15.11",0.00038487,-11.343,0.00039046,3.4084
"640.3297 / 1.97",0.00038821,-11.331,0.00039046,3.4084
"598.2822 / 14.02",0.00038913,-11.327,0.00039046,3.4084
"590.3206 / 16.54",0.00039192,-11.317,0.00039046,3.4084
"423.2337 / 3.47",0.00039386,-11.31,0.00039046,3.4084
"614.3382 / 19.23",0.00039672,-11.3,0.00039046,3.4084
"588.7165 / 19.67",0.00039812,-11.295,0.00039046,3.4084
"578.2819 / 14.16",0.00039959,-11.289,0.00039046,3.4084
"655.2927 / 9.62",0.00039983,-11.288,0.00039046,3.4084
"379.1440 / 6.55",0.00039984,-11.288,0.00039046,3.4084
"674.2714 / 18.75",0.00040192,-11.281,0.00039046,3.4084
"990.5403 / 18.82",0.0004029,-11.277,0.00039046,3.4084
"481.1961 / 12.47  MNa-2H-",0.00040321,-11.276,0.00039046,3.4084
"479.2137 / 11.63  3M-H-",0.00040593,-11.266,0.00039046,3.4084
"877.4592 / 16.31",0.00040612,-11.266,0.00039046,3.4084
"723.3775 / 8.73",0.00040716,-11.262,0.00039046,3.4084
"437.7394 / 12.63  M2H2",0.00040758,-11.261,0.00039046,3.4084
"870.4003 / 16.08",0.00040963,-11.253,0.00039046,3.4084
"866.4260 / 18.21  M3H3",0.00041029,-11.251,0.00039046,3.4084
"543.2843 / 16.92",0.000416,-11.231,0.00039046,3.4084
"410.7220 / 18.65",0.00041768,-11.225,0.00039046,3.4084
"577.2820 / 9.86",0.0004184,-11.223,0.00039046,3.4084
"637.2843 / 16.05",0.00042229,-11.209,0.00039046,3.4084
"419.2200 / 16.07",0.00042286,-11.208,0.00039046,3.4084
"388.1788 / 11.28",0.00042299,-11.207,0.00039046,3.4084
"496.2867 / 14.34  M-H-",0.00042517,-11.2,0.00039046,3.4084
"572.2931 / 8.48",0.0004302,-11.183,0.00039046,3.4084
"510.2548 / 6.94",0.00043401,-11.17,0.00039046,3.4084
"454.2662 / 15.89",0.00043575,-11.164,0.00039046,3.4084
"664.2924 / 19.01",0.00043654,-11.162,0.00039046,3.4084
"772.3838 / 12.50",0.00043772,-11.158,0.00039046,3.4084
"610.2592 / 17.29  M-2H2-",0.00043874,-11.154,0.00039046,3.4084
"968.3731 / 18.12",0.00044132,-11.146,0.00039046,3.4084
"572.3016 / 9.64",0.00044362,-11.138,0.00039046,3.4084
"270.1932 / 9.68",0.00044471,-11.135,0.00039046,3.4084
"743.3597 / 18.15",0.00044469,-11.135,0.00039046,3.4084
"439.2174 / 17.74",0.00044495,-11.134,0.00039046,3.4084
"552.8153 / 19.70  M2H2",0.00044548,-11.132,0.00039046,3.4084
"550.2834 / 14.03  MNa-2H-",0.00044681,-11.128,0.00039046,3.4084
"452.2162 / 9.87  M3H3",0.00044788,-11.125,0.00039046,3.4084
"719.3351 / 15.11",0.0004503,-11.117,0.00039046,3.4084
"961.4710 / 17.13",0.00045045,-11.116,0.00039046,3.4084
"548.2545 / 7.80",0.00045106,-11.114,0.00039046,3.4084
"711.3737 / 12.80",0.00045484,-11.102,0.00039046,3.4084
"365.6734 / 3.80",0.00045525,-11.101,0.00039046,3.4084
"688.3523 / 16.16  MFA-H-",0.00045648,-11.097,0.00039046,3.4084
"751.6823 / 19.38",0.00045805,-11.092,0.00039046,3.4084
"938.4429 / 17.77  MNa-2H-",0.00045878,-11.09,0.00039046,3.4084
"390.6943 / 6.92  M",0.00046221,-11.079,0.00039046,3.4084
"769.3200 / 18.31",0.00046283,-11.077,0.00039046,3.4084
"569.2200 / 3.34",0.00046358,-11.075,0.00039046,3.4084
"455.2498 / 18.03",0.0004672,-11.064,0.00039046,3.4084
"373.2092 / 6.86",0.00047429,-11.042,0.00039046,3.4084
"681.3059 / 12.13  MNa",0.00047844,-11.029,0.00039046,3.4084
"755.3473 / 18.66",0.00047988,-11.025,0.00039046,3.4084
"399.2595 / 16.45",0.0004807,-11.023,0.00039046,3.4084
"639.3007 / 10.37",0.00048256,-11.017,0.00039046,3.4084
"756.3910 / 10.73  M-H-",0.00048296,-11.016,0.00039046,3.4084
"445.2136 / 8.60",0.00048769,-11.002,0.00039046,3.4084
"560.3044 / 4.64",0.00048824,-11,0.00039046,3.4084
"601.2746 / 3.80",0.00048884,-10.998,0.00039046,3.4084
"725.3850 / 18.69",0.00048956,-10.996,0.00039046,3.4084
"413.2389 / 9.52",0.00049161,-10.99,0.00039046,3.4084
"623.3002 / 10.29  MNa-2H-",0.00049283,-10.987,0.00039046,3.4084
"661.3266 / 13.83  MNa-2H-",0.00049338,-10.985,0.00039046,3.4084
"475.2202 / 16.95",0.00049401,-10.983,0.00039046,3.4084
"539.2446 / 7.76",0.00049457,-10.982,0.00039046,3.4084
"621.8214 / 12.99",0.00049511,-10.98,0.00039046,3.4084
"636.3216 / 14.06",0.00049635,-10.976,0.00039046,3.4084
"916.4855 / 10.64",0.00049937,-10.968,0.00039046,3.4084
"486.2558 / 5.04  M-H-",0.00050318,-10.957,0.00039046,3.4084
"641.7913 / 15.17",0.00050455,-10.953,0.00039046,3.4084
"487.2434 / 7.19",0.00050729,-10.945,0.00039046,3.4084
"827.4298 / 13.65  MNa-2H-",0.00051189,-10.932,0.00039046,3.4084
"493.2277 / 14.18",0.00051255,-10.93,0.00039046,3.4084
"892.4486 / 18.63  M-2H2-",0.00051285,-10.929,0.00039046,3.4084
"614.3056 / 11.37",0.0005152,-10.923,0.00039046,3.4084
"423.1865 / 8.82",0.00051539,-10.922,0.00039046,3.4084
"405.1978 / 5.29",0.00051576,-10.921,0.00039046,3.4084
"537.2300 / 6.15",0.00051731,-10.917,0.00039046,3.4084
"857.3948 / 11.06  2MNa-2H-",0.00052429,-10.897,0.00039046,3.4084
"439.7230 / 9.04",0.00052794,-10.887,0.00039046,3.4084
"725.2649 / 13.30",0.0005314,-10.878,0.00039046,3.4084
"626.2762 / 7.32",0.00053253,-10.875,0.00039046,3.4084
"479.7829 / 11.64",0.00053673,-10.864,0.00039046,3.4084
"571.2535 / 14.51  M3H3",0.00054122,-10.851,0.00039046,3.4084
"565.2957 / 13.59  MNa-2H-",0.00054564,-10.84,0.00039046,3.4084
"461.2412 / 16.60",0.00054675,-10.837,0.00039046,3.4084
"839.3769 / 15.84  MNa-2H-",0.00054724,-10.836,0.00039046,3.4084
"425.7343 / 19.23",0.00055253,-10.822,0.00039046,3.4084
"302.6870 / 4.99",0.00055262,-10.821,0.00039046,3.4084
"606.3156 / 16.42",0.00055407,-10.818,0.00039046,3.4084
"588.2981 / 3.61",0.00055698,-10.81,0.00039046,3.4084
"887.7566 / 19.73",0.00056029,-10.802,0.00039046,3.4084
"519.2476 / 14.35  MHNa2",0.00056321,-10.794,0.00039046,3.4084
"558.7841 / 10.00  M2H2",0.00056581,-10.787,0.00039046,3.4084
"629.3321 / 9.92",0.00057776,-10.757,0.00039046,3.4084
"603.3123 / 15.01",0.0005803,-10.751,0.00039046,3.4084
"419.1779 / 2.65  MAcO-H-",0.00058539,-10.738,0.00039046,3.4084
"922.4625 / 12.41",0.00058663,-10.735,0.00039046,3.4084
"444.2831 / 9.81",0.00058727,-10.734,0.00039046,3.4084
"540.0384 / 18.76",0.00059,-10.727,0.00039046,3.4084
"716.8455 / 19.59",0.00059578,-10.713,0.00039046,3.4084
"460.7359 / 12.33",0.00060258,-10.697,0.00039046,3.4084
"597.2925 / 18.56  M-2H2-",0.00060426,-10.693,0.00039046,3.4084
"461.7179 / 11.10",0.00060774,-10.684,0.00039046,3.4084
"572.2556 / 15.30",0.00061076,-10.677,0.00039046,3.4084
"848.4139 / 11.08",0.00062016,-10.655,0.00039046,3.4084
"574.7901 / 19.68",0.00062084,-10.653,0.00039046,3.4084
"426.1483 / 14.40",0.00062531,-10.643,0.00039046,3.4084
"644.3411 / 11.60  M2H2",0.00064144,-10.606,0.00039046,3.4084
"739.3627 / 14.83  M-H-",0.00064601,-10.596,0.00039046,3.4084
"520.2555 / 13.87",0.00064714,-10.594,0.00039046,3.4084
"942.4446 / 18.49",0.00065094,-10.585,0.00039046,3.4084
"519.1917 / 14.30",0.00065414,-10.578,0.00039046,3.4084
"671.3724 / 12.52",0.00065632,-10.573,0.00039046,3.4084
"586.2863 / 17.12",0.00065731,-10.571,0.00039046,3.4084
"653.3228 / 12.90",0.00065974,-10.566,0.00039046,3.4084
"698.2800 / 18.75  MNa-2H-",0.00065959,-10.566,0.00039046,3.4084
"479.2100 / 14.95",0.00067393,-10.535,0.00039046,3.4084
"774.3819 / 7.12",0.00068349,-10.515,0.00039046,3.4084
"894.4140 / 12.53",0.00068598,-10.51,0.00039046,3.4084
"548.2252 / 13.62",0.00068721,-10.507,0.00039046,3.4084
"774.3104 / 19.23  MNa-2H-",0.00069048,-10.5,0.00039046,3.4084
"733.8484 / 17.01",0.00069261,-10.496,0.00039046,3.4084
"362.1457 / 3.64",0.0007023,-10.476,0.00039046,3.4084
"597.2936 / 16.78  MK-2H-",0.00071006,-10.46,0.00039046,3.4084
"901.3610 / 18.75",0.00071391,-10.452,0.00039046,3.4084
"688.8038 / 9.22",0.0007248,-10.43,0.00039046,3.4084
"705.8128 / 18.43",0.00073038,-10.419,0.00039046,3.4084
"466.2282 / 15.33",0.00074252,-10.395,0.00039046,3.4084
"576.2060 / 16.90  MNa-2H-",0.00074322,-10.394,0.00039046,3.4084
"835.3199 / 14.40  2MH",0.00074379,-10.393,0.00039046,3.4084
"531.7290 / 18.40  M-2H2-",0.00075203,-10.377,0.00039046,3.4084
"453.2925 / 21.14",0.0007588,-10.364,0.00039046,3.4084
"387.1510 / 8.28",0.0007618,-10.358,0.00039046,3.4084
"504.6172 / 19.07",0.0007659,-10.351,0.00039046,3.4084
"513.7532 / 9.02",0.00076661,-10.349,0.00039046,3.4084
"429.1974 / 9.14",0.00077928,-10.326,0.00039046,3.4084
"729.3945 / 18.57",0.00078041,-10.323,0.00039046,3.4084
"684.3904 / 19.73",0.00081018,-10.269,0.00039046,3.4084
"597.2664 / 15.45",0.00081137,-10.267,0.00039046,3.4084
"891.4799 / 19.20",0.00082991,-10.235,0.00039046,3.4084
"758.3121 / 19.64  MNa-2H-",0.00085824,-10.186,0.00039046,3.4084
"785.2771 / 19.76",0.00088834,-10.137,0.00039046,3.4084
"615.3701 / 19.15  M-H-",0.00089666,-10.123,0.00039046,3.4084
"764.2818 / 14.95",0.00091164,-10.099,0.00039046,3.4084
"542.5823 / 18.86  M3H3",0.0010171,-9.9413,0.00039046,3.4084
"555.1889 / 17.17  MTFA-H-",0.0010278,-9.9262,0.00039046,3.4084
"904.3756 / 10.36",0.0010508,-9.8942,0.00039046,3.4084
"686.3254 / 9.37",0.0011254,-9.7953,0.00039046,3.4084
"678.3197 / 2.42",0.0011816,-9.7251,0.00039046,3.4084
"515.9140 / 18.86",0.0012765,-9.6136,0.00039046,3.4084
"753.3301 / 18.69",0.0013929,-9.4876,0.00039046,3.4084
"533.2359 / 11.75",0.0015203,-9.3614,0.00039046,3.4084
"832.8993 / 19.70",0.02331,-5.4229,0.00039061,3.4083
"636.3607 / 19.84",0.031935,-4.9687,0.00039061,3.4083
"491.3369 / 8.08  2MNa",9.4117,3.2345,0.00039559,3.4028
"259.1293 / 2.12",0.0026413,-8.5645,0.00039616,3.4021
"406.9893 / 1.80",16.143,4.0128,0.0003975,3.4007
"253.1202 / 7.25",3.6621,1.8727,0.00039805,3.4001
"258.1669 / 7.99",5.5119,2.4625,0.00040076,3.3971
"184.0967 / 4.78",3.1498,1.6552,0.00040239,3.3954
"328.9265 / 1.29",2.763,1.4662,0.00040239,3.3954
"158.9959 / 1.06  MH",0.12782,-2.9678,0.00040293,3.3948
"267.0591 / 1.89",2.6125,1.3854,0.00040293,3.3948
"280.0921 / 1.45  MNa",2.1395,1.0973,0.00040293,3.3948
"323.1339 / 11.39  MNa",0.096725,-3.37,0.0004034,3.3943
"726.3780 / 19.78  MNa",0.0044421,-7.8145,0.00040582,3.3917
"529.2322 / 14.08",0.00045668,-11.097,0.00040653,3.3909
"477.2440 / 11.78  M2H2",0.00048959,-10.996,0.00040653,3.3909
"670.3904 / 10.37",0.00084739,-10.205,0.00040653,3.3909
"541.2917 / 18.49  M2H2",0.00090005,-10.118,0.00040653,3.3909
"467.2453 / 9.21",0.00092623,-10.076,0.00040653,3.3909
"463.7592 / 10.80  M2H2",0.00094014,-10.055,0.00040653,3.3909
"336.1549 / 4.17",0.00096039,-10.024,0.00040653,3.3909
"524.2059 / 19.39",0.0012871,-9.6017,0.00040653,3.3909
"488.2360 / 11.07  M-H-",0.0013888,-9.492,0.00040653,3.3909
"416.2495 / 7.59  MNH4",0.0015793,-9.3065,0.00040653,3.3909
"581.2864 / 19.10  M-2H2-",0.0015989,-9.2887,0.00040653,3.3909
"410.1563 / 6.00",0.0018046,-9.1141,0.00040653,3.3909
"434.2434 / 9.10",0.0018324,-9.092,0.00040653,3.3909
"526.2990 / 12.11",0.0019484,-9.0035,0.00040653,3.3909
"650.3502 / 10.14",0.0019565,-8.9975,0.00040653,3.3909
"488.2701 / 11.18",0.0020011,-8.965,0.00040653,3.3909
"498.3297 / 19.22",0.0020288,-8.9452,0.00040653,3.3909
"632.3404 / 17.82",0.0022389,-8.803,0.00040653,3.3909
"565.7956 / 10.35",0.0023097,-8.7581,0.00040653,3.3909
"546.2433 / 15.64",0.002365,-8.724,0.00040653,3.3909
"385.2082 / 14.23",0.0026856,-8.5405,0.00040653,3.3909
"657.2977 / 8.08",0.0030715,-8.3468,0.00040653,3.3909
"723.3683 / 19.66",0.0031449,-8.3128,0.00040653,3.3909
"330.2382 / 11.93",0.0031974,-8.2889,0.00040653,3.3909
"512.1734 / 10.46  MNa-2H-",0.0034196,-8.192,0.00040653,3.3909
"401.2387 / 10.92",0.0035939,-8.1202,0.00040653,3.3909
"410.2122 / 17.26",0.0038009,-8.0394,0.00040653,3.3909
"562.3236 / 19.02",0.0040708,-7.9405,0.00040653,3.3909
"492.2471 / 12.70",0.0043084,-7.8586,0.00040653,3.3909
"435.1816 / 10.96",0.0044612,-7.8083,0.00040653,3.3909
"358.1702 / 14.85",0.0055809,-7.4853,0.00040653,3.3909
"624.6632 / 19.89  M3H3",0.0058422,-7.4193,0.00040653,3.3909
"334.1364 / 12.89  M-H-",0.0059791,-7.3858,0.00040653,3.3909
"369.2024 / 12.47",0.006697,-7.2223,0.00040653,3.3909
"443.1911 / 7.06",0.0071115,-7.1356,0.00040653,3.3909
"637.7795 / 10.64",0.0080793,-6.9516,0.00040653,3.3909
"469.2166 / 2.34",0.013556,-6.2049,0.00040653,3.3909
"562.2889 / 17.42",0.022383,-5.4815,0.0004126,3.3845
"352.1666 / 14.83",0.0082927,-6.9139,0.00041828,3.3785
"491.2555 / 18.98  M3H3",0.014581,-6.0997,0.00042266,3.374
"297.0486 / 14.01",2641.3,11.367,0.00042387,3.3728
"369.2132 / 6.47  M-H2O-H-",0.0029464,-8.4068,0.00042427,3.3724
"454.2061 / 14.55  M3H3",0.0035359,-8.1437,0.00042427,3.3724
"391.2022 / 10.32",0.0050545,-7.6282,0.00042427,3.3724
"606.3507 / 19.82  MH",0.0052426,-7.5755,0.00042427,3.3724
"355.1607 / 11.40",0.0088661,-6.8175,0.00042427,3.3724
"260.1034 / 4.60",0.010328,-6.5973,0.00042427,3.3724
"671.3587 / 19.20",0.01067,-6.5503,0.00042427,3.3724
"642.2718 / 20.20  M-2H2-",0.010897,-6.5199,0.00042427,3.3724
"380.1991 / 10.50  M2H2",0.011013,-6.5046,0.00042427,3.3724
"430.1881 / 5.46",0.015367,-6.024,0.00042427,3.3724
"581.2750 / 19.01",0.020598,-5.6014,0.00042427,3.3724
"403.2317 / 11.47",0.15526,-2.6872,0.00042787,3.3687
"189.0736 / 8.01",3.1081,1.6361,0.0004336,3.3629
"275.2082 / 1.04  MNH4",0.0062156,-7.3299,0.00043451,3.362
"527.3188 / 10.36  MNH4",0.0021567,-8.857,0.00044183,3.3547
"291.0984 / 9.56  M-H-",0.018136,-5.785,0.00044417,3.3525
"614.9833 / 1.13",0.029011,-5.1073,0.00044417,3.3525
"323.0287 / 1.90",0.041723,-4.583,0.00044417,3.3525
"456.9956 / 1.13  2MNa-2H-",0.041826,-4.5795,0.00044417,3.3525
"517.0024 / 1.10",0.15805,-2.6615,0.00044417,3.3525
"381.0089 / 0.43",0.2134,-2.2284,0.00044417,3.3525
"257.1764 / 22.62  MAcO-H-",4.5464,2.1847,0.00044417,3.3525
"165.0560 / 10.64  M-H-",0.23545,-2.0865,0.00044417,3.3525
"295.2277 / 22.97  M-H2O-H-",0.26164,-1.9344,0.00044417,3.3525
"379.0866 / 14.05  MNa-2H-",0.033951,-4.8804,0.00044648,3.3502
"556.3042 / 19.11",0.00084969,-10.201,0.00044708,3.3496
"532.2726 / 2.74",0.0023801,-8.7148,0.00044708,3.3496
"471.2218 / 11.26  M2Na2",0.0024836,-8.6534,0.00044708,3.3496
"605.3310 / 11.29  M2H2",0.0035641,-8.1322,0.00044708,3.3496
"273.1974 / 13.51",136.61,7.0939,0.00045953,3.3377
"461.2554 / 16.15  M5H5",0.008258,-6.92,0.00045953,3.3377
"126.1280 / 13.57",84.876,6.4073,0.00045953,3.3377
"490.2668 / 15.08",0.024557,-5.3477,0.00045953,3.3377
"336.1685 / 1.57",0.0089849,-6.7983,0.00046194,3.3354
"313.1564 / 12.98",0.010515,-6.5714,0.00046212,3.3352
"258.1342 / 2.13",2.5841,1.3697,0.0004652,3.3324
"230.1386 / 2.10  MH",3.2516,1.7012,0.00046705,3.3306
"195.1127 / 11.19",2.5338,1.3413,0.00046705,3.3306
"235.1818 / 7.98  MH",6.5381,2.7089,0.00046767,3.3301
"257.1635 / 7.97  MNa",5.6193,2.4904,0.00046767,3.3301
"205.9856 / 1.79",0.26364,-1.9234,0.00046767,3.3301
"144.0807 / 7.95",3.5229,1.8168,0.00046767,3.3301
"235.1084 / 3.20  M-H-",0.0010298,-9.9235,0.00046936,3.3285
"405.2822 / 1.57",0.0025721,-8.6028,0.00046936,3.3285
"329.1509 / 8.82",0.0029411,-8.4094,0.00046936,3.3285
"389.2021 / 2.51  MCH3OHH",0.0082072,-6.9289,0.00046936,3.3285
"441.2712 / 20.18",0.027357,-5.1919,0.00046936,3.3285
"495.1810 / 3.14",0.00095223,-10.036,0.00048164,3.3173
"304.1509 / 2.32  MFA-H-",0.0010539,-9.8901,0.00048164,3.3173
"374.2402 / 2.12  MNH4",0.0018401,-9.086,0.00048164,3.3173
"811.3950 / 19.56",0.0027335,-8.5151,0.00048164,3.3173
"333.1565 / 5.19",0.0028004,-8.4801,0.00048164,3.3173
"674.8772 / 19.62  M2H2",0.0028456,-8.4571,0.00048164,3.3173
"469.1938 / 2.69",0.0031048,-8.3313,0.00048164,3.3173
"463.2536 / 16.56",0.0032056,-8.2852,0.00048164,3.3173
"591.3099 / 12.98",0.0032983,-8.244,0.00048164,3.3173
"490.2645 / 13.53  MH",0.0035194,-8.1505,0.00048164,3.3173
"388.1543 / 16.27",0.0035248,-8.1483,0.00048164,3.3173
