"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"473.2182 / 19.57  M3H3",13.734,0.00088342,3.0538,0.0028247,"Infected - Control"
"441.2260 / 19.24",13.725,0.00088633,3.0524,0.0028333,"Infected - Control"
"257.1635 / 7.97  MNa",13.721,0.00088745,3.0519,0.0028358,"Control - Infected"
"709.0215 / 1.29",13.721,0.00088757,3.0518,0.0028358,"Infected - Control"
"388.2172 / 2.02",13.718,0.00088853,3.0513,0.0028382,"Infected - Control"
"438.7251 / 2.61",13.714,0.00088964,3.0508,0.002841,"Infected - Control"
"403.1972 / 10.24  M-H-",13.706,0.00089243,3.0494,0.0028492,"Infected - Control"
"500.2725 / 7.24",13.7,0.00089419,3.0486,0.0028541,"Infected - Control"
"494.2758 / 18.47  M2H2",13.692,0.00089669,3.0474,0.0028614,"Infected - Control"
"631.3452 / 19.65",13.691,0.00089722,3.0471,0.0028624,"Infected - Control"
"453.1969 / 5.54  2MH",13.689,0.00089777,3.0468,0.0028634,"Infected - Control"
"533.9499 / 9.38",13.688,0.00089801,3.0467,0.0028635,"Infected - Control"
"769.1609 / 22.51",13.682,0.00089996,3.0458,0.002869,"Infected - Control"
"124.0067 / 1.45",13.681,0.00090023,3.0456,0.0028691,"Infected - Control"
"345.1554 / 14.83",13.674,0.00090273,3.0444,0.0028763,"Control - Infected"
"414.2343 / 2.71",13.659,0.00090755,3.0421,0.002891,"Infected - Control"
"527.2458 / 16.63",13.657,0.0009082,3.0418,0.0028923,"Infected - Control"
"285.0859 / 4.31",13.655,0.00090877,3.0415,0.0028934,"Control - Infected"
"387.2237 / 6.24  M-H-",13.653,0.00090965,3.0411,0.0028955,"Infected - Control"
"280.1739 / 10.15",13.651,0.00091004,3.0409,0.002896,"Infected - Control"
"501.6098 / 16.35  M3H3",13.639,0.00091401,3.039,0.0029079,"Infected - Control"
"389.2389 / 18.88",13.633,0.00091608,3.0381,0.0029138,"Infected - Control"
"374.8549 / 7.16",13.63,0.00091718,3.0375,0.0029166,"Infected - Control"
"185.1658 / 3.40",13.625,0.00091862,3.0369,0.0029204,"Infected - Control"
"417.2048 / 11.46  M2H2",13.624,0.0009191,3.0366,0.0029212,"Infected - Control"
"357.2140 / 3.47",13.623,0.00091952,3.0364,0.0029218,"Infected - Control"
"407.7196 / 13.52",13.62,0.00092044,3.036,0.002924,"Infected - Control"
"439.7043 / 6.82  MHK2",13.617,0.00092131,3.0356,0.0029261,"Infected - Control"
"441.2334 / 19.76",13.612,0.00092318,3.0347,0.0029313,"Infected - Control"
