"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"689.3102 / 18.40",432.17,5.7411e-19,18.241,7.3354e-15,"Infected - Control"
"861.3925 / 18.36",363.17,6.0538e-18,17.218,2.7018e-14,"Infected - Control"
"861.1418 / 18.39",361.91,6.3438e-18,17.198,2.7018e-14,"Infected - Control"
"276.0185 / 10.87",305.21,6.1939e-17,16.208,1.9785e-13,"Control - Infected"
"675.1069 / 18.60",254.77,6.6927e-16,15.174,1.7102e-12,"Infected - Control"
"210.0396 / 4.48",231.86,2.2794e-15,14.642,4.854e-12,"Control - Infected"
"843.1252 / 18.53  M4H4",227.31,2.944e-15,14.531,5.3065e-12,"Infected - Control"
"843.3838 / 18.46",225.19,3.3225e-15,14.479,5.3065e-12,"Infected - Control"
"843.8828 / 18.46",219.03,4.75e-15,14.323,6.7434e-12,"Infected - Control"
"843.6325 / 18.49",206.35,1.0197e-14,13.992,1.3028e-11,"Infected - Control"
"208.0612 / 7.60",173.01,9.4428e-14,13.025,1.0968e-10,"Control - Infected"
"689.1124 / 18.44  M5H5",162.37,2.0785e-13,12.682,2.2131e-10,"Infected - Control"
"300.1079 / 6.34",160.96,2.3147e-13,12.636,2.275e-10,"Control - Infected"
"688.9154 / 18.36  M5H5",154.71,3.7729e-13,12.423,3.4433e-10,"Infected - Control"
"860.8867 / 18.43  M4H4",151.38,4.9246e-13,12.308,4.1446e-10,"Infected - Control"
"306.0591 / 8.40",150.73,5.19e-13,12.285,4.1446e-10,"Control - Infected"
"844.3766 / 18.58",142.3,1.0467e-12,11.98,7.8667e-10,"Infected - Control"
"287.2448 / 1.42",140.23,1.2494e-12,11.903,8.8688e-10,"Infected - Control"
"872.3864 / 18.76",135.17,1.9466e-12,11.711,1.309e-09,"Infected - Control"
"872.1331 / 18.76",132.82,2.4021e-12,11.619,1.5346e-09,"Infected - Control"
"158.0814 / 8.34",129.18,3.3491e-12,11.475,2.0377e-09,"Control - Infected"
"415.2203 / 13.02",127.54,3.8997e-12,11.409,2.2648e-09,"Infected - Control"
"192.0663 / 10.84",126.24,4.4046e-12,11.356,2.4468e-09,"Control - Infected"
"462.1027 / 10.28",123.94,5.4758e-12,11.262,2.9051e-09,"Infected - Control"
"674.7088 / 18.49  M5H5",123.55,5.6842e-12,11.245,2.9051e-09,"Infected - Control"
"413.2048 / 13.02  M-H-",120.38,7.7259e-12,11.112,3.7967e-09,"Infected - Control"
"697.9073 / 18.79  M5H5",118.88,8.9568e-12,11.048,4.121e-09,"Infected - Control"
"328.2237 / 9.83",118.8,9.0309e-12,11.044,4.121e-09,"Infected - Control"
"245.0745 / 1.51",116.09,1.1827e-11,10.927,5.2106e-09,"Control - Infected"
"399.2601 / 12.54  MH",115.41,1.2678e-11,10.897,5.3994e-09,"Infected - Control"
"312.1562 / 11.99  M-H-",110.35,2.135e-11,10.671,8.7995e-09,"Infected - Control"
"587.1252 / 7.35  M-H-",107.51,2.8847e-11,10.54,1.1518e-08,"Infected - Control"
"674.9046 / 18.50  M5H5",103.69,4.3697e-11,10.36,1.6919e-08,"Infected - Control"
"295.1116 / 8.77  M-H-",101.14,5.8006e-11,10.237,2.1798e-08,"Infected - Control"
"198.1128 / 16.23",92.817,1.5267e-10,9.8162,5.5734e-08,"Control - Infected"
"287.1384 / 8.37",87.944,2.7763e-10,9.5565,9.8536e-08,"Infected - Control"
"162.0550 / 7.64",85.876,3.6056e-10,9.443,1.2291e-07,"Control - Infected"
"574.1308 / 12.23",85.769,3.6556e-10,9.437,1.2291e-07,"Infected - Control"
"697.7069 / 18.75  M5H5",85.404,3.83e-10,9.4168,1.2548e-07,"Infected - Control"
"872.8851 / 18.82",84.005,4.5869e-10,9.3385,1.4652e-07,"Infected - Control"
"872.6324 / 18.79",82.407,5.6519e-10,9.2478,1.7613e-07,"Infected - Control"
"196.0608 / 2.54",81.373,6.4799e-10,9.1884,1.9713e-07,"Control - Infected"
"651.2652 / 14.68",80.07,7.7126e-10,9.1128,2.2917e-07,"Infected - Control"
"589.1401 / 7.41",78.526,9.5066e-10,9.022,2.7606e-07,"Infected - Control"
"573.1178 / 12.20",77.149,1.1486e-09,8.9398,3.2611e-07,"Infected - Control"
"224.0562 / 8.37",76.334,1.2861e-09,8.8907,3.5723e-07,"Control - Infected"
"482.7590 / 8.92",75.973,1.3526e-09,8.8688,3.6771e-07,"Infected - Control"
"234.1001 / 3.78  MAcO-H-",75.359,1.4741e-09,8.8315,3.9239e-07,"Control - Infected"
"340.0431 / 10.95",74.698,1.6182e-09,8.791,4.2194e-07,"Control - Infected"
"435.1868 / 13.02  MNa-2H-",74.478,1.6694e-09,8.7775,4.2659e-07,"Infected - Control"
"483.2599 / 8.96",74.213,1.7335e-09,8.7611,4.3428e-07,"Infected - Control"
"571.1296 / 10.27",73.474,1.9263e-09,8.7153,4.6902e-07,"Infected - Control"
"336.1535 / 11.98  MNa",73.405,1.9456e-09,8.711,4.6902e-07,"Infected - Control"
"303.0808 / 1.44",71.783,2.4594e-09,8.6092,5.8193e-07,"Control - Infected"
"429.2394 / 6.82  MHNH42",71.375,2.6104e-09,8.5833,6.0642e-07,"Infected - Control"
"589.1116 / 10.48",70.888,2.8037e-09,8.5523,6.3969e-07,"Infected - Control"
"408.1768 / 11.47  M-H-",69.329,3.5324e-09,8.4519,7.9019e-07,"Infected - Control"
"245.1872 / 6.84  MH",69.227,3.587e-09,8.4453,7.9019e-07,"Infected - Control"
"516.2340 / 15.66",69.088,3.6621e-09,8.4363,7.9305e-07,"Infected - Control"
"443.1889 / 3.63",68.645,3.9137e-09,8.4074,8.3343e-07,"Infected - Control"
"245.9472 / 2.45",68.467,4.0206e-09,8.3957,8.4214e-07,"Control - Infected"
"203.0832 / 14.04",68.325,4.1077e-09,8.3864,8.4651e-07,"Control - Infected"
"184.0968 / 11.16",68.176,4.201e-09,8.3766,8.52e-07,"Control - Infected"
"560.2801 / 18.73  M3H3",67.354,4.7596e-09,8.3224,9.502e-07,"Infected - Control"
"302.0556 / 8.25  2MNH4",66.895,5.1054e-09,8.292,1.0036e-06,"Control - Infected"
"410.1929 / 11.48",65.09,6.7513e-09,8.1706,1.307e-06,"Infected - Control"
"606.6544 / 18.52  M3H3",63.377,8.845e-09,8.0533,1.6867e-06,"Infected - Control"
"314.1716 / 11.98  MH",63.259,9.0135e-09,8.0451,1.6936e-06,"Infected - Control"
"248.1162 / 7.35",62.684,9.8818e-09,8.0052,1.8299e-06,"Control - Infected"
"500.2349 / 8.31",62.555,1.0089e-08,7.9962,1.8415e-06,"Infected - Control"
"690.3213 / 19.36  M-2H2-",61.099,1.2771e-08,7.8938,2.2983e-06,"Infected - Control"
"590.1251 / 10.47",60.415,1.4287e-08,7.8451,2.5012e-06,"Infected - Control"
"227.1397 / 4.96",60.414,1.429e-08,7.845,2.5012e-06,"Infected - Control"
"572.3040 / 12.82  M3H3",59.585,1.639e-08,7.7854,2.8299e-06,"Infected - Control"
"258.1814 / 1.04  MH",59.217,1.7424e-08,7.7588,2.9684e-06,"Infected - Control"
"257.0565 / 1.50",58.855,1.8512e-08,7.7325,3.1122e-06,"Control - Infected"
"314.1142 / 15.17",57.83,2.2007e-08,7.6574,3.6517e-06,"Infected - Control"
"390.1884 / 4.58  MCH3OHH",57.633,2.2755e-08,7.6429,3.6716e-06,"Infected - Control"
"524.2388 / 17.21  M2H2",57.605,2.2864e-08,7.6408,3.6716e-06,"Infected - Control"
"282.1005 / 9.44",57.573,2.2989e-08,7.6385,3.6716e-06,"Control - Infected"
"298.0956 / 6.28",56.91,2.5746e-08,7.5893,4.0612e-06,"Control - Infected"
"319.1087 / 8.81  MNa",56.459,2.7818e-08,7.5557,4.3345e-06,"Infected - Control"
"557.2830 / 13.52  MHNH42",56.042,2.9901e-08,7.5243,4.5837e-06,"Infected - Control"
"243.1711 / 5.70",55.997,3.0135e-08,7.5209,4.5837e-06,"Infected - Control"
"609.1069 / 7.35  MNa-2H-",55.629,3.2123e-08,7.4932,4.8287e-06,"Infected - Control"
"525.7338 / 17.63  M2H2",55.509,3.2801e-08,7.4841,4.8416e-06,"Infected - Control"
"659.7995 / 7.59",55.48,3.2967e-08,7.4819,4.8416e-06,"Infected - Control"
"334.1376 / 11.96  MNa-2H-",55.344,3.3761e-08,7.4716,4.8545e-06,"Infected - Control"
"346.2333 / 11.14",55.22,3.4497e-08,7.4622,4.8545e-06,"Infected - Control"
"479.2495 / 12.55",55.172,3.4794e-08,7.4585,4.8545e-06,"Infected - Control"
"397.2441 / 12.52  M-H-",55.165,3.4833e-08,7.458,4.8545e-06,"Infected - Control"
"572.1156 / 12.18",55.145,3.4955e-08,7.4565,4.8545e-06,"Infected - Control"
"592.2984 / 19.02",54.973,3.6024e-08,7.4434,4.9492e-06,"Infected - Control"
"293.0509 / 1.53  2MNa-2H-",54.837,3.6898e-08,7.433,5.0154e-06,"Control - Infected"
"636.2868 / 18.95",54.686,3.7891e-08,7.4215,5.0189e-06,"Infected - Control"
"484.2371 / 12.43  M2H2",54.632,3.8256e-08,7.4173,5.0189e-06,"Infected - Control"
"145.0631 / 2.11  M-H-",54.616,3.8364e-08,7.4161,5.0189e-06,"Control - Infected"
"548.2461 / 10.52  MK",54.596,3.8495e-08,7.4146,5.0189e-06,"Infected - Control"
"272.1109 / 7.31  MNa",54.33,4.0346e-08,7.3942,5.1669e-06,"Control - Infected"
"576.2885 / 11.88  M2H2",54.317,4.0439e-08,7.3932,5.1669e-06,"Infected - Control"
"293.1502 / 5.67",54.215,4.1177e-08,7.3853,5.2091e-06,"Infected - Control"
"421.2419 / 12.52  MNa",53.947,4.3183e-08,7.3647,5.4093e-06,"Infected - Control"
"164.0732 / 11.06",53.675,4.533e-08,7.3436,5.6231e-06,"Control - Infected"
"472.7398 / 10.98  M2H2",53.167,4.9642e-08,7.3041,6.0989e-06,"Infected - Control"
"405.2290 / 5.29",52.88,5.2266e-08,7.2818,6.36e-06,"Infected - Control"
"408.7353 / 9.13",52.684,5.4152e-08,7.2664,6.511e-06,"Infected - Control"
"421.2143 / 12.79  M2H2",52.593,5.5049e-08,7.2593,6.511e-06,"Infected - Control"
"408.7092 / 10.81  M2H2",52.577,5.521e-08,7.258,6.511e-06,"Infected - Control"
"444.2250 / 16.64  M3H3",52.543,5.5545e-08,7.2554,6.511e-06,"Infected - Control"
"325.1739 / 7.71",52.401,5.6998e-08,7.2441,6.6206e-06,"Infected - Control"
"347.1883 / 7.98  M3H3",51.937,6.201e-08,7.2075,7.0832e-06,"Infected - Control"
"663.8248 / 13.91  M2H2",51.894,6.2493e-08,7.2042,7.0832e-06,"Infected - Control"
"372.2198 / 10.26",51.881,6.2644e-08,7.2031,7.0832e-06,"Infected - Control"
"453.1953 / 3.69",51.759,6.405e-08,7.1935,7.1017e-06,"Infected - Control"
"297.1945 / 13.72  MNa",51.758,6.4071e-08,7.1933,7.1017e-06,"Control - Infected"
"702.3408 / 16.75  MNa",51.723,6.4475e-08,7.1906,7.1017e-06,"Infected - Control"
"703.3102 / 19.44",51.547,6.6588e-08,7.1766,7.2717e-06,"Infected - Control"
"399.7032 / 10.81",51.408,6.8309e-08,7.1655,7.3454e-06,"Infected - Control"
"173.1288 / 10.77",51.4,6.8412e-08,7.1649,7.3454e-06,"Infected - Control"
"482.7359 / 19.37  M2H2",51.338,6.9195e-08,7.1599,7.3675e-06,"Infected - Control"
"688.3000 / 9.23",51.243,7.0411e-08,7.1524,7.4157e-06,"Infected - Control"
"385.2189 / 4.81",51.212,7.0809e-08,7.1499,7.4157e-06,"Infected - Control"
"584.2809 / 12.53",51.113,7.212e-08,7.1419,7.4916e-06,"Infected - Control"
"358.1308 / 11.95",51.04,7.3089e-08,7.1361,7.5311e-06,"Infected - Control"
"472.6863 / 11.31  MHK2",50.932,7.4567e-08,7.1275,7.5389e-06,"Infected - Control"
"332.2180 / 10.73",50.819,7.6143e-08,7.1184,7.5389e-06,"Infected - Control"
"388.2011 / 7.12",50.791,7.6531e-08,7.1162,7.5389e-06,"Infected - Control"
"422.2507 / 12.64",50.76,7.6977e-08,7.1136,7.5389e-06,"Infected - Control"
"814.3984 / 10.80  M-H-",50.752,7.7085e-08,7.113,7.5389e-06,"Infected - Control"
"560.7822 / 19.86  M2H2",50.74,7.7255e-08,7.1121,7.5389e-06,"Infected - Control"
"436.1726 / 12.88",50.737,7.7295e-08,7.1118,7.5389e-06,"Infected - Control"
"532.2345 / 14.20  M2H2",50.643,7.8651e-08,7.1043,7.5723e-06,"Infected - Control"
"418.1655 / 14.43  MH",50.632,7.8823e-08,7.1033,7.5723e-06,"Infected - Control"
"453.7125 / 10.42",50.494,8.0858e-08,7.0923,7.7098e-06,"Infected - Control"
"466.2280 / 15.30",50.372,8.271e-08,7.0824,7.828e-06,"Infected - Control"
"458.2427 / 14.00  M",50.323,8.3466e-08,7.0785,7.8415e-06,"Infected - Control"
"855.9305 / 12.86  M-2H2-",50.22,8.5085e-08,7.0701,7.8663e-06,"Infected - Control"
"522.2210 / 17.20  M-2H2-",50.203,8.5358e-08,7.0688,7.8663e-06,"Infected - Control"
"187.1082 / 2.29",50.189,8.5577e-08,7.0676,7.8663e-06,"Infected - Control"
"501.2551 / 12.44",49.954,8.9418e-08,7.0486,8.1458e-06,"Infected - Control"
"488.2569 / 13.17",49.919,9.0001e-08,7.0458,8.1458e-06,"Infected - Control"
"441.2346 / 6.68  MCH3OHH",49.888,9.053e-08,7.0432,8.1458e-06,"Infected - Control"
"390.1663 / 15.68",49.82,9.1698e-08,7.0376,8.1932e-06,"Infected - Control"
"507.2452 / 10.46  MNa",49.76,9.2736e-08,7.0328,8.2254e-06,"Infected - Control"
"306.1465 / 5.16  MH",49.725,9.3346e-08,7.0299,8.2254e-06,"Infected - Control"
"494.2521 / 3.07",49.667,9.4365e-08,7.0252,8.2582e-06,"Infected - Control"
"666.8180 / 19.83  M2H2",49.587,9.578e-08,7.0187,8.2974e-06,"Infected - Control"
"404.1803 / 18.31  M-H-",49.569,9.6111e-08,7.0172,8.2974e-06,"Infected - Control"
"326.2082 / 9.82",49.428,9.8691e-08,7.0057,8.4614e-06,"Infected - Control"
"588.1083 / 10.48",49.394,9.9336e-08,7.0029,8.4614e-06,"Infected - Control"
"661.2680 / 15.12",49.185,1.0332e-07,6.9858,8.6577e-06,"Infected - Control"
"451.2195 / 11.27",49.154,1.0392e-07,6.9833,8.6577e-06,"Infected - Control"
"814.4085 / 8.68",49.15,1.04e-07,6.983,8.6577e-06,"Infected - Control"
"492.2111 / 10.45",49.133,1.0435e-07,6.9815,8.6577e-06,"Infected - Control"
"189.0774 / 11.25",49.071,1.0557e-07,6.9765,8.6799e-06,"Control - Infected"
"364.1868 / 14.15",49.051,1.0598e-07,6.9748,8.6799e-06,"Infected - Control"
"557.2928 / 15.12",48.995,1.071e-07,6.9702,8.7164e-06,"Infected - Control"
"314.1347 / 7.73",48.842,1.1026e-07,6.9576,8.8453e-06,"Infected - Control"
"421.1888 / 22.30",48.826,1.106e-07,6.9563,8.8453e-06,"Control - Infected"
"328.1513 / 11.72  M-H-",48.781,1.1155e-07,6.9525,8.8453e-06,"Infected - Control"
"364.8746 / 3.94",48.767,1.1184e-07,6.9514,8.8453e-06,"Infected - Control"
"518.2822 / 15.69  MNH4",48.752,1.1215e-07,6.9502,8.8453e-06,"Infected - Control"
"523.2119 / 7.93  MNa-2H-",48.674,1.1383e-07,6.9437,8.9228e-06,"Infected - Control"
"330.2029 / 10.68",48.514,1.1735e-07,6.9305,9.1424e-06,"Infected - Control"
"245.1872 / 5.71",48.38,1.2039e-07,6.9194,9.3227e-06,"Infected - Control"
"512.7746 / 13.42  M2H2",48.254,1.2333e-07,6.9089,9.4403e-06,"Infected - Control"
"295.1669 / 5.16  MNH4",48.224,1.2402e-07,6.9065,9.4403e-06,"Infected - Control"
"482.7297 / 8.72  M2H2",48.22,1.2413e-07,6.9061,9.4403e-06,"Infected - Control"
"536.2383 / 10.22",48.153,1.2572e-07,6.9006,9.5048e-06,"Infected - Control"
"352.1475 / 11.73  MNa",48.09,1.2725e-07,6.8954,9.5398e-06,"Infected - Control"
"429.1616 / 8.16",48.073,1.2768e-07,6.8939,9.5398e-06,"Infected - Control"
"465.2696 / 15.50  MNa",47.911,1.317e-07,6.8804,9.6942e-06,"Infected - Control"
"530.3178 / 15.53",47.903,1.319e-07,6.8798,9.6942e-06,"Infected - Control"
"295.1669 / 5.71",47.878,1.3253e-07,6.8777,9.6942e-06,"Infected - Control"
"547.3103 / 13.42  MHNa2",47.869,1.3278e-07,6.8769,9.6942e-06,"Infected - Control"
"327.1345 / 8.81",47.591,1.4008e-07,6.8536,1.0122e-05,"Infected - Control"
"334.1397 / 6.13  MH",47.557,1.4099e-07,6.8508,1.0122e-05,"Infected - Control"
"558.7644 / 19.86  M-2H2-",47.553,1.411e-07,6.8505,1.0122e-05,"Infected - Control"
"447.2441 / 12.76",47.527,1.4181e-07,6.8483,1.0122e-05,"Infected - Control"
"632.2772 / 15.72",47.464,1.4353e-07,6.843,1.0189e-05,"Infected - Control"
"388.7287 / 3.76  M2H2",47.371,1.4615e-07,6.8352,1.0317e-05,"Infected - Control"
"516.3401 / 19.15  MH",47.337,1.471e-07,6.8324,1.0327e-05,"Infected - Control"
"493.7270 / 19.37  MHNa2",47.259,1.4937e-07,6.8257,1.0427e-05,"Infected - Control"
"470.1875 / 11.02",47.232,1.5015e-07,6.8235,1.0427e-05,"Infected - Control"
"350.1709 / 8.34  MH",47.088,1.5439e-07,6.8114,1.0628e-05,"Infected - Control"
"470.2720 / 9.68",47.053,1.5543e-07,6.8085,1.0628e-05,"Infected - Control"
"284.1127 / 9.44",47.05,1.5555e-07,6.8081,1.0628e-05,"Control - Infected"
"457.5849 / 12.00",46.949,1.5863e-07,6.7996,1.0765e-05,"Infected - Control"
"774.3579 / 20.14  MH",46.918,1.5958e-07,6.797,1.0765e-05,"Infected - Control"
"619.7546 / 20.11  M2H2",46.902,1.6008e-07,6.7957,1.0765e-05,"Infected - Control"
"231.0714 / 13.01",46.855,1.6155e-07,6.7917,1.0807e-05,"Control - Infected"
"450.7450 / 14.10  M2H2",46.827,1.6243e-07,6.7893,1.0809e-05,"Infected - Control"
"430.1978 / 11.64  MH",46.561,1.7111e-07,6.7667,1.1328e-05,"Infected - Control"
"448.2111 / 7.58",46.533,1.7203e-07,6.7644,1.133e-05,"Infected - Control"
"500.2716 / 7.80",46.466,1.7431e-07,6.7587,1.1421e-05,"Infected - Control"
"590.2311 / 13.59  MH",46.422,1.7583e-07,6.7549,1.1462e-05,"Infected - Control"
"408.7460 / 9.41  M2Na2",46.338,1.7874e-07,6.7478,1.1592e-05,"Infected - Control"
"590.2911 / 16.30  M2",46.302,1.7999e-07,6.7447,1.1615e-05,"Infected - Control"
"446.7056 / 11.36",46.259,1.8153e-07,6.7411,1.1655e-05,"Infected - Control"
"346.6914 / 8.06  M2H2",46.227,1.8267e-07,6.7383,1.167e-05,"Infected - Control"
"703.2735 / 19.76  MNa-2H-",46.165,1.849e-07,6.7331,1.1739e-05,"Infected - Control"
"425.2027 / 15.20  M-H-",46.147,1.8559e-07,6.7315,1.1739e-05,"Infected - Control"
"453.1975 / 6.91",46.109,1.8697e-07,6.7282,1.1768e-05,"Infected - Control"
"510.3289 / 15.85",46.075,1.8822e-07,6.7253,1.1788e-05,"Infected - Control"
"429.2712 / 15.30",45.845,1.9695e-07,6.7056,1.2267e-05,"Infected - Control"
"701.3137 / 19.36  M-2H2-",45.824,1.9778e-07,6.7038,1.2267e-05,"Infected - Control"
"445.2674 / 12.49",45.751,2.0063e-07,6.6976,1.2384e-05,"Infected - Control"
"404.1487 / 16.25  M-H-",45.694,2.0291e-07,6.6927,1.2451e-05,"Infected - Control"
"415.2297 / 1.91",45.676,2.0366e-07,6.6911,1.2451e-05,"Infected - Control"
"332.2181 / 9.28  MH",45.529,2.0965e-07,6.6785,1.2756e-05,"Infected - Control"
"250.1290 / 7.36  MH",45.448,2.1305e-07,6.6715,1.2901e-05,"Control - Infected"
"752.3291 / 19.23  M-H-",45.319,2.1861e-07,6.6603,1.3095e-05,"Infected - Control"
"259.1295 / 2.73  M-H-",45.303,2.193e-07,6.659,1.3095e-05,"Infected - Control"
"360.2140 / 13.63",45.283,2.2019e-07,6.6572,1.3095e-05,"Infected - Control"
"545.2679 / 1.93",45.279,2.2035e-07,6.6569,1.3095e-05,"Infected - Control"
"542.2931 / 9.50",45.194,2.241e-07,6.6496,1.3178e-05,"Infected - Control"
"354.2024 / 19.61  M-H-",45.184,2.2458e-07,6.6486,1.3178e-05,"Infected - Control"
"445.3022 / 15.98",45.178,2.2484e-07,6.6481,1.3178e-05,"Infected - Control"
"409.2094 / 10.45  MNH4",45.121,2.2742e-07,6.6432,1.3253e-05,"Infected - Control"
"300.1555 / 8.90  MH",45.104,2.2819e-07,6.6417,1.3253e-05,"Infected - Control"
"277.1194 / 3.91",44.976,2.3408e-07,6.6306,1.3533e-05,"Infected - Control"
"366.2029 / 14.17",44.954,2.3513e-07,6.6287,1.3533e-05,"Infected - Control"
"338.1712 / 17.36  M-H-",44.787,2.4309e-07,6.6142,1.3928e-05,"Infected - Control"
"634.2771 / 18.95  M-H-",44.753,2.4478e-07,6.6112,1.3962e-05,"Infected - Control"
"245.1872 / 7.72  MH",44.636,2.5057e-07,6.6011,1.4229e-05,"Infected - Control"
"466.2679 / 15.17  M2H2",44.542,2.5537e-07,6.5928,1.4437e-05,"Infected - Control"
"423.2236 / 10.54",44.46,2.5964e-07,6.5856,1.4614e-05,"Infected - Control"
"543.2772 / 16.91",44.378,2.6397e-07,6.5784,1.4793e-05,"Infected - Control"
"359.1575 / 10.11",44.232,2.7183e-07,6.5657,1.5167e-05,"Infected - Control"
"495.2456 / 14.17",44.205,2.733e-07,6.5634,1.5183e-05,"Infected - Control"
"245.2346 / 1.00",44.169,2.7533e-07,6.5601,1.5229e-05,"Infected - Control"
"215.1395 / 2.16",44.046,2.8227e-07,6.5493,1.5545e-05,"Infected - Control"
"793.7406 / 20.06",43.982,2.8595e-07,6.5437,1.5618e-05,"Control - Infected"
"564.3021 / 17.40",43.977,2.8623e-07,6.5433,1.5618e-05,"Infected - Control"
"470.7539 / 18.84  M4H4",43.959,2.8726e-07,6.5417,1.5618e-05,"Infected - Control"
"201.1239 / 2.32",43.913,2.9e-07,6.5376,1.5701e-05,"Infected - Control"
"665.3238 / 17.20  M-H-",43.681,3.0398e-07,6.5172,1.6388e-05,"Infected - Control"
"406.1654 / 16.27  MH",43.606,3.0864e-07,6.5105,1.6569e-05,"Infected - Control"
"679.3252 / 19.29",43.493,3.1588e-07,6.5005,1.6887e-05,"Infected - Control"
"687.3696 / 18.04  MH",43.395,3.2225e-07,6.4918,1.7156e-05,"Infected - Control"
"232.0643 / 11.75  MH",43.362,3.2443e-07,6.4889,1.72e-05,"Control - Infected"
"504.2652 / 11.48  MH",43.164,3.3784e-07,6.4713,1.7837e-05,"Infected - Control"
"703.3452 / 19.88",43.135,3.3985e-07,6.4687,1.7869e-05,"Infected - Control"
"488.2718 / 16.09",42.998,3.4959e-07,6.4564,1.8306e-05,"Infected - Control"
"389.2034 / 3.03  M-H-",42.964,3.52e-07,6.4535,1.8357e-05,"Infected - Control"
"545.2924 / 13.42",42.917,3.5544e-07,6.4492,1.8461e-05,"Infected - Control"
"243.1710 / 6.86  M-H-",42.88,3.5816e-07,6.4459,1.8527e-05,"Infected - Control"
"692.3373 / 19.34",42.83,3.6185e-07,6.4415,1.859e-05,"Infected - Control"
"590.2780 / 11.00  MAcO-H-",42.825,3.6228e-07,6.441,1.859e-05,"Infected - Control"
"440.2411 / 16.30  M2H2",42.674,3.7372e-07,6.4275,1.91e-05,"Infected - Control"
"630.2625 / 15.74",42.609,3.7878e-07,6.4216,1.9273e-05,"Infected - Control"
"398.2031 / 11.87",42.587,3.8049e-07,6.4197,1.9273e-05,"Infected - Control"
"553.2641 / 13.63",42.573,3.8163e-07,6.4184,1.9273e-05,"Infected - Control"
"292.1309 / 4.36",42.461,3.9057e-07,6.4083,1.9647e-05,"Infected - Control"
"544.3068 / 9.49",42.141,4.1738e-07,6.3795,2.0913e-05,"Infected - Control"
"468.7141 / 15.70  M2H2",42.056,4.2484e-07,6.3718,2.1204e-05,"Infected - Control"
"761.6869 / 19.44  M3H3",41.741,4.5372e-07,6.3432,2.2557e-05,"Infected - Control"
"221.0925 / 3.01",41.593,4.6808e-07,6.3297,2.3181e-05,"Infected - Control"
"746.4036 / 1.88",41.49,4.7832e-07,6.3203,2.3597e-05,"Infected - Control"
"340.1869 / 17.48  M-H-",41.468,4.8053e-07,6.3183,2.3614e-05,"Infected - Control"
"444.9064 / 15.61",41.419,4.8545e-07,6.3139,2.3714e-05,"Infected - Control"
"260.1976 / 1.48",41.411,4.8627e-07,6.3131,2.3714e-05,"Infected - Control"
"453.2346 / 9.64",41.378,4.8964e-07,6.3101,2.3788e-05,"Infected - Control"
"151.0400 / 18.37",41.35,4.9257e-07,6.3075,2.3839e-05,"Control - Infected"
"264.1965 / 19.21",41.214,5.0696e-07,6.295,2.4443e-05,"Control - Infected"
"571.7720 / 19.86  MHNa2",41.138,5.1516e-07,6.2881,2.4745e-05,"Infected - Control"
"397.1967 / 11.44",41.098,5.1947e-07,6.2844,2.4859e-05,"Infected - Control"
"390.2066 / 7.41  M2H2",41.051,5.2466e-07,6.2801,2.5014e-05,"Infected - Control"
"293.1135 / 3.01",41.009,5.293e-07,6.2763,2.5141e-05,"Infected - Control"
"417.2377 / 8.49",40.744,5.599e-07,6.2519,2.6121e-05,"Infected - Control"
"618.2828 / 19.90  M-H-",40.741,5.6031e-07,6.2516,2.6121e-05,"Infected - Control"
"402.1977 / 2.26  M-H-",40.739,5.6059e-07,6.2514,2.6121e-05,"Infected - Control"
"243.1352 / 2.73  MH",40.734,5.6113e-07,6.2509,2.6121e-05,"Infected - Control"
"337.1497 / 2.26",40.712,5.638e-07,6.2489,2.6121e-05,"Infected - Control"
"400.2191 / 11.88",40.71,5.6397e-07,6.2487,2.6121e-05,"Infected - Control"
"266.0660 / 10.38",40.708,5.6424e-07,6.2485,2.6121e-05,"Control - Infected"
"346.1975 / 9.31  MH",40.65,5.7123e-07,6.2432,2.6272e-05,"Infected - Control"
"607.3201 / 18.51",40.647,5.7164e-07,6.2429,2.6272e-05,"Infected - Control"
"807.4238 / 19.41",40.63,5.7369e-07,6.2413,2.6272e-05,"Infected - Control"
"558.2532 / 17.50  M2H2",40.499,5.8993e-07,6.2292,2.6865e-05,"Infected - Control"
"316.1658 / 11.89  M-H-",40.492,5.9083e-07,6.2285,2.6865e-05,"Infected - Control"
"772.4102 / 19.99  MH",40.406,6.0174e-07,6.2206,2.7264e-05,"Infected - Control"
"580.2605 / 15.38  MNa",40.36,6.0767e-07,6.2163,2.7435e-05,"Infected - Control"
"263.1010 / 11.72  MNa-2H-",40.301,6.1545e-07,6.2108,2.7689e-05,"Infected - Control"
"514.2635 / 10.70  M2",40.259,6.21e-07,6.2069,2.7749e-05,"Infected - Control"
"278.1581 / 11.15",40.258,6.2114e-07,6.2068,2.7749e-05,"Infected - Control"
"418.1920 / 11.46",40.192,6.299e-07,6.2007,2.8043e-05,"Infected - Control"
"249.1236 / 3.37  MH",40.164,6.3375e-07,6.1981,2.8116e-05,"Infected - Control"
"452.2443 / 9.94",40.109,6.4121e-07,6.193,2.8349e-05,"Infected - Control"
"473.2978 / 19.48",40.087,6.4425e-07,6.1909,2.8385e-05,"Infected - Control"
"391.2358 / 11.38",40.071,6.4657e-07,6.1894,2.8389e-05,"Infected - Control"
"204.0683 / 11.45",40.053,6.4898e-07,6.1878,2.8397e-05,"Control - Infected"
