"","Loading (t1)","OrthoLoading (to1)"
"246.1819 / 3.25",-0.0093554,-0.013648
"246.1876 / 5.71",-0.014068,-0.012812
"246.1896 / 7.70",-0.01324,-0.015062
"246.2074 / 2.52",-0.010353,-0.00059137
"246.2365 / 1.04",-0.0064018,-0.014671
"246.2435 / 19.65  MH",-0.0055141,0.0025771
"246.6334 / 14.76",-0.00652,-0.0046079
"246.9234 / 1.29",0.009961,-0.013042
"246.9514 / 1.34",0.005408,0.0020997
"247.0040 / 24.02",-0.0056508,0.0073413
"247.0042 / 25.73",0.0024808,0.00090977
"247.0042 / 27.57",-0.0015444,0.0015287
"247.0044 / 26.85",-0.0027109,0.0018865
"247.0045 / 1.15  MH",0.0078734,-0.013893
"247.0045 / 24.99",-0.00066236,-0.0035591
"247.0272 / 8.33",-0.0054576,0.01038
"247.0433 / 2.46  2MNa",0.0041801,-0.001119
"247.0918 / 20.72",-0.0087384,-0.010918
"247.0928 / 1.55  MH",0.0055565,-0.012125
"247.1081 / 10.59  MH",0.0023249,-0.016824
"247.1104 / 18.85",-0.009323,-0.014535
"247.1113 / 3.61",0.0022522,-0.012338
"247.1286 / 4.16",0.006977,-0.013929
"247.1288 / 3.60",0.0070763,-0.011991
"247.1292 / 19.02",-0.010004,-0.0081292
"247.1297 / 1.86",-0.006403,-0.018276
"247.1297 / 3.05",-0.0021883,-0.022669
"247.1402 / 1.87  MNH4",-0.0038301,-0.017151
"247.1449 / 8.01  MH",0.011205,-0.015814
"247.1453 / 19.39",-0.0033596,0.0064508
"247.1773 / 21.71  MNa",-0.0015095,-0.0017727
"247.2462 / 19.67",-0.0035976,0.003315
"247.6588 / 8.40",-0.0037268,-0.0085248
"248.0917 / 2.44",0.012589,-0.0097539
"248.0927 / 10.59",0.0051672,-0.01374
"248.0946 / 4.03  MNH4",0.0057563,-0.014539
"248.1473 / 8.01  MH",0.011242,-0.015381
"248.1494 / 1.80",0.0015296,-0.0205
"249.0544 / 2.42",-0.0021968,-0.018835
"249.0611 / 4.22  MNa",0.011133,-0.014557
"249.0866 / 21.85",-0.0002903,-0.0089335
"249.1104 / 19.97",0.0052464,0.014323
"249.1236 / 3.37  MH",-0.01396,-0.014564
"249.1246 / 11.64",0.0039564,-0.0047282
"249.1272 / 2.60",-0.0048266,-0.018653
"249.1576 / 12.86",-0.0063181,-0.012492
"249.1583 / 10.27",-0.00060052,0.0089907
"249.1584 / 11.06",0.00021749,0.0024558
"249.1772 / 22.15",-0.0011314,0.0072067
"250.0382 / 7.32",-0.0058225,-0.0029479
"250.0716 / 11.49",0.014688,7.8305e-05
"250.1079 / 3.59  MCH3OHH",0.012298,-0.010082
"250.1290 / 7.36  MH",0.01369,-0.0063838
"250.1439 / 7.08",0.0099979,-0.0098585
"250.1615 / 11.36",0.0011498,0.0040841
"250.1725 / 21.84  MH",0.00455,0.0090038
"250.1750 / 16.66",3.741e-05,0.0027765
"250.1781 / 24.14",0.0005196,-0.0049321
"251.0145 / 5.28",0.0013236,-0.0020434
"251.0147 / 5.89",-0.0012759,-0.00055005
"251.0999 / 6.82  MNa",-0.013297,-0.012502
"251.1032 / 22.10",-0.0070196,-0.0075918
"251.1059 / 1.88",-0.0028042,-0.021095
"251.1267 / 22.13",-0.0045725,-0.012733
"251.1373 / 4.86  MNa",-0.0078829,-0.017889
"251.1502 / 8.36",-0.0049987,-0.017735
"251.1503 / 10.07",-0.0047781,-0.0096774
"251.1758 / 12.16",0.012565,0.0019206
"251.2379 / 0.47",0.0051944,-0.0016646
"251.6311 / 7.99  M2H2",-0.0049965,-0.010312
"252.0735 / 9.87",0.0087457,-0.016183
"252.0910 / 1.87",0.011633,-0.016228
"252.1140 / 21.20  MH",0.0042152,0.0072847
"252.1515 / 19.00",0.0061374,0.016445
"252.1515 / 20.06  MNH4",0.0039726,0.015901
"252.1556 / 21.29",0.00095103,0.00030126
"253.0368 / 8.29  MK",-0.012483,0.0067426
"253.0937 / 8.52",-0.0029533,-0.0026309
"253.0989 / 16.19",0.0013119,0.0071787
"253.0989 / 20.19",-0.0057924,0.0076882
"253.0990 / 19.22",0.0036559,0.014923
"253.1039 / 16.76",-0.001914,0.0048133
"253.1040 / 18.25",0.0027765,0.0070409
"253.1191 / 2.28  MCH3OHH",-0.0076733,-0.017294
"253.1195 / 2.92  MNH4",-0.012668,-0.013777
"253.1323 / 21.11",-0.00071706,0.0031064
"253.1522 / 3.82",-0.0049173,-0.01936
"253.1524 / 3.08",-0.01258,-0.014735
"253.2163 / 23.01",0.0068202,0.0054115
"254.0466 / 11.78  MNa",0.011948,-0.001606
"254.0488 / 5.40",-0.0020904,-0.0096038
"254.0588 / 12.39",0.0012986,-0.0064583
"254.0593 / 10.81",0.0020822,0.0023798
"254.0595 / 11.34",0.0093785,-0.002611
"254.1025 / 19.06",0.0077518,0.015429
"254.1388 / 5.33  M",0.0072991,-0.0044849
"254.1396 / 8.26",-0.0059285,-0.014454
"254.1611 / 3.58",-0.0066161,-0.01787
"254.6421 / 3.54",-0.0063933,-0.011798
"254.9825 / 1.18",-0.0013396,0.00073394
"254.9832 / 1.88",0.00078775,0.014631
"254.9900 / 3.95",0.0051693,0.012846
"255.0495 / 5.01  MNa",-0.0041273,0.00097867
"255.1325 / 2.44  MNa",-0.0092424,-0.017667
"255.1453 / 7.31",-0.00045788,-0.012179
"255.1585 / 21.37",0.0017939,0.0022567
"255.2052 / 23.22",0.004755,0.0073177
"256.1156 / 10.81",0.0068759,-0.0082925
"256.1774 / 8.50  MH",-0.010697,-0.017096
"256.2641 / 23.72  MNH4",-0.0017316,0.0094164
"256.3011 / 21.42",0.0064601,0.00088795
"256.8146 / 1.42",0.006675,0.0064708
"256.9582 / 20.32",0.0024978,-0.012287
"256.9586 / 31.78",0.0066008,-0.003696
"256.9586 / 8.71",-0.00563,0.0032151
"256.9589 / 21.22",0.0049053,-0.00050067
"256.9589 / 29.06",0.0093596,0.0026177
"256.9622 / 7.44  MK",-0.0027028,0.0070703
"256.9627 / 6.87",-0.00075544,-0.0049927
"256.9631 / 12.20",0.0013318,-0.0038671
"256.9632 / 14.05",-0.0036957,-0.0094106
"256.9636 / 16.96",0.0048298,0.0062889
"256.9641 / 15.19",-0.0041799,-0.011111
"256.9641 / 17.56",0.0022276,-0.0014253
"256.9643 / 19.37",-0.0022151,-0.0054271
"256.9644 / 18.07",0.0033647,-0.0053476
"256.9645 / 23.61",-0.0036378,0.0027897
"256.9646 / 15.97",-0.00075538,-0.0082059
"256.9647 / 13.27",9.4408e-05,-0.0084207
"256.9648 / 11.55",-0.0041926,-0.012241
"256.9649 / 21.82",-0.0038816,-0.0039529
"256.9649 / 22.88",-0.0028384,0.0027659
"256.9649 / 29.77",-4.7577e-05,0.0002924
"256.9651 / 10.85",0.0055354,-0.0024326
"256.9652 / 24.86",-0.0013686,-0.0015553
"256.9653 / 0.45",-0.0019401,0.0028694
"256.9653 / 14.67",-0.0007117,-0.0083942
"256.9653 / 24.15",0.002276,-0.0043059
"256.9653 / 9.91",-0.00013151,-0.0073675
"256.9654 / 26.03",0.0040048,0.0073317
"256.9657 / 1.04",-0.012484,0.010985
"256.9658 / 28.01",-0.0022194,0.0038581
"257.0998 / 13.96  MH",0.0065158,0.011078
"257.1136 / 4.62  MH",0.0051505,-0.018585
"257.1487 / 1.55",0.0084555,-0.015983
"257.1500 / 15.67  MH",0.0026059,-0.011981
"257.1523 / 22.62  MNa",-0.0013071,-0.0067865
"257.1618 / 11.77",-0.0084806,-0.0084519
"257.1626 / 8.99  MNa",0.0003668,-0.0059499
"257.1635 / 7.97  MNa",0.0094756,-0.0025295
"257.9686 / 1.10",-0.0089299,0.012475
"257.9811 / 6.92",0.0022533,-0.0032984
"258.0611 / 2.52",0.010064,-0.015601
"258.0952 / 3.73",0.012379,-0.0074758
"258.1107 / 1.48  MH",0.006132,-0.014922
"258.1160 / 4.65",0.006364,-0.020231
"258.1342 / 2.13",0.010018,-0.016973
"258.1451 / 1.81  MH",0.0086047,-0.017943
"258.1457 / 7.99",0.0030481,-0.0079744
"258.1669 / 7.99",0.01031,-0.0054141
"258.1709 / 9.44",-0.0081022,-0.0074553
"258.1710 / 6.57",-0.0055953,0.0026353
"258.1814 / 1.04  MH",-0.015753,-0.0078402
"258.2806 / 21.27",-0.0057981,-0.0007955
"258.9642 / 1.06",-0.007183,0.013662
"258.9955 / 1.06",-0.0097301,0.0045483
"259.0695 / 4.48",0.0033609,-0.011006
"259.0947 / 20.50  MH",-0.0021981,-0.0082127
"259.1057 / 3.21  MNa",0.0033466,-0.021586
"259.1228 / 21.35  MNa",0.00069092,0.0095826
"259.1402 / 2.54",0.01118,-0.012726
"259.1583 / 23.32",0.0046944,0.0017253
"259.1737 / 9.47",-0.0042444,-0.0035532
"259.1765 / 4.75",0.0022809,-0.0083064
"260.0935 / 14.11",0.0048425,0.00061668
"260.1609 / 1.86",-0.0066544,-0.020784
"260.1617 / 2.38  MNH4",-0.0054761,-0.020253
"260.1863 / 11.30",0.0019856,-0.020035
"260.1976 / 1.48",-0.014619,-0.014667
"260.9281 / 1.43",-0.0072523,-0.0024649
"261.0587 / 1.80",0.011811,-0.010903
"261.0879 / 2.35",-0.0038056,-0.019534
"261.0904 / 7.58",-0.01027,-0.016915
"261.0983 / 2.14",0.00017512,-0.017911
"261.1311 / 6.72",-0.0033105,-0.0053496
"261.1317 / 9.73",-0.0035512,0.0048949
"261.1446 / 2.12  MNH4",-0.0043929,-0.020777
"261.1450 / 2.73",-0.01293,-0.013886
"261.1455 / 5.07  MNH4",0.0021721,-0.021331
"262.0387 / 2.30",0.0071771,-0.017726
"262.0387 / 9.58",-0.0081463,-0.0068627
"262.0447 / 15.24",0.0032999,-0.0049041
"262.1195 / 4.58  MNH4",-0.0090418,-0.015984
"262.1292 / 1.62",0.01318,-0.011042
"262.1408 / 1.83  MCH3OHH",0.0086429,-0.016872
"262.1489 / 2.71",-0.0016352,-0.018555
"262.1648 / 2.25  MCH3OHH",0.0089749,-0.015936
"262.2386 / 20.06",-0.00026071,0.0091397
"262.9753 / 5.03",-0.0043348,-0.0065793
"262.9757 / 20.45",-0.0011901,-0.0048973
"262.9801 / 3.58",-0.0060428,0.011855
"262.9801 / 6.88",-0.0012278,-0.0078013
"262.9802 / 29.09",0.0078111,0.0055896
"262.9806 / 4.44",0.00086965,-0.0052332
"262.9810 / 18.94",-0.0049408,-0.0095946
"262.9811 / 5.54",-0.0030836,-0.011025
"262.9811 / 7.50",0.0040993,0.0035921
"262.9812 / 0.40",0.00055863,0.0024868
"262.9813 / 12.71",-0.0034798,-0.01115
"262.9814 / 6.27",-0.0054022,-0.011638
"262.9816 / 15.72",-0.0072064,-0.0072072
"262.9817 / 17.65",-0.00068646,-0.0018133
"262.9818 / 10.01",0.002663,-0.015559
"262.9820 / 13.23",0.00097274,-0.010335
"262.9822 / 1.20  MNH4",-0.011854,0.010597
"262.9822 / 8.57",-0.0062048,0.010455
"262.9823 / 10.87",-0.001518,-0.011251
"262.9824 / 14.85",-0.0027907,-0.010989
"262.9827 / 22.30",-0.00039029,0.0051065
"262.9838 / 27.93  MH",-0.0023388,0.002041
"263.0223 / 2.43",0.006201,-0.0030298
"263.0553 / 21.42",-0.0037822,0.0030864
"263.0747 / 7.02",0.011961,-0.0068716
"263.1030 / 2.99  MH",-0.0075769,-0.018633
"263.1105 / 2.17",-0.0044287,-0.0011515
"263.1192 / 21.61  MH",0.00019522,0.0091808
"263.1391 / 6.94  MH",0.0035835,-0.0068492
"263.1394 / 2.58",0.0032511,-0.021262
"263.1398 / 9.99",-0.010064,-0.01398
"263.1399 / 19.75",-0.0048755,-0.012196
"263.1432 / 4.51",-0.012404,-0.015605
"263.1438 / 5.32  MH",-0.0075639,-0.018667
"263.2031 / 22.58",-0.0052881,-0.0095677
"263.6600 / 1.01",-0.010811,-0.009388
"264.0808 / 19.95",0.0017174,-0.0058216
"264.0825 / 4.80",0.011019,-0.014998
"264.1186 / 1.48  MNH4",-0.0040614,-0.012607
"264.1466 / 5.35  M",-0.010881,-0.016438
"264.1514 / 20.87",0.0010325,0.013106
"264.1810 / 1.84",-0.001774,-0.0085142
"264.1965 / 19.21",0.014553,-0.0084576
"265.0857 / 2.37",0.0017009,-0.015391
"265.1167 / 11.72  MNa",-0.0080186,-0.013934
"265.1192 / 10.59  MH",0.0043494,-0.012428
"265.1212 / 1.85",-0.0039382,-0.018684
"265.1327 / 11.07  MK",-0.0021494,-0.0014643
"265.1516 / 13.52",0.0073456,-0.0039621
"265.1557 / 5.55  MH",-0.0077585,-0.017414
"265.1565 / 6.29  MH",-0.0098196,-0.015041
"265.1715 / 22.89",-0.0010023,0.0090937
"265.1979 / 10.47  MH",-0.0020754,0.0034279
"266.0053 / 7.39",-0.0049808,-0.0029561
"266.0148 / 21.56",-0.0080281,-0.0016697
"266.0660 / 10.38",0.014836,-0.0006704
"266.1027 / 2.44  MH",0.012436,-0.014317
"266.1388 / 8.51",0.0085973,-0.016417
"266.1588 / 6.27",-0.010296,-0.016753
"266.1597 / 0.47",0.0056922,-0.00070904
"266.1662 / 21.19",-0.00041479,0.012108
"266.1668 / 21.74  MH",0.0017553,0.0077206
"266.1733 / 24.15",-0.0036268,0.0018454
"266.2031 / 22.63",-0.0030353,0.0083773
"267.0591 / 1.89",0.012837,-0.0066104
"267.0593 / 2.58",0.0096917,-0.010901
"267.0605 / 21.00",-0.0031167,0.010817
"267.0978 / 20.44  MNa",0.0015527,-0.0045306
"267.1338 / 2.41  MH",-0.0072089,-0.017927
"267.1353 / 3.37  MH",-0.013885,-0.011213
"267.1689 / 6.90  MNa",-0.013586,-0.016066
"267.1689 / 7.75  MNa",-0.013128,-0.014676
"267.1719 / 5.78  MH",-0.012202,-0.0090162
"267.1868 / 22.80  M",-0.0022883,0.0080044
"267.2686 / 24.04  MH",-0.011598,-0.0045364
"268.1186 / 3.19  MCH3OHH",0.012252,-0.012053
"268.1557 / 8.92  MH",0.001972,-0.0028378
"268.1821 / 21.41  MCH3OHH",-0.0010448,0.01103
"268.1918 / 13.91  MH",0.0035437,0.0028572
"268.2247 / 19.65  MNa",0.0017421,0.013631
"268.9922 / 1.29",-0.0012363,-0.0026327
"268.9927 / 26.87",-0.0038572,0.0045332
"268.9982 / 19.65",-0.0036434,-0.0070024
"268.9983 / 15.73",-0.010173,-0.00582
"268.9985 / 17.89",-0.00071344,-0.0033946
"268.9985 / 18.52",-0.0055289,0.00020077
"268.9986 / 14.32",0.0065,-0.0053828
"268.9986 / 9.85",-0.0077299,-0.0041906
"268.9987 / 10.50",-0.0030761,-0.0047586
"268.9987 / 12.69",0.0020977,-0.011224
"268.9987 / 9.11",-0.0059963,-0.0026329
"268.9988 / 28.10",0.0015226,-0.0083134
"268.9990 / 20.51",0.0041126,0.0033442
"268.9992 / 15.01",-0.003823,-0.0025804
"268.9993 / 16.84",0.00038597,-0.0056711
"268.9995 / 25.73",-0.0036175,7.7117e-06
"268.9998 / 25.16",-0.0021291,0.0049697
"269.0001 / 21.40  MK",0.0023152,0.0014089
"269.0740 / 1.80  MNa",0.012556,-0.0068873
"269.1010 / 19.86",0.0073677,0.011846
"269.1145 / 2.19  MNH4",-0.0070023,-0.014479
"269.1218 / 3.17",0.009151,-0.0193
"269.1268 / 8.04  MNa",0.011528,-0.014679
"269.1280 / 19.39",0.004025,0.0010836
"269.1551 / 2.15",-0.0054117,-0.018358
"269.1578 / 9.11",0.0029082,-0.00071566
"269.1615 / 3.21",0.002425,-0.020077
"269.1616 / 1.54",-0.012218,-0.012864
"269.6540 / 4.54",-0.0069769,-0.012201
"269.9748 / 7.50",-0.0080229,-0.0017373
"270.0015 / 22.69",0.0018707,-0.0047097
"270.0015 / 23.99",0.0050989,2.5822e-05
"270.0018 / 27.51",-0.0050933,0.00027586
"270.0023 / 1.30",0.0032893,-0.009402
"270.0023 / 26.33",0.0016874,0.0038009
"270.0024 / 23.36",-0.0022711,0.0061994
"270.0024 / 25.58",-0.0034623,0.0031335
"270.0033 / 24.84",-0.005507,0.0036166
"270.1292 / 7.95  MH",0.011551,-0.014685
"270.1931 / 2.47",-0.010191,-0.015924
"270.1932 / 4.93",-0.0089424,-0.012742
"270.1932 / 9.68",-0.012689,-0.014861
"270.3139 / 21.58",-0.0022804,0.0039745
"271.0753 / 12.82",-0.0050642,-0.01444
"271.0860 / 5.56",0.0069621,-0.017614
"271.0922 / 4.10",0.0083571,-0.013013
"271.1153 / 18.66",0.0056023,-0.011429
"271.1225 / 22.42",0.00337,0.0060282
"271.1404 / 6.84",-0.0042451,-0.014026
"271.1648 / 2.54",0.0068102,-0.018291
"271.1655 / 19.02",0.0022963,-0.0031605
"271.1875 / 21.79",0.00021803,0.0027838
"271.2061 / 20.94",0.00079594,-0.0032968
"271.2574 / 24.47",0.0037433,0.0027801
"271.2633 / 23.66  MCH3OHH",-0.0062378,-0.0039978
"272.1109 / 7.31  MNa",0.014496,-0.00015633
"272.1241 / 8.02  MH",-0.0085302,-0.018369
"272.1352 / 5.56",-0.0074944,-0.016285
"272.1370 / 2.60  M",-0.0027646,-0.014761
"272.1600 / 2.60  MH",-0.0113,-0.013387
"272.1695 / 9.02",-0.008679,-0.012625
"272.1716 / 6.74",-0.011244,-0.015926
"272.1723 / 5.16  MNH4",-0.0058563,-0.010001
"272.1729 / 3.20",-0.0054423,-0.019318
"272.1860 / 11.46",-0.0072334,0.00085576
"272.6682 / 3.53",-0.0091115,-0.013923
"272.9376 / 5.08",0.0013172,0.0010245
"272.9376 / 7.96",-0.0057036,0.01674
"272.9377 / 28.07",-0.0045817,0.0045898
"272.9377 / 3.60",-0.0048976,0.0061887
"272.9379 / 0.28",-0.0012503,0.005257
"272.9379 / 9.15",-0.0055679,0.0021008
"272.9379 / 9.91",-0.0065217,-0.012337
"272.9382 / 11.51",-0.0042344,-0.0065865
"272.9382 / 6.63",-0.00046024,-0.001055
"272.9383 / 31.97",-0.00034931,0.0069804
"273.0662 / 5.71  MH",-0.0051762,-0.0074087
"273.1191 / 5.02",-0.0077382,-0.014277
"273.1556 / 1.81",0.0057453,-0.017358
"273.1612 / 20.16",0.00056819,0.01186
"273.1660 / 19.04",0.0033954,0.014408
"273.1698 / 21.01",0.011346,-0.0035427
"273.1740 / 23.51",0.009627,0.0095957
"274.0921 / 15.56",-0.010656,-0.010004
"274.0951 / 21.20  MNa",-0.00064463,-0.0091947
"274.0974 / 14.14",-0.0076538,-0.015944
"274.1036 / 2.30",0.0096253,-0.0080048
"274.1530 / 8.11",-0.0058327,-0.014683
"274.1810 / 14.79",0.0078572,-0.0033541
"274.1826 / 1.00  MH",-0.0053867,-0.015667
"274.2749 / 20.60  MH",-0.0048259,-0.0090829
"274.9713 / 1.05",-0.0096054,0.013654
"275.0477 / 13.45",0.00021625,0.0012264
"275.0596 / 20.50",0.00052417,0.0023591
"275.0808 / 3.97",-0.0031311,0.0076617
"275.1106 / 3.13",-0.007721,-0.0094576
"275.1346 / 3.41",-0.011316,-0.011357
"275.1407 / 12.64",-0.0071308,0.0021875
"275.1558 / 22.25",-0.0024697,0.011199
"275.1716 / 1.81  MNH4",-0.0042503,-0.017761
"275.2082 / 1.04  MNH4",-0.011716,-0.014654
"275.2132 / 13.57  MH",0.013018,-0.0058665
"275.2782 / 20.62",-0.0036831,-0.008017
"275.9920 / 7.47",-0.0092741,-0.0027485
"276.0185 / 10.87",0.017406,-0.0013388
"276.0414 / 16.05  MNa",-0.0040918,0.00073358
"276.0717 / 2.52",0.0067987,-0.014144
"276.1084 / 2.42",0.004467,-0.014651
"276.1353 / 3.33",-0.003928,-0.017238
"276.1356 / 4.84",-0.010528,-0.016809
"276.1449 / 2.13  MCH3OHH",0.012548,-0.013667
"276.1551 / 1.86  MNH4",0.012466,-0.013388
"276.1558 / 2.60  MNH4",0.0044426,-0.01206
"276.1608 / 7.64",-0.0095765,-0.0051744
"276.1811 / 4.07",0.0059749,-0.018537
"276.2160 / 13.76",0.011971,-0.0056517
"276.2799 / 20.60",-0.0019581,-0.0066601
"277.1034 / 1.80",4.1493e-06,-0.019676
"277.1185 / 3.31  MH",-0.00016553,-0.01825
"277.1194 / 3.91",-0.014197,-0.010218
"277.1195 / 14.04",-0.0091204,-0.016947
"277.1345 / 20.54",-0.0013349,0.009103
"277.1414 / 21.37",0.00058386,0.0040046
"277.1478 / 2.06",0.011045,-0.015022
"277.1707 / 21.77",-0.0048218,0.002484
"277.1786 / 22.28",-0.0003296,-0.0038264
"277.1812 / 21.63  MH",0.0049368,-0.00081943
"277.6467 / 3.60",-0.011204,-0.014919
"278.0145 / 22.27",-0.0079496,0.0010418
"278.1134 / 2.54  MNH4",0.00040124,-0.019385
"278.1137 / 9.55  MNH4",-0.0089145,-0.0085257
"278.9547 / 0.34",-0.0014692,0.0056403
"278.9549 / 27.52",-0.0021532,-0.002905
"278.9550 / 9.95",-0.0030308,-0.0040532
"278.9551 / 21.61",0.0041145,0.0050095
"278.9551 / 31.52",0.00010448,-0.0058523
"279.0411 / 12.47",0.011459,-0.0077729
"279.0817 / 13.96  MNa",0.0066076,0.0099672
"279.0942 / 21.80",0.0047781,0.0041902
"279.0947 / 4.62  MNa",0.007626,-0.018725
"279.1020 / 1.86  MNH4",-0.0094244,-0.013035
"279.1143 / 20.58",0.0008682,0.0081378
"279.1316 / 15.67  MNa",-0.0006293,-0.013499
"279.1338 / 18.33",-0.0089914,-0.011011
"279.1339 / 3.67",-0.0083715,-0.014737
"279.1342 / 11.39",-0.005741,-0.015856
"279.1354 / 5.18",-0.009616,-0.016699
"279.1360 / 5.75",-0.0067419,-0.010768
"279.1379 / 2.68",-0.0068305,-0.017255
"279.1509 / 21.71  MH",0.0022225,0.015588
"279.1519 / 1.86",-0.0024022,-0.016768
"279.1523 / 3.89",-0.0018594,-0.012459
"279.1528 / 5.36",-0.0093911,-0.01525
"279.1529 / 6.04",0.0036322,0.0046806
"279.1586 / 22.74",-0.0069108,-0.0038554
"279.1715 / 10.12",-0.010238,-0.015696
"279.1718 / 11.13",-0.0092136,-0.016536
"279.1977 / 21.61",0.0012597,0.011734
"279.2071 / 9.73",-0.0039853,-0.013624
"279.2336 / 22.96",-0.0053146,-0.013732
"279.6622 / 2.13",-0.013153,-0.015516
"279.6625 / 7.98",-0.0092501,-0.01554
"280.0281 / 2.75",0.0053056,-0.013182
"280.0921 / 1.45  MNa",0.0097571,-0.011424
"280.1286 / 3.72",-0.005148,-0.017296
"280.1299 / 2.99  MNH4",-0.0094874,-0.019278
"280.1393 / 1.62  MH",0.012054,-0.013227
"280.1739 / 10.15",-0.011062,-0.012786
"280.1745 / 11.35",-0.013604,-0.012366
"280.2649 / 23.56",0.0073651,-0.00038119
"281.0446 / 0.04  M",-0.0042109,0.0068601
"281.0501 / 22.57",-0.0042132,-0.0042699
"281.0504 / 25.49",-0.0030055,-0.0015384
"281.0510 / 21.49",-0.0066576,0.012458
"281.0512 / 2.22",0.0053151,-0.0057314
"281.0514 / 1.63",-0.010262,0.0028559
"281.0514 / 15.50",-0.0061398,-0.0022138
"281.0516 / 11.77",-0.0022323,-0.0068852
"281.0516 / 7.95",0.0084474,-0.0057442
"281.0518 / 5.84",-0.0023024,-0.0028622
"281.0519 / 19.02",-0.0094359,-0.0074422
"281.0519 / 20.50",-0.0032477,0.0035609
"281.0519 / 9.26",-0.0011987,-0.0096397
"281.0520 / 1.10",0.0018523,-0.0018139
"281.0520 / 13.56",0.0044954,-0.0095821
"281.0520 / 14.85",-0.0032332,-0.0002226
"281.0520 / 23.56",-0.0019119,0.0025035
"281.0521 / 19.94",0.0020937,-0.0010066
"281.0522 / 12.84",-0.0054193,-0.015333
"281.0522 / 16.51",-0.0030733,-0.0049231
"281.0522 / 28.32",-0.0036448,0.0040589
"281.0527 / 3.84",0.00063713,-0.011914
"281.0528 / 28.88",-0.0036905,-0.0035943
"281.0530 / 17.48",0.0045403,-0.00058932
"281.0530 / 2.83",0.0040022,-0.016838
"281.0759 / 20.50  MNa",-0.00032702,-0.010648
"281.0989 / 13.56",0.0069948,-0.019331
"281.1120 / 2.67  MNa",-0.0045051,-0.018669
"281.1124 / 5.01",0.0082349,-0.019408
"281.1141 / 4.29",-0.011223,-0.013849
"281.1377 / 21.88",-0.0063091,0.0039421
"281.1499 / 2.58",0.0040066,-0.02134
"281.1507 / 3.31  MCH3OHH",-0.012623,-0.012116
"281.1737 / 22.62  MH",0.0084191,0.0055927
"281.2476 / 23.43",0.0036813,0.0027004
"282.0454 / 19.45",-0.0078946,0.00020048
"282.0503 / 22.57",-0.0066772,-0.00082607
"282.0504 / 10.47",-0.0029842,-0.0088127
"282.0508 / 15.38",0.00063222,-0.0099774
"282.0509 / 12.42",-0.0046261,-0.012179
"282.0514 / 14.49",-0.0024301,-0.011073
"282.0515 / 9.36",-0.0048487,-0.010202
"282.0516 / 17.35",0.00012878,-0.0077677
"282.0517 / 16.46",-0.0015097,-0.0013025
"282.0518 / 5.07  MH",0.00021413,-0.0036896
"282.0518 / 8.11",0.0020396,-0.0138
"282.0519 / 12.94",-0.00033204,-0.0069138
"282.0519 / 6.33",0.0034723,0.0056274
"282.0521 / 13.77",0.0060474,-0.0010165
"282.0522 / 2.16",-0.0010447,-0.0022783
"282.0523 / 29.75",-3.7446e-05,0.0016765
"282.0523 / 8.66  MH",0.0012779,-0.010843
"282.0524 / 11.57",-0.0078677,-0.0048829
"282.0524 / 31.71",-0.0059877,-7.8028e-05
"282.0525 / 0.06  MH",0.0005495,0.0010267
"282.0527 / 5.83",0.0023063,0.0061759
"282.0528 / 18.14",0.0014151,-0.00019919
"282.0529 / 3.13",0.0029532,0.0054724
"282.0530 / 7.19",0.00049298,-0.0025325
"282.1196 / 1.77",0.014012,-0.0083917
"282.1532 / 3.34",-0.011044,-0.01518
"282.1709 / 13.17",0.0016144,-0.010045
"282.1781 / 22.51  MK",0.010265,0.0019581
"282.1976 / 21.84  MCH3OHH",0.0041949,0.0087749
"282.2798 / 21.52",-0.010848,-0.0066083
"282.2807 / 23.81  MH",-0.0019159,0.0071631
"282.9770 / 2.88",0.0067772,-0.0016984
"283.0422 / 3.31",0.0053876,-0.0070459
"283.0422 / 4.57",-0.0044393,-0.0055752
"283.0423 / 14.98",-0.0039963,-0.0011297
"283.0423 / 3.92",-0.0017793,-0.014314
"283.0425 / 8.29",-0.00053648,-0.0077358
"283.0459 / 11.23",-0.0050261,-0.011492
"283.0468 / 13.06",-0.004727,-0.0093309
"283.0474 / 10.18",-0.00060215,0.0045231
"283.0479 / 13.62",0.0001929,-0.0032076
"283.0486 / 15.93",-0.003755,0.0024906
"283.0486 / 29.34",-0.0087058,-1.1223e-05
"283.0488 / 14.28",-0.00051663,0.0023577
"283.0488 / 2.38",0.0020756,-0.0066766
"283.0493 / 1.80",0.0028005,-0.010401
"283.0493 / 16.70",-0.0073448,0.0033864
"283.0494 / 17.71",-0.0034886,0.0006064
"283.0497 / 0.51",-0.0013471,-0.0016494
"283.0497 / 31.87",-0.005466,0.010806
"283.0499 / 6.88",-0.0054091,-0.0028351
"283.0500 / 11.76",-0.0082816,-0.0074331
"283.0500 / 9.63",0.0056766,-0.007786
"283.0503 / 6.04",-0.0027391,0.0027257
"283.1145 / 15.61",3.767e-05,-0.00025688
"283.1150 / 16.32",0.005264,-0.0021424
"283.1268 / 5.11",0.0060221,-0.020253
"283.1292 / 10.28",-0.0038974,-0.014092
"283.1302 / 2.38  MNH4",-0.0078655,-0.017407
"283.1424 / 19.96",0.0040785,-0.00016047
"283.1752 / 12.46",-0.0002304,0.0052773
"283.2079 / 21.86",0.0066695,0.0069276
"283.2245 / 23.24",-0.00066906,-0.004291
"284.1001 / 4.29  MH",-0.006531,-0.013015
