"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"107.0854 / 2.34",0.50434,0.41653,0.41638,0.42583,0.42801
"107.0854 / 6.45",0.33291,0.2854,0.29019,0.29018,0.293
"108.0441 / 9.67",0.58596,0.57108,0.59403,0.60147,0.60127
"109.1004 / 15.36",0.11428,0.40331,0.44023,0.4386,0.43843
"110.0351 / 4.09",0.38771,0.4354,0.43094,0.43215,0.43216
"110.0602 / 5.66",0.36181,1.2591,1.2402,1.2356,1.237
"110.0603 / 7.31",1.2804,1.0314,1.0205,1.018,1.0181
"110.0715 / 1.00",0.18319,1.0652,1.0539,1.053,1.0526
"110.9756 / 1.86",0.33199,0.5607,0.55186,0.54989,0.54967
"111.0072 / 2.02",0.46965,0.61964,0.62703,0.62694,0.62751
"111.0439 / 6.40",0.048908,0.74153,0.77512,0.77972,0.77941
"111.0624 / 7.24",0.62581,0.53705,0.53393,0.53311,0.53341
"112.0502 / 7.60",0.26231,1.2835,1.2634,1.2588,1.259
"112.0507 / 2.05",0.033415,0.48598,0.49958,0.49792,0.49775
"112.1119 / 4.02",0.87089,1.7309,1.732,1.7254,1.7247
"112.1120 / 1.00  MH",0.80337,0.68875,0.68345,0.68165,0.68138
"113.0230 / 1.81",0.41427,0.33589,0.33469,0.33886,0.33941
"113.0344 / 2.54  MH",0.24981,0.67545,0.66521,0.66268,0.66244
"113.0593 / 0.47",0.041968,0.51667,0.50922,0.50894,0.50904
"114.0660 / 1.45  MH",0.2623,0.59357,0.58798,0.5861,0.58588
"114.0662 / 2.14",0.39181,0.59435,0.64605,0.64369,0.64371
"114.0911 / 9.60",1.2471,2.0465,2.0164,2.0158,2.0172
"114.0915 / 8.26  MH",0.1831,0.39503,0.48396,0.48293,0.48414
"114.1279 / 6.36",0.85297,1.6063,1.5838,1.578,1.5781
"114.9453 / 29.67",0.63587,0.83731,0.8243,0.82207,0.82239
"114.9466 / 14.19",0.39506,0.65974,0.64935,0.65123,0.65315
"114.9467 / 11.58",0.013019,0.81813,0.80556,0.80876,0.80846
"114.9467 / 15.55",0.20065,0.65902,0.65482,0.67816,0.6779
"114.9470 / 17.41",0.1201,0.46418,0.62445,0.63403,0.63491
"114.9472 / 8.33",0.31636,0.37403,0.42817,0.42679,0.42915
"114.9473 / 16.18",0.0075273,0.26529,0.26162,0.26062,0.27228
"114.9474 / 10.48",0.97019,0.83571,0.87186,0.87518,0.87514
