"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"396.7291 / 7.28",1.1506,0.97955,0.97105,0.96741,0.96702
"396.8684 / 3.50",0.92273,0.89092,0.89536,0.93924,0.93907
"396.8757 / 12.63  M3H3",0.98267,0.78707,0.78102,0.77818,0.77985
"397.1103 / 6.99",0.32603,0.47268,0.4842,0.48488,0.4849
"397.1132 / 22.09  MNa",0.017464,0.11505,0.11439,0.11406,0.11413
"397.1252 / 22.09  MNa",0.046484,0.05542,0.055132,0.055527,0.055693
"397.1608 / 5.43",0.89495,0.81421,0.80452,0.80397,0.80385
"397.1730 / 3.24",1.0054,1.1804,1.1711,1.1675,1.1672
"397.1967 / 11.44",1.6854,1.4341,1.4121,1.407,1.4064
"397.2247 / 11.63",1.7497,1.4881,1.4646,1.459,1.4585
"397.2288 / 13.53  M2H2",1.197,1.0796,1.0874,1.0972,1.0969
"397.2549 / 23.09",0.46901,0.59386,0.62538,0.63309,0.63356
"397.3052 / 10.12",0.062415,0.23675,0.23346,0.24528,0.24882
"397.6993 / 20.02",1.2268,0.99684,0.99055,1.0099,1.0096
"397.8831 / 11.34  M3H3",1.0463,0.86328,0.85234,0.85421,0.85386
"397.9951 / 22.27",0.66113,0.81158,0.97684,0.97315,0.97364
"398.2040 / 1.87",1.4408,1.3619,1.3484,1.344,1.3436
"398.2217 / 11.12",1.6743,1.3194,1.3018,1.2968,1.2963
"398.2418 / 21.88",0.092289,0.078434,0.10132,0.10298,0.10505
"398.5762 / 9.00",1.483,1.2709,1.2786,1.2749,1.2743
"398.6634 / 14.43",1.1475,0.92043,0.93832,0.93868,0.93829
"398.9770 / 1.10",0.64636,0.94017,0.95771,0.95406,0.954
"399.1655 / 21.52",0.86872,0.70401,0.85234,0.85093,0.85074
"399.1691 / 11.28",0.33834,1.0926,1.0943,1.0907,1.0902
"399.1783 / 20.92",0.37958,1.0134,1.0085,1.0052,1.0069
"399.1879 / 2.31",1.4785,1.2505,1.2313,1.2273,1.2279
"399.1939 / 5.46",1.4609,1.2128,1.1951,1.1919,1.1917
"399.2082 / 8.85  M2H2",1.6598,1.3144,1.3167,1.3132,1.3132
"399.2257 / 17.17",1.4885,1.1811,1.1632,1.1646,1.1644
"399.2323 / 18.20  M2H2",1.2662,1.0615,1.045,1.043,1.0437
"399.2348 / 7.32",1.3265,1.0593,1.0584,1.0548,1.0544
"399.2349 / 9.68",0.66027,1.2918,1.2725,1.2719,1.2717
"399.2351 / 8.45",1.9866,1.5656,1.5462,1.5405,1.5401
"399.2352 / 6.58",1.851,1.4588,1.4395,1.4349,1.4344
"399.2519 / 22.94  MCH3OHH",0.19527,0.16967,0.17238,0.17184,0.17348
"399.2583 / 19.82",0.68595,0.54585,0.55878,0.56444,0.56432
"399.2586 / 18.69",1.2902,1.1317,1.1143,1.124,1.1243
"399.2595 / 16.45",1.3331,1.0752,1.1154,1.1116,1.1113
"399.2601 / 12.54  MH",2.8038,2.6527,2.6199,2.6112,2.6102
"399.2980 / 23.64",0.0098067,0.069748,0.076638,0.076633,0.076617
"399.3104 / 23.63",0.0032668,0.0067623,0.0070045,0.011162,0.011204
"399.5601 / 8.06  M3H3",0.99866,0.79094,0.842,0.85609,0.85575
"399.7032 / 10.81",1.8915,1.5384,1.5211,1.5175,1.5169
"399.7055 / 15.17",1.0081,0.80116,0.78959,0.80035,0.80014
"399.7269 / 11.20",1.539,1.2129,1.2004,1.197,1.1966
"399.8714 / 9.36  M3H3",1.1621,0.92315,0.90958,0.91065,0.91065
"399.9928 / 22.27",0.69219,0.79728,0.9469,0.9446,0.94458
"400.1873 / 8.67",1.7278,1.373,1.3511,1.3489,1.3484
"400.2060 / 11.83  M2Na2",1.8347,1.4497,1.427,1.4218,1.4214
"400.2191 / 11.88",1.8712,1.4811,1.4626,1.4575,1.4569
"400.2202 / 13.17",1.7007,1.358,1.3418,1.3407,1.3404
"400.2423 / 16.06  M3H3",1.474,1.238,1.2196,1.2155,1.215
"400.2526 / 22.93",0.25271,0.20151,0.2026,0.20188,0.20303
"400.4688 / 9.28  M4H4",1.6338,1.3267,1.306,1.3016,1.3017
"400.5612 / 9.49",1.1857,1.0211,1.0248,1.0348,1.0346
"400.6744 / 6.84",1.1744,0.95253,0.98106,0.9865,0.9861
"400.7136 / 10.30  M2H2",1.6812,1.3811,1.3613,1.3667,1.3663
"400.7156 / 9.35",1.8737,1.4784,1.4639,1.4586,1.458
"400.7356 / 13.16",1.8351,1.4461,1.4307,1.4257,1.4252
"401.1578 / 21.27",0.094178,0.23037,0.22998,0.2308,0.23073
"401.2029 / 12.61",0.53613,0.80527,0.83671,0.84855,0.84914
"401.2034 / 4.46",1.7761,1.4382,1.4391,1.4344,1.434
"401.2041 / 10.60",1.5976,1.2594,1.2404,1.2359,1.2357
"401.2042 / 15.08",1.5807,1.2921,1.2986,1.2937,1.2933
"401.2370 / 4.27",1.6964,1.3396,1.3273,1.3223,1.3217
"401.2391 / 10.38",1.2001,1.1067,1.1084,1.1053,1.1049
"401.2391 / 8.50  MH",1.5913,1.2792,1.2592,1.2545,1.254
"401.2567 / 23.44",0.41084,0.4455,0.47075,0.47052,0.47037
"401.2648 / 14.48  MHNH42",0.65785,0.53682,0.53998,0.5454,0.54653
"401.2760 / 13.85",1.9172,1.5198,1.4994,1.4948,1.4942
"401.2848 / 22.92",0.23366,0.30574,0.30142,0.30318,0.30331
"401.2864 / 8.62",0.57653,0.60417,0.60738,0.60657,0.60638
"401.2868 / 15.20",1.3961,1.1131,1.102,1.0978,1.0974
"401.2882 / 4.93",0.97409,1.1172,1.1086,1.1173,1.1175
"401.3365 / 21.65",0.13851,0.13776,0.24033,0.24975,0.25055
"401.6627 / 5.25",1.0664,0.84349,0.95036,0.94753,0.94715
"401.7271 / 11.45",1.4279,1.1843,1.1684,1.164,1.1635
"401.7394 / 17.16",1.363,1.0934,1.0912,1.0886,1.0885
"402.0768 / 9.67  MNa",1.0477,0.83954,0.87917,0.88023,0.88
"402.1834 / 18.11",1.3294,1.7438,1.755,1.7486,1.7481
"402.1901 / 7.47  M2H2",1.1939,1.0911,1.076,1.0811,1.0806
"402.1951 / 15.50",1.902,1.5065,1.4894,1.4837,1.4831
"402.1975 / 9.28",1.3276,1.0491,1.0325,1.0361,1.036
"402.1985 / 1.86  MH",1.7304,1.4029,1.3971,1.3922,1.3916
"402.2128 / 11.15",0.67269,0.57361,0.56638,0.61,0.61208
"402.2136 / 7.31",1.3734,1.2509,1.2352,1.243,1.2427
"402.2137 / 3.79  M2H2",1.8377,1.4562,1.4376,1.4327,1.4321
"402.2342 / 5.47",1.4454,1.1931,1.1886,1.197,1.1967
"402.2360 / 6.78",1.2641,1.1634,1.1459,1.1462,1.1459
"402.2699 / 8.03",1.9112,1.5096,1.5008,1.4965,1.4962
"402.3590 / 21.78",0.12936,0.1215,0.11959,0.124,0.12453
"402.6980 / 9.87  M",1.3229,1.1659,1.1633,1.1619,1.1615
"402.7009 / 10.84  M2H2",1.7674,1.3954,1.3955,1.3952,1.3948
"403.1575 / 17.69",1.0032,1.6074,1.5821,1.5881,1.5875
"403.1741 / 10.59",1.2499,1.1852,1.1791,1.1752,1.175
"403.2018 / 21.56",0.11551,0.26809,0.26896,0.27815,0.2799
"403.2136 / 11.49  M2H2",1.2792,1.1254,1.1111,1.1069,1.1066
"403.2182 / 5.01",1.4519,1.3049,1.3146,1.3098,1.3095
"403.2193 / 3.67",1.7277,1.3673,1.3525,1.3475,1.347
"403.2193 / 8.09  M",1.7845,1.4524,1.4416,1.4362,1.4357
"403.2215 / 12.25",1.3122,1.0534,1.037,1.0462,1.0458
"403.2290 / 2.12",1.943,1.5473,1.5329,1.5272,1.5269
"403.2300 / 2.63  MNH4",1.3885,1.124,1.1077,1.1079,1.1079
"403.2302 / 8.44",1.7303,1.4006,1.3916,1.3863,1.3858
"403.2307 / 10.70",1.6052,1.2719,1.2573,1.255,1.2545
"403.2317 / 11.47",1.4504,1.2738,1.2756,1.271,1.2705
"403.2317 / 12.98  M3H3",1.5254,1.2028,1.2023,1.1978,1.1974
"403.2441 / 11.94",1.298,1.0297,1.0296,1.0258,1.0258
"403.2512 / 6.74",1.5081,1.2835,1.2632,1.2587,1.2582
"403.2539 / 10.94",1.7985,1.4215,1.4162,1.4141,1.4135
"403.2543 / 12.62",1.6573,1.3214,1.3113,1.3078,1.3074
"403.2558 / 10.33",1.8386,1.4505,1.4318,1.4277,1.4272
"403.3018 / 1.00",1.0823,0.87314,0.89289,0.89098,0.89107
"403.7072 / 9.55  MH",1.7564,1.3845,1.3665,1.3627,1.3623
"403.8919 / 11.29  M3H3",1.0322,0.81668,0.8942,0.90904,0.90868
"404.1931 / 2.15",0.74259,1.6405,1.6255,1.6212,1.6227
"404.2140 / 2.25",0.99675,1.2873,1.2717,1.2712,1.2731
"404.2208 / 8.05",1.3187,1.1968,1.1784,1.1741,1.1736
"404.2353 / 13.61  M2H2",1.7666,1.412,1.3927,1.3879,1.3874
"404.2475 / 4.99",1.5087,1.2316,1.2204,1.216,1.2154
"404.2588 / 14.94",1.4035,1.1668,1.182,1.1816,1.1831
"404.7006 / 8.28",1.7686,1.4001,1.3813,1.3771,1.3766
"404.7305 / 19.97  MHNa2",0.71508,0.57247,0.57163,0.57231,0.57214
"404.9920 / 27.97",0.0023735,0.0023471,0.0066741,0.0068016,0.0069446
"405.1157 / 22.50",0.62522,1.0077,1.0097,1.0073,1.0071
"405.1631 / 22.25  M",0.32716,0.52822,0.51994,0.51916,0.51895
"405.1978 / 5.29",1.4485,1.1606,1.1483,1.1442,1.1441
"405.1981 / 3.82",1.0374,1.15,1.1376,1.1336,1.1332
"405.1998 / 7.96",1.1575,1.0861,1.0694,1.0655,1.0672
"405.2130 / 8.45",1.1315,1.1956,1.1767,1.1728,1.1723
"405.2144 / 10.22  M",1.8648,1.4752,1.4591,1.4539,1.4533
"405.2289 / 24.29  MNa",0.028634,0.029319,0.02982,0.029706,0.029758
"405.2290 / 5.29",1.8374,1.4934,1.4699,1.4642,1.4639
"405.2822 / 1.57",1.6479,1.3013,1.2889,1.285,1.2847
"405.5278 / 17.10",0.5277,0.51087,0.50296,0.50543,0.50592
"405.5833 / 9.76  M3H3",0.92365,0.9443,0.93147,0.93386,0.93551
"405.8823 / 9.45  M3H3",0.61422,0.79639,0.81162,0.80961,0.80944
"405.8910 / 12.83  M3H3",1.6934,1.3468,1.3348,1.3318,1.3318
"406.1654 / 16.27  MH",1.9018,1.6164,1.594,1.59,1.5894
"406.1758 / 2.25",0.86266,1.1295,1.1177,1.114,1.1146
"406.1821 / 9.26",1.4545,1.1692,1.1603,1.156,1.1557
"406.1946 / 17.93",1.6827,1.3398,1.3186,1.3139,1.3139
"406.2327 / 19.03  MH",1.5862,1.2696,1.2497,1.2516,1.2511
"406.2368 / 14.44",0.89191,0.70738,0.72239,0.72262,0.72282
"406.3185 / 24.44",0.0066169,0.062263,0.068397,0.069272,0.069243
"406.6561 / 20.14",1.7342,1.3704,1.3691,1.3652,1.3647
"406.6628 / 13.50",0.94906,0.75163,0.78383,0.78615,0.78585
"406.7181 / 3.24  M2H2",1.876,1.4949,1.4973,1.4919,1.4914
"406.9893 / 1.80",1.1045,1.6057,1.591,1.5885,1.5883
"407.0302 / 2.05",1.0583,1.8286,1.813,1.8122,1.8123
"407.0977 / 8.29",1.5588,2.5888,2.5534,2.5483,2.5474
"407.1513 / 11.28",0.5279,0.41902,0.42034,0.41982,0.42041
"407.1760 / 14.40  M2H2",1.7094,1.3707,1.3704,1.3653,1.3648
"407.1889 / 16.21",0.12653,0.17324,0.18163,0.18174,0.18261
"407.2107 / 9.42  M3H3",1.5635,1.2466,1.2293,1.2252,1.2247
"407.2135 / 2.83  MCH3OHH",1.9793,1.5735,1.5521,1.5463,1.5456
"407.2156 / 5.59",1.0791,0.88321,0.8922,0.88882,0.88858
"407.2269 / 13.56",1.5354,1.2417,1.2476,1.2436,1.2437
"407.2301 / 10.78",1.6379,1.3096,1.2908,1.2865,1.2861
"407.2381 / 9.05",1.1414,0.92704,0.92838,0.92495,0.92472
"407.2415 / 7.99",0.89625,0.953,0.95654,0.95408,0.95473
"407.7196 / 13.52",1.1806,0.93453,0.92713,0.92711,0.92817
"408.0849 / 20.50",0.29288,0.59248,0.68505,0.68262,0.68242
"408.1817 / 8.28",1.0071,0.79654,0.81432,0.83392,0.83383
"408.2079 / 14.08  M2H2",1.9952,1.5771,1.5673,1.5617,1.5612
"408.2372 / 7.69",0.68747,0.73944,0.73266,0.73079,0.73145
"408.2984 / 24.15  MNH4",0.087391,0.1806,0.18867,0.18842,0.18836
"408.3087 / 24.14  MNH4",0.05364,0.1099,0.11836,0.11988,0.11986
"408.7092 / 10.81  M2H2",2.0264,1.6601,1.642,1.6387,1.638
"408.7353 / 9.13",1.9403,1.5707,1.5457,1.5398,1.5393
"408.7358 / 19.76  M2H2",1.7871,1.4111,1.4138,1.4123,1.4118
"408.7460 / 9.41  M2Na2",1.9979,1.5884,1.5633,1.5574,1.5568
"408.9600 / 1.34",0.030508,0.076077,0.076486,0.076759,0.076736
"409.1110 / 2.08  MNa",0.28802,0.87481,0.86308,0.86287,0.86265
"409.1161 / 14.20",0.22904,0.38149,0.48722,0.48627,0.48649
"409.1456 / 23.06",0.010728,0.066516,0.070063,0.070634,0.070623
"409.1561 / 23.06",0.010964,0.014145,0.014422,0.01438,0.014424
"409.1586 / 1.86",0.097642,1.4897,1.4932,1.4885,1.4879
"409.1609 / 3.81",0.15589,1.2409,1.263,1.261,1.2607
"409.1630 / 21.33",0.0033538,0.093052,0.091576,0.12356,0.12447
"409.1718 / 4.83",1.6795,1.3403,1.3421,1.3371,1.3366
"409.1718 / 5.44",0.93609,0.84069,0.89405,0.89825,0.89812
"409.1749 / 22.10  MNa",0.0051217,0.10786,0.11702,0.12351,0.12347
"409.1814 / 16.27",0.036017,0.080165,0.079442,0.085277,0.085793
"409.2084 / 6.65  MH",1.7606,1.3903,1.3746,1.3695,1.3689
"409.2088 / 3.47  M2H2",1.5553,1.2443,1.2245,1.2203,1.2198
"409.2089 / 2.28",1.8785,1.4802,1.4567,1.4518,1.4516
"409.2090 / 9.55  MH",1.6804,1.3325,1.335,1.332,1.3314
"409.2094 / 10.45  MNH4",1.8216,1.4712,1.4478,1.4423,1.4417
"409.2098 / 8.76",1.7547,1.3857,1.3636,1.3585,1.3579
"409.2168 / 7.52  M2H2",0.8268,0.76022,0.76774,0.77076,0.77069
"409.2205 / 10.90",1.7988,1.4486,1.4438,1.4396,1.4401
"409.2209 / 8.67",1.7075,1.3677,1.3623,1.3571,1.3566
"409.2281 / 9.83",2.0499,1.6154,1.606,1.6005,1.5998
"409.2309 / 23.96",0.01476,0.040878,0.046989,0.048179,0.048333
"409.2378 / 11.75",1.4181,1.175,1.1727,1.1688,1.1691
"409.3106 / 24.25  MNH4",0.038147,0.097483,0.10748,0.10972,0.10969
"409.3271 / 24.42",0.18826,0.14866,0.14852,0.14921,0.15009
"409.6923 / 10.13",1.2448,1.0215,1.0186,1.0235,1.0231
"409.7268 / 13.18  M2H2",0.1277,0.49111,0.48609,0.49472,0.49489
"410.1544 / 7.02",1.6955,1.336,1.3477,1.3428,1.3422
"410.1563 / 6.00",1.5646,1.2463,1.3304,1.3281,1.3276
"410.1929 / 11.48",2.3847,2.0467,2.0188,2.0121,2.0112
"410.1969 / 12.71  M2H2",1.1271,0.91915,0.91581,0.92214,0.92186
"410.2084 / 8.84",1.8665,1.4809,1.4651,1.4606,1.46
"410.2091 / 15.82",0.31324,0.27836,0.2766,0.37699,0.37707
"410.2122 / 17.26",1.5558,1.2261,1.2385,1.2361,1.2356
"410.2221 / 18.20",0.65689,0.55417,0.55423,0.55221,0.55239
"410.2267 / 13.43",1.2241,1.2004,1.1975,1.2007,1.2002
"410.3446 / 23.15",0.42078,0.5821,0.57286,0.57146,0.57124
"410.7028 / 3.86  M2H2",2.0384,1.6064,1.5963,1.5947,1.5941
"410.7220 / 18.65",1.2489,1.0747,1.0576,1.0536,1.0532
"410.7331 / 13.00",1.1975,1.048,1.0396,1.0365,1.0362
"410.9092 / 10.02  M3H3",0.91236,0.76108,0.76562,0.76412,0.76462
"410.9300 / 1.29  2MK",0.30767,0.65814,0.65144,0.64895,0.64873
"411.0104 / 1.21  MH",0.22072,0.5683,0.56235,0.56073,0.56067
"411.0954 / 22.91",0.071005,0.056844,0.11831,0.11797,0.11905
"411.2152 / 17.29",0.84763,0.68547,0.71833,0.71561,0.71639
"411.2227 / 6.29  MNa",0.79933,0.62986,0.62204,0.61967,0.61977
"411.2235 / 16.53  MNH4",1.5849,1.2553,1.2393,1.2412,1.2408
"411.2359 / 24.34",0.018991,0.050708,0.054293,0.055105,0.055084
"411.2466 / 24.31",0.013091,0.024325,0.023969,0.023881,0.023874
"411.5566 / 9.06",1.1305,0.99481,0.99804,0.9953,0.99488
"411.7209 / 14.70  M2Na2",1.8313,1.4442,1.4393,1.4339,1.4333
"412.1695 / 9.71  MHK2",1.5702,1.3026,1.3113,1.3178,1.3173
"412.1719 / 3.67",1.4272,1.2995,1.2961,1.2917,1.2912
"412.1902 / 11.80",1.6995,1.4266,1.4285,1.4263,1.4262
"412.1907 / 10.58",1.3495,1.1643,1.1461,1.1417,1.1413
"412.2546 / 1.80",1.2048,0.99828,0.98254,0.98006,0.98041
"412.2857 / 22.49",0.4724,0.3723,0.40238,0.44402,0.44501
"412.6937 / 5.72",1.5952,1.348,1.3267,1.3218,1.3212
"412.6955 / 7.15",1.1155,0.95368,0.94946,0.95171,0.95147
"412.7115 / 19.97",0.97941,0.78673,0.77501,0.7777,0.77742
"413.1422 / 13.52  MH",0.36197,1.1859,1.1708,1.1665,1.1661
"413.1551 / 3.34",1.3026,1.0276,1.0595,1.0574,1.057
"413.1840 / 15.46",1.6918,1.3797,1.3682,1.3631,1.3625
"413.1919 / 12.81  MH",1.3746,1.0838,1.0721,1.0681,1.0677
"413.1921 / 11.83",1.5091,1.2146,1.1953,1.191,1.1905
"413.2034 / 2.58  MH",2.1845,1.7409,1.7146,1.7084,1.7077
"413.2078 / 14.54  M2H2",1.8892,1.5285,1.5087,1.5033,1.5033
"413.2135 / 12.11",1.3476,1.1491,1.1552,1.1512,1.1508
"413.2271 / 20.47",0.13141,0.16929,0.25814,0.27636,0.28282
"413.2398 / 7.26",0.81382,1.0965,1.0823,1.0783,1.0779
"413.2471 / 10.66",1.5785,1.3449,1.3327,1.3329,1.3332
"413.2564 / 24.12",0.025069,0.054685,0.055434,0.055455,0.055455
"413.2671 / 24.12",0.012738,0.029363,0.029983,0.030196,0.030227
"413.3038 / 24.48  MH",0.23417,0.21757,0.21659,0.24392,0.24382
"413.5694 / 10.02  M3H3",1.1633,0.92671,0.9149,0.91728,0.91745
"413.7637 / 9.37  M2H2",0.71827,0.74231,0.7411,0.74544,0.7468
"413.8720 / 3.14",1.1917,0.94983,0.97107,0.96765,0.96727
"413.8823 / 13.33",0.964,0.80457,0.81352,0.82567,0.82595
"413.8867 / 14.40  M3H3",1.0437,0.89346,0.8927,0.8932,0.89285
"413.9889 / 21.56",1.0095,1.1913,1.295,1.2901,1.2898
"414.1442 / 13.56",0.55414,1.5559,1.5466,1.5407,1.5401
"414.1635 / 10.59  MNa",0.87224,1.1566,1.1399,1.1377,1.138
"414.1892 / 12.61",1.4745,1.1711,1.165,1.1623,1.1639
"414.2122 / 17.30",1.4127,1.1707,1.1533,1.1492,1.1492
"414.2343 / 2.71",1.3701,1.1732,1.1549,1.1517,1.1527
"414.2352 / 6.06",1.7096,1.3604,1.3526,1.3476,1.3471
"414.2683 / 24.13",0.0086269,0.019581,0.019288,0.019229,0.019312
"414.3019 / 22.89",0.41814,0.55107,0.57335,0.62293,0.62268
"414.6786 / 4.20",1.8242,1.4441,1.4256,1.4206,1.42
"414.7537 / 16.28",0.79552,0.78693,0.78006,0.77884,0.77851
"414.9100 / 18.69  M3H3",0.87107,0.68748,0.69724,0.73492,0.73475
"414.9543 / 27.95",0.0044467,0.014618,0.014424,0.016864,0.016914
"414.9546 / 1.10",1.0778,2.2111,2.1932,2.1848,2.1845
"414.9860 / 8.13",1.4552,1.1506,1.1327,1.1315,1.131
"415.1079 / 22.07",0.3083,0.24304,0.24221,0.2534,0.26134
"415.1922 / 2.26",0.72871,1.2554,1.2357,1.2338,1.2355
"415.2118 / 21.87  MH",0.029609,0.039371,0.03948,0.039879,0.039889
"415.2203 / 13.02",2.4461,2.343,2.3171,2.3083,2.3075
"415.2309 / 2.57",1.0121,1.2813,1.2629,1.2582,1.2579
"415.2356 / 8.13",1.6979,1.358,1.3489,1.345,1.3444
"415.2526 / 17.72  MH",0.073115,0.12804,0.12938,0.13002,0.13013
"415.2537 / 10.42",1.2759,1.2415,1.2305,1.2258,1.2256
"415.2547 / 9.52",1.7143,1.3632,1.3528,1.3477,1.3473
"415.2840 / 23.21",0.46295,0.61233,0.605,0.6027,0.60245
"415.2919 / 16.76",1.7542,1.3996,1.3832,1.3782,1.3776
"415.3007 / 23.15",0.43405,0.56875,0.55984,0.55773,0.55753
"415.7064 / 13.68",1.6334,1.2912,1.2814,1.2771,1.2767
"415.7210 / 5.81",1.0081,1.033,1.0299,1.0358,1.0368
"415.7360 / 8.76",1.1334,1.094,1.0845,1.0807,1.0812
"415.9868 / 21.56",0.84328,1.2925,1.35,1.3604,1.3602
"416.1109 / 11.37  MH",0.65795,0.60004,0.6124,0.61265,0.61267
"416.2133 / 21.73",0.032591,0.031148,0.033247,0.033241,0.033428
"416.2157 / 22.29  MH",0.016071,0.017517,0.018744,0.019154,0.019206
"416.2170 / 3.50  M2H2",1.3081,1.157,1.14,1.1358,1.1355
"416.2282 / 14.28",0.42643,0.45663,0.44968,0.4589,0.45875
"416.2343 / 10.19",1.9931,1.5706,1.5641,1.5581,1.5575
"416.2467 / 5.47",0.93299,0.8102,0.8123,0.82913,0.8302
"416.2495 / 4.63",1.867,1.4741,1.4559,1.4503,1.4498
"416.2495 / 7.59  MNH4",1.6163,1.2861,1.2982,1.2989,1.2985
"416.2499 / 9.04",1.478,1.2158,1.198,1.1935,1.193
"416.2509 / 8.33",1.2759,1.0142,0.9984,1.0112,1.0108
"416.2523 / 14.70",1.3893,1.1804,1.162,1.1617,1.1616
"416.2594 / 1.80",0.91486,1.1298,1.1535,1.1512,1.1507
"416.2632 / 14.69  M3H3",1.5618,1.4719,1.4491,1.4456,1.4452
"416.3534 / 19.92",0.62488,1.0388,1.0287,1.0274,1.0288
"417.1495 / 22.34",0.012411,0.094042,0.09255,0.092262,0.09229
"417.1944 / 13.07",1.718,1.4203,1.4018,1.3985,1.3979
"417.2047 / 1.99",1.7722,1.4327,1.414,1.4095,1.4092
"417.2048 / 11.46  M2H2",1.222,0.96327,1.0026,1.003,1.0035
"417.2060 / 13.12",2.0039,1.5922,1.5778,1.5718,1.5712
"417.2230 / 19.06",1.6141,1.2737,1.265,1.2632,1.2626
"417.2233 / 6.26",1.9347,1.572,1.5883,1.583,1.5824
"417.2350 / 9.33  MH",1.6039,1.4105,1.3907,1.3878,1.3872
"417.2354 / 6.26",2.0401,1.6566,1.6646,1.6591,1.6584
"417.2354 / 7.43",1.5297,1.2124,1.203,1.2014,1.2009
"417.2377 / 8.49",2.0231,1.6147,1.5911,1.586,1.5854
"417.2443 / 1.93",1.8907,1.4905,1.4674,1.4618,1.4611
"417.2452 / 2.71  MNH4",1.6722,1.3249,1.3103,1.3053,1.305
"417.2501 / 16.88",1.4175,1.1411,1.1328,1.1325,1.1322
"417.2708 / 12.55",1.6984,1.3501,1.3523,1.3475,1.3472
"417.7224 / 3.50  MHNH42",1.3088,1.1185,1.1189,1.1296,1.1299
"418.1655 / 14.43  MH",1.8034,1.705,1.6876,1.6812,1.6808
"418.1920 / 11.46",1.6312,1.3356,1.3148,1.3098,1.3094
"418.2048 / 18.20",1.1594,1.0283,1.012,1.0088,1.0085
"418.2251 / 11.01  M3H3",1.9733,1.555,1.5427,1.5383,1.5379
"418.2295 / 2.63  MCH3OHH",1.0565,1.088,1.0862,1.0828,1.0837
"418.7193 / 11.06  M2H2",1.9492,1.5417,1.5296,1.5237,1.5231
"418.7313 / 15.90",1.1982,0.97459,1.0003,1.0041,1.0048
"418.9419 / 1.06",0.96501,1.715,1.6908,1.6882,1.6886
"418.9861 / 1.18",0.1044,0.17964,0.19856,0.20498,0.2049
"419.2144 / 3.08",0.97046,1.0681,1.1481,1.1589,1.1584
"419.2200 / 16.07",1.3804,1.1587,1.1422,1.1411,1.1409
"419.2277 / 13.53",1.7793,1.4097,1.3999,1.3947,1.3942
"419.2359 / 11.69  M3H3",1.5688,1.2367,1.2564,1.253,1.2525
"419.2505 / 8.11  MCH3OHH",1.767,1.4223,1.4139,1.4085,1.4079
"419.2659 / 23.25",0.068343,0.055578,0.055818,0.059105,0.059376
"419.2796 / 23.22",0.048725,0.077709,0.078177,0.078105,0.078355
"419.6881 / 8.12",0.88692,0.74213,0.7308,0.72808,0.72808
"419.7267 / 19.79  MHNa2",1.7657,1.3955,1.397,1.3958,1.3953
"419.8760 / 3.17",1.4198,1.1365,1.1202,1.1193,1.1188
"420.1670 / 6.49  M2H2",1.0515,0.89629,0.89628,0.90301,0.90269
"420.1800 / 19.05  MH",1.4686,1.1888,1.1705,1.1708,1.1703
"420.2332 / 12.46",1.2678,1.0472,1.0306,1.0278,1.0274
"420.2333 / 13.51  M3H3",1.5763,1.3252,1.3045,1.2995,1.299
"420.6985 / 14.63",1.5628,1.2334,1.2229,1.2183,1.2178
"420.8270 / 1.37",0.28543,0.36626,0.47088,0.46917,0.47029
"420.9599 / 24.44",0.14848,0.24928,0.24748,0.24661,0.24651
"420.9602 / 27.96",0.027111,0.068717,0.070056,0.069967,0.069938
"420.9671 / 21.07",0.15897,0.3329,0.34617,0.41785,0.41862
"420.9701 / 22.58",0.28376,1.2684,1.2989,1.3088,1.3086
"420.9705 / 27.25",0.54203,0.4454,0.4557,0.48041,0.48184
"420.9706 / 24.39",0.31325,0.25445,0.37949,0.43463,0.43504
"420.9707 / 1.17",0.89449,1.7805,1.7607,1.754,1.7539
"420.9709 / 25.98",0.093697,0.25761,0.27437,0.27393,0.27756
"420.9709 / 28.04",0.0017038,0.0039022,0.0050494,0.0068944,0.0068916
"420.9710 / 19.98",0.67325,0.57962,0.57282,0.57311,0.57322
"420.9713 / 23.64",0.13673,0.12611,0.13411,0.1338,0.13383
"421.1663 / 15.46",1.7788,1.4072,1.3936,1.3883,1.3878
"421.1679 / 16.15",0.07988,0.43027,0.55447,0.56566,0.56639
"421.1888 / 22.30",0.49554,0.7427,0.73089,0.72898,0.72868
"421.1899 / 2.60",1.0207,1.1509,1.1326,1.1293,1.129
"421.2143 / 12.79  M2H2",2.1859,1.7738,1.7477,1.7421,1.7414
"421.2192 / 7.10",0.73002,0.64499,0.70855,0.70716,0.7072
"421.2219 / 22.96",0.21982,0.17792,0.18947,0.1894,0.19068
"421.2308 / 19.58",0.11137,0.16519,0.16573,0.16602,0.16699
"421.2328 / 22.95  MCH3OHH",0.19929,0.15962,0.16401,0.16341,0.16498
"421.2419 / 12.52  MNa",2.1653,1.7788,1.7512,1.7449,1.7442
"421.2554 / 7.94  MNH4",1.0579,1.0628,1.0624,1.0657,1.0661
"421.2901 / 9.51",0.047423,0.1799,0.57053,0.57714,0.57791
"421.7056 / 6.99  M2H2",0.58934,0.46666,0.45931,0.50666,0.50956
"421.7212 / 13.26  M2H2",1.707,1.3451,1.3241,1.3196,1.3191
"422.1552 / 11.46",1.6665,1.314,1.296,1.2914,1.2909
"422.1587 / 9.47  MH",1.669,1.3953,1.377,1.3737,1.3731
