"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104.9926 / 27.58",0.00020247,0.00046593,0.000932,-0.00015914,-0.0010097,9.519e-05,0.00087657,-0.00024758
"104.9927 / 21.06",-0.00037039,-0.015695,0.0045054,0.02909,0.011552,-0.0143,0.0037441,-0.014007
"105.0335 / 9.07",-0.003482,-0.0064364,0.0090437,-0.019979,0.025571,-0.0073171,0.010292,-0.016637
"105.0674 / 4.72",-0.002659,-0.0084599,0.012378,-0.003763,-0.003835,-0.031549,0.0051362,0.0055775
"105.0694 / 1.87",0.0009823,0.0010106,-0.0002575,-0.0016413,-0.00079187,0.0011093,-0.0013458,0.00069117
"105.0694 / 7.48",0.0011316,-0.0055196,0.0048775,0.00015076,-0.001308,-0.010241,0.0038874,-0.0016779
"105.0696 / 31.82",-0.00096708,0.0071489,-0.018594,-0.0086246,0.0055345,-0.0027799,0.0047286,0.013899
"105.0697 / 0.86",-8.0085e-05,0.00057364,-0.00036299,0.0009707,-0.00047538,0.001247,0.0034728,-0.0014378
"105.0697 / 31.26",-0.00049749,0.00021557,-0.0080189,0.0020073,0.0080555,0.012048,-0.0035606,-0.0072462
"105.0698 / 2.41",0.0014414,-0.0068564,0.0052988,0.0046353,-0.0066282,0.005154,-0.0042426,0.0021146
"105.0698 / 5.57",0.00089064,-0.0085396,0.018713,0.0015866,-0.0012406,-0.0048829,-0.0024337,-0.0056925
"105.0699 / 6.23",0.0029578,-0.0060863,-0.0019437,0.0062737,-0.0034588,-0.004423,0.0012914,0.014261
"105.0701 / 0.24",-0.0016892,0.0084172,-0.025509,-0.011319,0.008712,0.015556,0.012546,0.0075966
"105.0701 / 3.48",0.0052947,0.0080289,0.0059201,-0.0099161,-0.00025359,-0.0077385,0.011882,0.0086772
"105.0702 / 8.63",-0.00045973,-0.010119,3.8731e-05,-0.010358,0.0011585,-0.015866,0.010014,0.015263
"105.0703 / 6.91",0.0017296,-0.00039109,-0.0084111,-0.00095529,-0.011978,0.015394,0.0040058,-0.0026952
"105.9322 / 4.97",0.0013685,-0.0023847,0.0094626,-0.016804,0.0049555,-0.0099495,-0.0074899,0.0089631
"105.9346 / 29.50",-0.00024666,0.00077263,0.00070296,-0.00020084,-1.7749e-05,-0.00090549,-0.0018965,0.0022162
"105.9350 / 11.50",0.0038698,-0.0030513,-0.01051,-0.008238,-0.0011487,-0.020047,0.002027,0.002858
"105.9350 / 2.52",8.6205e-05,-0.017158,-0.0082098,-0.0093543,0.006106,-0.01196,-0.0095442,-0.0054303
"105.9350 / 6.59",-0.00059003,-0.0022912,-0.0043685,-0.00024899,-0.0050536,-0.0084712,-0.0024552,0.0011164
"105.9351 / 0.60",-0.0043936,0.0052962,0.00074081,-0.0084473,0.0088636,0.0048796,-0.0083713,-0.0072269
"105.9351 / 31.75",-0.00041787,0.0081544,-0.0057281,-7.221e-05,-0.0047648,0.0021475,-0.010747,-0.0097943
"105.9351 / 4.01",0.0013911,-0.0089772,9.7223e-05,-0.0024946,0.0088135,-0.013081,-0.019511,-0.005961
"107.0483 / 8.81",0.0008404,-0.018585,0.0068251,-0.0021556,0.0016361,0.0024337,0.0035555,-0.010211
"107.0488 / 2.78",0.00055859,-0.011545,0.003131,-0.0044273,0.0033585,-0.0011695,0.00094812,-0.0045817
"107.0490 / 22.30",-0.0039878,-0.0080854,0.002163,-0.0072475,0.010287,-0.017737,0.0084876,0.013813
"107.0828 / 7.97",-0.00018613,0.0022249,-0.0094768,0.00025198,0.0039681,0.0010943,0.012104,0.0082148
"107.0829 / 31.88",0.0025045,0.0068309,0.0057113,-0.0023073,-0.010934,0.0090194,-0.0017645,-0.010087
"107.0829 / 4.53",0.0018365,-0.012473,0.003124,-0.0042222,0.011729,-0.0016883,-0.001484,0.0061695
"107.0829 / 5.35",-0.0028174,-0.010369,-0.0039353,-0.0027451,-0.014327,-0.0074434,0.013895,-0.014617
"107.0843 / 31.35",0.0022027,0.0058984,0.012491,-0.0092442,-0.010269,0.010215,-0.0067325,0.0049964
"107.0846 / 0.43",0.00062354,-0.0027284,-0.0048268,-0.0073849,0.024269,0.0095368,0.019497,0.013817
"107.0849 / 3.77",0.0017661,-0.014432,0.021968,0.011112,0.0097777,-0.014501,0.010543,-0.0061047
"107.0854 / 2.34",-0.0040119,-0.0010674,0.0011661,-0.01402,0.014733,0.0020996,-0.01066,0.00034096
"107.0854 / 6.45",-0.0025399,-0.00089097,-0.0048956,0.0064883,-0.0086213,-0.0073233,-0.0021912,-0.0033983
"108.0441 / 9.67",0.003972,0.0029208,0.014956,-0.010151,0.0020016,-0.018329,0.024968,-0.022708
"109.1004 / 15.36",-0.0004066,0.0075374,-0.0091493,-0.00031333,0.0061318,-0.018966,0.00099492,0.016645
"110.0351 / 4.09",0.0045486,-0.0049141,0.0047687,-0.0062507,0.0048377,-0.002396,0.0011253,-0.0014736
"110.0602 / 5.66",0.0012217,-0.018146,0.0034005,-0.0082213,0.02417,-0.010145,0.013702,-0.018849
"110.0603 / 7.31",0.010555,0.0041249,-0.0025675,-0.0024404,-0.0014724,-0.028348,0.027752,-0.027094
"110.0715 / 1.00",0.0054263,-0.014082,-0.0013777,-0.0071562,-0.0007071,-0.0024628,-0.010429,0.0028465
"110.9756 / 1.86",0.0011487,0.0072238,0.00011452,-0.00083734,-0.0028579,0.003148,0.0014833,7.4912e-05
"111.0072 / 2.02",-0.0023628,-0.0056929,-0.009955,0.002367,0.016358,-0.015742,0.00068,0.0064237
"111.0439 / 6.40",0.0022377,-0.013232,0.018421,-0.010533,0.0056598,-0.0204,0.011067,-0.0022849
"111.0624 / 7.24",0.0047693,0.0038091,-0.0019778,-0.0014024,7.049e-05,-0.026707,0.025611,-0.0070255
"112.0502 / 7.60",0.0022474,-0.018483,0.00042002,-0.0022461,0.014575,-0.0045318,0.007834,-0.0097136
"112.0507 / 2.05",0.0014543,-0.0084048,0.0079718,-0.002203,0.0020961,-0.0027522,0.0046819,0.0048493
"112.1119 / 4.02",-0.0019742,-0.025941,0.016283,-0.0023874,0.0082918,-0.012802,0.0045199,-0.0086265
"112.1120 / 1.00  MH",0.0080858,-0.0047693,0.0060349,-0.0038301,0.00010533,0.00077422,0.0045405,0.0013469
"113.0230 / 1.81",-0.0039502,0.0016572,-0.0056343,0.0040674,0.011798,-0.015896,0.0068009,0.011522
"113.0344 / 2.54  MH",0.00011999,-0.009029,-0.0015067,-0.00018948,0.0023613,-0.00070492,0.0013332,-0.005705
"113.0593 / 0.47",-0.001488,0.0076849,-0.0034426,0.0058847,-0.0064057,-0.0022304,0.010881,0.0043393
"114.0660 / 1.45  MH",-0.000314,-0.0086615,0.0023226,0.0015123,0.0036317,-0.0059281,0.0050585,-0.0025967
"114.0662 / 2.14",-0.0016348,-0.010018,0.013062,0.0030425,-0.0061003,-0.0041852,0.011069,0.0019983
"114.0911 / 9.60",-0.0045598,-0.026794,0.013452,-0.026028,0.022055,0.0050989,0.020018,0.014955
"114.0915 / 8.26  MH",0.00029375,0.0081424,-0.012954,0.00067607,-0.011207,-0.0022946,0.0046139,0.0010954
"114.1279 / 6.36",-0.0022851,-0.019984,-0.0035031,-0.007409,0.021706,-0.020464,0.010404,-0.00078095
"114.9453 / 29.67",-0.0032063,-0.0094168,-0.0030629,0.000799,0.007023,0.0073485,0.00058927,-0.001495
"114.9466 / 14.19",0.0013975,0.0082387,0.0043502,-0.012698,0.013618,-0.0027646,0.01824,0.018162
"114.9467 / 11.58",0.0030652,-0.011489,0.0036881,-0.01093,-0.0045823,0.020253,-0.0094796,-0.012643
"114.9467 / 15.55",0.0040822,-0.0082954,-0.013758,0.019342,-0.0062597,0.0081288,0.0075101,-0.0061958
"114.9470 / 17.41",0.0027012,-0.0023076,-0.027321,0.008801,0.0048487,0.0098447,0.01201,0.0086504
"114.9472 / 8.33",0.0017933,0.0018377,0.011635,-0.0059368,0.0069974,0.018611,-0.0020388,-0.0099252
"114.9473 / 16.18",0.001023,-0.003979,0.00084692,0.0075154,-0.023069,-0.0066456,0.0052722,-0.00031846
"114.9474 / 10.48",0.0073657,0.0019806,0.0090361,0.0086636,0.001588,0.0066726,0.02054,-0.016885
"114.9474 / 12.29",0.0056254,-0.013216,-0.0049219,0.010307,-0.0018619,0.0082288,-0.0072316,-0.024527
"114.9475 / 13.27",0.0021251,-0.0050035,-0.017726,-0.00061659,0.013508,0.0024245,-0.0069424,0.020016
"114.9476 / 29.11",0.00038286,-0.0091892,-0.039989,0.028556,-0.0039488,0.00061871,-0.0162,0.018086
"114.9476 / 7.82",0.0027326,0.012218,0.019208,0.0077978,-0.0010717,-0.010645,0.00031324,-0.010691
"114.9476 / 9.32",0.003291,-0.0055718,0.0058309,-0.013499,-0.0064775,-0.0039822,0.031898,0.015718
"114.9476 / 9.95",0.0043339,-0.0053601,-0.013738,0.012786,-0.019713,0.0068163,0.0080196,0.001421
"114.9478 / 2.06",0.0045286,0.0085624,0.0067988,-0.0044382,-0.0043263,0.0094246,0.0038531,0.0063211
"114.9478 / 6.55",0.0020004,-0.0099066,0.010782,-0.0018631,-0.016878,0.011669,0.0058941,-0.0018397
