"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"401.7271 / 11.45",0.013965,-0.0044937,-0.0044342,0.00091438,-0.0027555,0.0032065,0.0046681,-0.0087534
"401.7394 / 17.16",0.012797,-0.0011458,-0.011982,0.0085436,-0.014331,0.012479,0.0061542,-0.0062836
"402.0768 / 9.67  MNa",0.0087188,-0.00078921,0.019368,-0.0074637,-0.0013246,-0.012195,0.014503,-0.018291
"402.1834 / 18.11",0.006734,0.016384,0.019817,-0.0060098,0.0062077,0.015156,-0.0092083,-0.03097
"402.1901 / 7.47  M2H2",0.012555,-0.0072475,-0.010503,0.014643,0.0029273,-0.0077364,-0.0066041,0.0051311
"402.1951 / 15.50",0.017379,-0.00078831,-0.0068056,-0.0012004,0.00053559,0.0026021,0.0020612,-0.0005046
"402.1975 / 9.28",0.012029,-0.00096354,-0.0070648,0.015255,-0.0037492,-0.012467,0.0042004,-0.0089555
"402.1985 / 1.86  MH",0.016498,-0.0026177,-0.0089539,-0.002553,-0.0064359,0.0030807,0.012665,-0.0033572
"402.2128 / 11.15",0.0051607,0.0026907,0.013877,-0.01841,-0.021016,0.017561,-0.016332,0.0034423
"402.2136 / 7.31",0.014412,-0.0079962,-0.013877,0.020011,-0.0055656,-0.0016124,-0.0051252,-0.00079918
"402.2137 / 3.79  M2H2",0.016811,-0.0010653,-0.0036979,-0.0046032,-0.0019199,0.0095118,-0.0027477,-0.0026022
"402.2342 / 5.47",0.014068,-0.0032701,-0.017993,0.019835,-0.005944,0.00026533,-0.0059758,0.01056
"402.2360 / 6.78",0.01335,-0.0081413,-0.0076504,0.01213,-0.0072662,0.0080916,-0.0097101,0.00092027
"402.2699 / 8.03",0.016535,0.0036017,-0.0073332,-0.0098309,0.010862,-0.0035599,0.0055786,0.0005914
"402.3590 / 21.78",-0.00090596,-0.00092961,-0.0018205,0.0023438,0.0052918,-0.0038646,0.00079101,-0.0017173
"402.6980 / 9.87  M",0.013587,-0.0094083,0.013771,-0.009535,0.0036483,0.00084591,-0.0059962,0.0054486
"402.7009 / 10.84  M2H2",0.015953,0.0011936,-0.018306,0.014051,-0.0081784,0.0062147,-0.0036753,-0.0058721
"403.1575 / 17.69",-0.0038275,-0.020385,0.011122,-0.019939,0.0088696,-0.020382,0.007838,-0.02154
"403.1741 / 10.59",0.013435,-0.0077551,-0.0066892,-0.0016365,-0.01166,0.0072624,0.010985,-0.016605
"403.2018 / 21.56",-0.00011263,-0.0041421,0.0063327,-0.0044942,-0.012979,0.0027885,0.011238,0.0050983
"403.2136 / 11.49  M2H2",0.0095123,0.0063053,0.0048978,-0.0025273,0.0030866,0.010004,-0.011271,0.00013676
"403.2182 / 5.01",0.015108,-0.011807,0.012846,0.0046196,-0.0082396,0.0037959,-0.0070912,0.017273
"403.2193 / 3.67",0.015744,-0.00047033,-0.0058515,-0.0027856,8.2338e-05,0.0062179,-0.00021453,-0.0014516
"403.2193 / 8.09  M",0.017098,-0.0033592,-0.010386,0.0012504,0.0013136,0.0018012,0.0030728,0.0017063
"403.2215 / 12.25",0.012335,-0.0031727,0.0096703,-0.017047,-0.002732,0.012297,-0.012688,0.012837
"403.2290 / 2.12",0.017995,-0.0014602,-0.0074881,-0.0056841,0.0089753,0.0041588,-0.005504,-0.0018409
"403.2300 / 2.63  MNH4",0.013212,-0.0031049,0.0019656,-0.01314,0.0054807,0.011205,-0.0021373,6.4827e-06
"403.2302 / 8.44",0.016464,-0.0027104,-0.0089494,-0.0023774,0.0024342,0.0022749,0.0027204,-0.0002207
"403.2307 / 10.70",0.013721,0.00073329,0.0098892,-0.007759,-0.0074288,0.01194,0.0057704,0.009787
"403.2317 / 11.47",0.010803,0.0057398,0.01311,-0.0025715,-0.00030606,0.0064509,-0.016699,0.0011023
"403.2317 / 12.98  M3H3",0.013648,-0.0027035,0.0098507,0.0026085,-0.00349,-0.001009,-0.00057665,-0.0049561
"403.2441 / 11.94",0.011055,-0.00010039,0.0097674,-0.0041807,0.014879,-0.013951,-0.0015557,0.0068182
"403.2512 / 6.74",0.015091,-0.0068141,-0.0020942,0.0041431,-0.0080781,0.009414,-0.0064641,0.011211
"403.2539 / 10.94",0.015509,0.0037872,-0.0061498,-0.010596,-0.0013613,0.0078276,0.0023926,0.0048191
"403.2543 / 12.62",0.01539,-0.001224,-0.0053055,-0.0077025,0.00076597,0.0070391,0.0025216,0.0037786
"403.2558 / 10.33",0.016523,8.4909e-05,-0.002443,-0.0078017,0.0028635,0.0026479,0.0043416,-0.0030842
"403.3018 / 1.00",0.01025,-0.0050957,0.014673,-0.002516,-0.010763,0.0078947,-0.0093437,0.010945
"403.7072 / 9.55  MH",0.015401,0.00158,-0.0020189,-0.0084766,0.0069899,-0.0028411,0.0050494,0.00078745
"403.8919 / 11.29  M3H3",0.0093983,0.0028231,-0.028568,0.018893,-0.0035114,0.0077365,-0.0095398,0.0023175
"404.1931 / 2.15",0.012096,-0.020143,-0.013342,-8.8444e-05,0.018326,0.014791,0.0044344,0.004547
"404.2140 / 2.25",0.012496,-0.01576,0.00030684,0.0030699,0.020209,0.010414,-0.0030306,-0.00027909
"404.2208 / 8.05",0.013807,-0.0081381,-0.0030391,0.001166,0.0027637,-0.00080398,0.0026256,0.0080259
"404.2353 / 13.61  M2H2",0.016481,-0.0024591,-0.0065701,0.0050577,-0.0072391,0.0071633,-0.00046052,0.0075648
"404.2475 / 4.99",0.014507,-0.0032038,-0.008336,0.0025346,-0.0021297,0.0043799,-0.0023392,0.013966
"404.2588 / 14.94",0.011076,0.0081258,-0.0090884,-0.01645,0.022086,-0.0039157,0.0042291,-0.00035898
"404.7006 / 8.28",0.016129,-0.0009514,-0.0075809,0.0069066,-0.0056247,0.0015958,0.00055667,0.010389
"404.7305 / 19.97  MHNa2",0.0066907,-0.0004913,-0.0076758,0.004928,0.0037967,0.0021995,-0.010215,-0.0010035
"404.9920 / 27.97",-2.6112e-05,-4.1715e-05,0.0002402,0.00027979,-0.00077653,0.0008649,6.2693e-05,-0.00073757
"405.1157 / 22.50",0.0023614,0.010745,0.0067836,0.0034535,0.0067041,-0.0011149,0.0019099,-0.0057518
"405.1631 / 22.25  M",-0.0012318,-0.0067392,0.0023367,-0.0038783,0.0021762,-0.0052575,0.0042416,0.0078017
"405.1978 / 5.29",0.012056,0.0018425,0.0048022,-0.00074465,0.01955,-0.026765,0.0098539,-0.001953
"405.1981 / 3.82",0.012094,-0.012769,0.0072426,-0.0035976,0.0010768,0.0010577,0.0030265,-0.0024438
"405.1998 / 7.96",0.012366,-0.0081105,-0.0028059,-0.0043933,0.020909,0.0060423,-0.019284,0.012219
"405.2130 / 8.45",0.012883,-0.011584,0.0025733,-0.0048571,0.0037695,-0.0037537,0.0048057,0.0089436
"405.2144 / 10.22  M",0.01697,-0.00043366,-0.0056007,-0.0045831,0.00048528,0.0090012,-0.0024933,-0.0037823
"405.2289 / 24.29  MNa",-0.0001858,-0.00019434,-0.00036843,0.00017235,-2.7806e-05,-0.001195,-0.0003722,0.0001829
"405.2290 / 5.29",0.014935,0.0055081,-0.001123,-0.0029261,0.012932,-0.0090711,-0.0018374,-0.0045465
"405.2822 / 1.57",0.014883,0.00023852,-0.0098272,0.0027465,0.011284,-0.0046684,-0.0068248,-0.011793
"405.5278 / 17.10",0.0057387,-0.0041167,-0.00406,0.0092624,-0.011794,0.011152,-0.0029328,-0.0198
"405.5833 / 9.76  M3H3",0.010341,-0.0092777,-0.0020729,0.016539,-0.020165,0.0025952,0.0015361,-0.006653
"405.8823 / 9.45  M3H3",0.0077145,-0.011179,0.0084064,0.0058317,-0.0048737,0.0082518,-0.025951,0.017167
"405.8910 / 12.83  M3H3",0.01564,-0.0010548,-0.0041927,-0.011291,0.012478,0.0012685,-0.0060914,0.0086396
"406.1654 / 16.27  MH",0.01464,0.0097285,-0.0092571,0.008525,0.0053134,-0.014023,0.0039938,-0.012717
"406.1758 / 2.25",0.010885,-0.014121,0.0040063,0.0082567,-0.017178,0.0080913,-0.0044157,-0.010613
"406.1821 / 9.26",0.013701,-0.0018347,-0.0064456,-0.0039393,0.0054072,0.0026187,-0.0037246,0.0051116
"406.1946 / 17.93",0.014194,0.0029464,-0.0024186,-0.000708,0.01688,-0.0087175,-0.0088002,0.0073827
"406.2327 / 19.03  MH",0.013228,0.0034443,0.0052545,-0.012423,-0.0085367,0.0087949,0.015844,-0.00089425
"406.2368 / 14.44",0.0076008,-0.00075945,0.012889,-0.0092302,0.010237,0.003848,-0.02017,-0.010317
"406.3185 / 24.44",-0.00028227,0.00059009,0.00088984,0.00125,0.00067788,-0.0012227,-0.00050041,-0.00092144
"406.6561 / 20.14",0.014973,-0.00087058,0.014761,-0.0079183,0.008966,-0.0031179,-0.0095496,-0.0050408
"406.6628 / 13.50",0.008668,0.0014887,-0.01747,0.0099851,0.0021509,-0.02167,0.028787,-0.0032088
"406.7181 / 3.24  M2H2",0.017399,-0.00043326,-0.015314,0.0010519,0.0073357,-0.0056735,0.0056211,0.0043028
"406.9893 / 1.80",-0.0049057,-0.017548,-0.0039226,-0.0071053,-0.011748,0.0063833,-0.0129,-0.011095
"407.0302 / 2.05",-0.0034944,-0.021192,-0.018422,0.0095704,0.024099,-0.010122,-0.012562,0.0031077
"407.0977 / 8.29",0.0055725,0.03444,-0.00084745,-0.012851,-0.012115,0.0058548,0.0054933,-0.0021184
"407.1513 / 11.28",0.0044882,-8.3205e-05,0.0055653,-0.00064935,-0.0056742,-0.0034902,-0.00149,-0.0081201
"407.1760 / 14.40  M2H2",0.016039,-0.0012541,-0.013092,0.00071347,0.0052477,-0.004324,0.0080636,-0.0043918
"407.1889 / 16.21",0.0016303,-0.0026569,0.0022671,0.003492,-0.0053446,-0.0023813,0.0052132,-0.0036569
"407.2107 / 9.42  M3H3",0.014518,-0.0019628,-0.0018177,-0.004043,-4.1599e-05,-0.0040476,0.0088001,-0.0025181
"407.2135 / 2.83  MCH3OHH",0.016757,0.0019486,0.0044853,0.0023727,0.0013397,-0.011139,0.006397,-0.009252
"407.2156 / 5.59",0.010408,-0.0054287,0.009655,0.0022288,-0.0018791,-0.0029366,-0.012094,0.010368
"407.2269 / 13.56",0.014591,-0.0015235,-0.014685,0.00068869,0.01099,0.0065653,-0.01131,0.00039957
"407.2301 / 10.78",0.015291,-0.0024614,-0.0016677,-0.002433,-0.0061912,-0.002272,0.012698,-0.0050833
"407.2381 / 9.05",0.010908,-0.0049347,0.0093012,0.00012989,-0.0065348,0.0033484,0.0019138,-0.013113
"407.2415 / 7.99",0.010236,-0.0073277,-0.011759,0.0005936,0.0094478,0.015072,-0.015677,0.01436
"407.7196 / 13.52",0.010766,-0.00011803,-0.0018196,-0.013099,0.019511,-0.0093002,-0.00091679,0.012213
"408.0849 / 20.50",0.00062333,0.0042743,0.017106,0.0026303,-0.0043406,-0.0022757,0.012578,-0.0067085
"408.1817 / 8.28",0.0086631,-0.0012046,0.0013404,0.021582,0.0022989,-0.017703,-0.0053912,-0.011823
"408.2079 / 14.08  M2H2",0.0181,0.00037498,-0.012718,0.0018809,0.0036452,0.0035911,0.0071644,-0.004085
"408.2372 / 7.69",0.0078969,-0.0080779,0.0060856,-0.0073128,0.0095541,0.011442,-0.017646,0.00046727
"408.2984 / 24.15  MNH4",0.00017109,0.0017708,0.0038199,-0.001092,-0.0026386,0.004436,-0.00026683,-0.0010271
"408.3087 / 24.14  MNH4",0.0001087,0.00098111,0.003475,-0.0019493,-0.0030165,0.0053852,-0.00010972,-0.00085592
"408.7092 / 10.81  M2H2",0.016288,0.0081666,-0.0033728,-0.011246,0.0044867,-0.0002213,0.0024487,-0.0016093
"408.7353 / 9.13",0.015869,0.005176,0.00040626,-0.0029316,0.0093768,-0.0056006,-0.0021149,-0.0030454
"408.7358 / 19.76  M2H2",0.015488,0.0039224,-0.018469,0.011738,-0.0038935,-0.0026204,0.0074138,0.0070783
"408.7460 / 9.41  M2Na2",0.016915,0.0027744,0.00053673,0.00087222,0.0052752,-0.0082647,0.0017152,-0.00067511
"408.9600 / 1.34",9.6159e-06,0.00088186,0.0012436,-0.00082859,9.3524e-05,-0.0010012,0.00018395,-0.0010951
"409.1110 / 2.08  MNa",0.00049856,-0.01153,-0.0067034,0.0059314,0.012202,-0.01751,0.0011379,-0.0081906
"409.1161 / 14.20",0.00081429,0.0017498,0.016951,-0.001081,-0.0094829,-0.0034427,0.024456,0.010055
"409.1456 / 23.06",-0.00014301,0.00070029,0.00070212,0.00094755,0.0010526,-0.001339,0.00010783,-0.00088403
"409.1561 / 23.06",-0.00013738,0.00012353,0.0002179,-0.00017551,0.00063413,-0.00077386,0.00038587,-0.00030291
"409.1586 / 1.86",0.0045011,-0.018563,-0.016814,0.0052496,0.0033284,-0.010112,0.0053721,0.0064538
"409.1609 / 3.81",0.0030736,-0.020939,0.011853,0.010941,-0.00041892,-0.012683,6.5382e-05,-0.040654
"409.1630 / 21.33",-0.00036508,0.0013283,0.0042001,-0.0069736,-0.0077642,0.0066383,0.0017928,-0.0012071
"409.1718 / 4.83",0.014094,0.00058494,0.013357,-0.0026229,0.0053454,-0.0074877,0.0004961,-0.012067
"409.1718 / 5.44",0.0097358,-0.0091563,0.022702,-0.0098198,-0.0081083,0.0021173,0.0059805,-0.015274
"409.1749 / 22.10  MNa",-0.00043398,0.00106,0.0044895,-0.0043102,-0.0025203,0.0076327,-5.9753e-06,-0.0020468
"409.1814 / 16.27",4.8281e-05,0.00117,-0.0020509,0.0022941,0.0017455,0.0032966,0.00025416,-0.0057127
"409.2084 / 6.65  MH",0.015904,1.0961e-05,-0.0059165,-0.0023008,0.00075181,0.0046874,0.00089208,-0.0024889
"409.2088 / 3.47  M2H2",0.014535,-0.0030381,0.0014169,-0.0045417,-0.00010967,0.013714,-0.01127,-0.0072982
"409.2089 / 2.28",0.016619,-9.2435e-05,0.0025855,-0.0077325,0.008536,0.0059335,-0.0023467,-0.00072319
"409.2090 / 9.55  MH",0.015406,0.00032912,-0.016186,0.0068999,-0.001177,0.0081085,-0.0020792,0.009692
"409.2094 / 10.45  MNH4",0.014952,0.0046362,0.0002285,-0.0016641,0.004179,0.0017662,-0.0049082,-0.0070084
"409.2098 / 8.76",0.01585,-0.0013726,-0.00034287,0.0010714,0.0032402,-0.0026699,-0.0046706,-0.0073136
"409.2168 / 7.52  M2H2",0.0087272,-0.0073392,0.013358,-0.011567,0.0030241,0.010484,-0.0056678,-0.010064
"409.2205 / 10.90",0.016992,-0.0020351,-0.0082248,-0.011694,0.015208,0.0063756,-0.0063157,0.0052545
"409.2209 / 8.67",0.015992,-0.0014499,-0.010754,-0.0010731,0.0041872,0.0050052,-0.0056161,-2.4119e-05
"409.2281 / 9.83",0.018222,0.0019099,-0.013627,0.0049487,-0.0026669,0.0020795,0.0052343,-0.0022355
"409.2309 / 23.96",0.00027189,-0.00080389,0.0017786,-0.00076598,-0.0021022,0.0019821,0.00014741,-0.0010688
"409.2378 / 11.75",0.013856,-0.0032846,-0.0079697,-0.0078417,0.011663,0.0071745,-0.0080755,0.010348
"409.3106 / 24.25  MNH4",3.0818e-06,0.00085175,0.0036082,-0.0022176,-0.0030913,0.0059363,-0.00034671,-0.00078289
"409.3271 / 24.42",0.0017004,-0.00039267,0.00030699,0.0003689,0.0033051,0.0050384,-0.0024166,0.0029953
"409.6923 / 10.13",0.012041,-0.002471,-0.014868,0.014654,-0.0039048,0.0049956,-0.011307,0.0090571
"409.7268 / 13.18  M2H2",0.0028631,-0.0074227,-0.0024675,0.0084211,0.013082,-0.013673,-0.014907,0.031361
"410.1544 / 7.02",0.015037,-0.0030821,0.013511,0.0028091,0.0038086,-0.010325,-0.002147,-0.0045591
"410.1563 / 6.00",0.014501,-0.0077359,0.029945,-0.007154,-0.0015167,-0.0068729,-0.0016716,-0.0082674
"410.1929 / 11.48",0.018171,0.010296,0.0037735,0.0055331,0.0068188,-0.0093517,-0.0026637,-0.0073601
"410.1969 / 12.71  M2H2",0.010825,-0.0019824,-0.013839,0.012302,0.0040183,0.0062786,-0.012437,-0.01187
"410.2084 / 8.84",0.017137,-0.00099219,-0.0047215,-0.0059506,-0.00059512,0.0021086,0.0045477,-0.0033794
"410.2091 / 15.82",0.0023071,0.002229,-0.014747,0.024765,0.0031988,-0.0041823,0.023629,-0.023247
"410.2122 / 17.26",0.013684,-0.0024548,0.010146,0.006642,0.0076345,-0.0031028,-0.021975,0.018009
"410.2221 / 18.20",0.0065251,-0.0018641,-0.0043994,0.00096577,-0.012224,0.014638,0.00036535,-0.018366
"410.2267 / 13.43",0.013406,-0.0083207,-0.016596,0.013587,-0.00082634,0.00583,-0.0078312,0.013658
"410.3446 / 23.15",0.0019973,0.0068395,-0.0013312,0.0034118,-0.0014368,-0.0014452,0.0060758,0.00074886
"410.7028 / 3.86  M2H2",0.01813,0.0018104,-0.016979,0.013952,-0.0076504,0.0030177,0.0010321,0.0067013
"410.7220 / 18.65",0.012606,-0.0062881,0.00011875,0.0010417,-0.0011598,-0.0019697,0.0023432,0.0056191
"410.7331 / 13.00",0.012238,-0.007852,0.0044003,0.0058245,-0.0048017,0.0018473,-0.007005,0.012467
"410.9092 / 10.02  M3H3",0.0089722,-0.0020146,-0.010239,0.0080927,-0.015689,0.0091181,0.0063673,-0.0029743
"410.9300 / 1.29  2MK",-0.00051552,-0.0094861,0.0035267,-0.00080202,0.0046368,-0.0059539,0.0031347,-0.0047674
"411.0104 / 1.21  MH",-1.6956e-06,-0.0071897,-0.0041571,0.0011714,0.0060067,-0.0034928,-0.0019853,0.00031477
"411.0954 / 22.91",0.00059195,0.001178,-0.0054483,0.0020781,-0.0020535,-0.0060155,-0.0038725,0.0070349
"411.2152 / 17.29",0.0069429,-0.00023327,0.011969,-0.0030735,0.014219,0.0046775,-0.028577,0.015061
"411.2227 / 6.29  MNa",0.0070779,-0.00054399,0.0025559,0.0021065,-0.0093521,0.013268,-0.015767,-0.0017183
"411.2235 / 16.53  MNH4",0.014479,-0.00084293,0.0014699,-0.014633,0.0043021,0.0034983,-0.0038096,0.0042685
"411.2359 / 24.34",-6.701e-06,0.00048403,0.00053873,0.0011147,0.00042239,-0.0010873,-0.00064152,-0.00023874
"411.2466 / 24.31",-3.6372e-05,-0.00030464,-8.2465e-05,1.0599e-05,0.00019012,-0.00015116,-0.0001506,0.00023438
"411.5566 / 9.06",0.011598,-0.0082872,0.011977,-0.0045937,0.0013193,-0.0024693,-0.0054585,0.010461
"411.7209 / 14.70  M2Na2",0.015993,-0.0014281,0.01201,-0.0027076,0.009369,-0.010689,-0.0031473,0.00098624
"412.1695 / 9.71  MHK2",0.01536,-0.0085895,0.022449,-0.018499,0.0014392,0.0049656,-0.0065217,0.0056592
"412.1719 / 3.67",0.014974,-0.011447,0.012408,-0.0028805,-0.0034396,0.0021269,-0.0049879,0.0055653
"412.1902 / 11.80",0.013263,0.0044443,0.0083555,0.013344,-0.0097016,0.00057497,-0.0092866,-0.01065
"412.1907 / 10.58",0.013649,-0.0070449,0.0016733,-0.00017824,-0.0052573,0.0058375,-0.00023786,-0.0018946
"412.2546 / 1.80",0.011772,-0.0046031,0.0033288,-0.0087296,0.016122,-0.016399,0.012029,0.017148
"412.2857 / 22.49",0.0041562,-0.0015581,0.017816,-0.016269,-0.0079202,-0.010094,0.0090835,0.015873
"412.6937 / 5.72",0.015869,-0.0071927,0.0018405,-0.0018202,0.0013262,-0.0048578,0.0052792,0.0044128
"412.6955 / 7.15",0.011203,-0.0038909,-0.012431,0.012353,-0.0056749,-0.0012792,0.0085351,-0.016279
"412.7115 / 19.97",0.0092156,-0.0018467,-0.0064203,0.010281,-0.0042848,0.0093958,-0.013441,0.00093548
"413.1422 / 13.52  MH",0.00094849,-0.017474,0.005697,-0.0032523,0.0066288,-0.0073904,0.0055285,-0.009115
"413.1551 / 3.34",0.011705,-0.0038575,0.012593,0.0079181,-0.0011585,-0.0064418,-0.0045945,-0.0071761
"413.1840 / 15.46",0.016249,-0.0034389,-0.009246,0.0012783,-6.4394e-05,0.0029643,0.00084707,0.0027704
"413.1919 / 12.81  MH",0.012295,-0.0016152,0.0057766,-0.0021698,0.0073349,-0.0057531,0.00074077,-0.01197
"413.1921 / 11.83",0.014243,-0.0035341,-0.0015157,0.0032478,-0.0011777,0.00088326,-0.00097056,-0.0043124
"413.2034 / 2.58  MH",0.018387,0.0030518,0.0050891,-0.0037326,0.0026715,-0.0036855,0.0059222,-0.015567
"413.2078 / 14.54  M2H2",0.015462,0.0061386,-0.007552,-0.00064696,0.019674,-0.014197,0.0016735,-0.013068
"413.2135 / 12.11",0.013506,-0.0039687,-0.013271,0.0020162,0.00073453,0.0051916,0.0046742,-0.0096542
"413.2271 / 20.47",0.0016455,-0.0038797,0.0047668,0.0044946,0.015176,0.0061326,0.0068136,-0.0069057
"413.2398 / 7.26",0.010407,-0.013613,0.0035339,-0.00028246,0.0070102,-0.00060071,-0.012676,0.012741
"413.2471 / 10.66",0.012121,0.0057964,0.013733,-0.0075932,-0.0089039,-0.0092289,-0.0087828,0.0020122
"413.2564 / 24.12",3.7902e-05,0.00060081,0.0004091,0.00066704,5.5211e-05,-0.0011334,-0.00038521,-3.7691e-05
"413.2671 / 24.12",-1.3186e-05,-0.00031716,-0.00017716,-0.0002942,-0.00026683,-0.00049845,-0.00015037,0.00048848
"413.3038 / 24.48  MH",0.0024873,-0.0013321,0.0040486,-0.011672,0.0012236,-0.00042852,-0.0033961,0.001935
"413.5694 / 10.02  M3H3",0.010782,-0.001227,0.0015325,-0.013525,0.0077323,0.0053389,0.00035223,-0.011431
"413.7637 / 9.37  M2H2",0.0080864,-0.0081396,0.0010714,0.0152,-0.017203,0.0087198,-0.010154,-0.002524
"413.8720 / 3.14",0.011058,0.00055856,-0.014296,0.0031572,-0.0028951,-0.0077443,0.025278,-0.014092
"413.8823 / 13.33",0.0094846,-0.0019575,-0.01719,0.019054,-0.011059,-0.0033515,0.017262,-0.0057293
"413.8867 / 14.40  M3H3",0.0079738,0.0034868,0.0035186,0.0090773,0.00027274,0.0042893,-0.022128,-0.013414
"413.9889 / 21.56",0.0057328,0.0072892,0.028166,0.00074743,-0.0064383,-0.006908,0.0074939,0.015728
"414.1442 / 13.56",0.00048283,-0.023619,0.010424,-0.00015183,0.0065046,-0.011114,0.0092242,-0.0031806
"414.1635 / 10.59  MNa",0.011071,-0.013971,0.0065883,-0.0033369,-0.018635,0.0142,-0.0031702,0.012514
"414.1892 / 12.61",0.012515,0.0037999,-0.011655,-0.00013104,0.025905,-0.0087367,-0.0053173,-0.0070494
"414.2122 / 17.30",0.013805,-0.0057293,0.004005,0.00032465,-0.01188,0.0014954,0.0053111,0.0070779
"414.2343 / 2.71",0.013777,-0.0062954,-0.0041377,-0.0002701,0.017981,0.0022784,-0.0081987,0.0076741
"414.2352 / 6.06",0.014441,0.00080453,0.010634,-0.0014377,0.00078636,-0.0054964,-0.0015105,-0.0052147
"414.2683 / 24.13",-1.0101e-05,-0.00025552,-4.3753e-06,0.00010174,-0.00033538,-0.00050529,-0.00017878,0.00030467
"414.3019 / 22.89",0.005292,-0.0045014,0.0031392,-0.024699,0.0054141,-0.016303,-0.0016944,0.006394
"414.6786 / 4.20",0.016638,-0.0031088,0.0037287,0.0036686,0.0049329,-0.011495,0.0040913,-0.0073626
"414.7537 / 16.28",0.0087532,-0.005906,-0.0072773,0.0055196,-0.0045786,0.012434,-0.0083699,-0.0046678
"414.9100 / 18.69  M3H3",0.0075666,0.0022286,-0.020381,0.02568,-0.0083949,0.0082259,0.0059261,-0.011573
"414.9543 / 27.95",-1.1839e-05,0.00019348,0.00049293,-0.00076214,-0.0011406,0.0016141,0.00014859,0.00021956
"414.9546 / 1.10",0.002173,0.032057,-0.013525,0.0046437,-0.019925,0.0092132,0.0020604,-0.0084188
"414.9860 / 8.13",0.013215,-0.001689,0.0058006,-0.0074831,-0.0020219,-0.0080873,0.013875,0.00095297
"415.1079 / 22.07",0.0027015,0.00048257,-0.0057669,0.001727,0.027206,-0.019589,-0.0012355,0.022551
"415.1922 / 2.26",0.010473,-0.016289,-0.0029122,0.0013701,0.020253,0.0073632,-0.0026734,-0.004724
"415.2118 / 21.87  MH",0.00014759,0.00053091,-4.8631e-05,-0.0005294,-0.00082698,0.00071277,0.00037075,0.00020872
"415.2203 / 13.02",0.016836,0.016869,0.011536,-0.0028652,0.012189,-0.0081199,0.00016532,-0.0051588
"415.2309 / 2.57",0.012571,-0.015103,0.0044862,-0.0043649,0.0077014,-0.0011177,-0.0014289,0.01351
"415.2356 / 8.13",0.01418,0.0015355,0.012009,-0.0053612,0.0014507,-0.0093181,0.0062725,-0.0093308
"415.2526 / 17.72  MH",0.00023448,0.001352,0.00060469,0.0011275,0.0011775,0.0024449,-0.00031014,-0.0050487
"415.2537 / 10.42",0.013914,-0.011919,0.0079095,-0.0035633,0.0079366,0.0022265,-0.0090916,0.0049414
"415.2547 / 9.52",0.015826,-0.00089894,-0.0082882,-0.0027803,0.003828,0.0052963,0.00039092,0.0024316
"415.2840 / 23.21",0.0023222,0.0065314,0.0028917,-0.00066118,0.0012455,-0.0026158,0.0052364,-0.0020346
"415.2919 / 16.76",0.01631,-0.0018854,-0.0050473,-0.0018764,-0.0027966,-0.0042085,0.012774,0.00031329
"415.3007 / 23.15",0.0022013,0.0066503,-0.00090098,0.0011637,-0.0019132,-0.0014078,0.0050147,-0.00089426
"415.7064 / 13.68",0.01482,0.00017394,-0.0063591,-0.0059947,0.0056836,0.0033035,-0.0013173,0.0011127
"415.7210 / 5.81",0.011299,-0.011129,0.0011309,0.019483,-0.016999,0.0055877,-0.010863,0.0055643
"415.7360 / 8.76",0.012306,-0.0077848,-0.0078496,-0.0014725,0.012546,0.0098752,-0.020226,0.0054286
"415.9868 / 21.56",0.0034626,0.011444,0.032786,-0.02379,0.010999,-0.0012792,-0.0035258,-0.0044171
"416.1109 / 11.37  MH",-0.0047314,-0.0027308,-0.010893,0.0039516,0.0032001,0.0037406,0.0041708,0.003148
"416.2133 / 21.73",0.00022477,0.00038094,-0.00078285,-5.973e-05,0.0010529,0.00040168,-0.00033362,-0.0003914
"416.2157 / 22.29  MH",0.00018582,-0.00024689,0.00057944,-0.0005772,0.00033121,0.00028149,0.00034614,-0.0010006
"416.2170 / 3.50  M2H2",0.013468,-0.0069886,-0.0034643,-0.00060597,0.0047093,0.011027,-0.01983,-0.00019443
"416.2282 / 14.28",0.0026576,0.0046091,0.0041346,-0.0094831,-0.0081602,0.015162,-0.00063039,-0.0027146
"416.2343 / 10.19",0.017678,0.0021986,-0.012216,-0.00018391,0.00070743,0.002925,0.0032787,-0.0015929
"416.2467 / 5.47",0.0094818,-0.0033522,-0.016753,0.022917,-0.016789,0.0060178,-0.0018986,-0.0068395
"416.2495 / 4.63",0.016854,-0.00012544,-0.0055557,-0.0023726,0.0041507,-0.0012083,0.0016521,0.0045231
"416.2495 / 7.59  MNH4",0.014944,-0.0054337,0.0083405,0.013623,-0.002035,-0.0002126,-0.014972,0.0093711
"416.2499 / 9.04",0.014335,-0.0044151,-0.0035516,0.00077755,-0.001191,0.0072782,-0.0068474,0.010159
"416.2509 / 8.33",0.011769,-0.0021756,-0.0078242,0.019333,-0.00091358,0.0020784,-0.018446,0.0089193
"416.2523 / 14.70",0.010699,0.0066331,0.0034606,-0.0074422,-0.016223,0.017102,0.00067224,0.014118
"416.2594 / 1.80",0.01123,-0.0094501,-0.011892,-0.0073484,0.001339,0.0019295,-0.0023303,-0.0075975
"416.2632 / 14.69  M3H3",0.010905,0.012035,0.0016684,-0.0053762,-0.015491,0.020173,-0.0077771,0.012636
"416.3534 / 19.92",-0.0022296,-0.014275,0.0020159,0.001528,0.015341,0.0085437,-0.004558,0.014099
