"","d.value","stdev","rawp","q.value"
"518.2811 / 11.71",5.8653,1.3358,7.8266e-07,3.8713e-06
"561.2427 / 15.67",5.8614,1.4246,7.8266e-07,3.8713e-06
"868.3903 / 19.31  M2H2",5.8613,1.2995,7.8266e-07,3.8713e-06
"746.3083 / 18.94  M-2H2-",5.861,1.372,7.8266e-07,3.8713e-06
"342.2386 / 13.85",5.8605,1.4046,7.8266e-07,3.8713e-06
"354.1995 / 7.07  MNa",5.8602,1.3855,7.8266e-07,3.8713e-06
"729.3917 / 19.54",5.8597,1.5697,7.8266e-07,3.8713e-06
"218.1502 / 1.12",5.8585,1.2866,7.8266e-07,3.8713e-06
"601.7452 / 19.73  M-2H2-",5.8574,1.4085,7.8266e-07,3.8713e-06
"490.7043 / 19.36",5.8572,1.367,7.8266e-07,3.8713e-06
"411.1876 / 2.56",5.8569,1.706,7.8266e-07,3.8713e-06
"359.1338 / 3.72  MNa",5.8565,1.4869,7.8266e-07,3.8713e-06
"378.1656 / 11.56",5.8542,1.3877,7.8266e-07,3.8713e-06
"676.2969 / 18.78  M-H-",5.8527,1.3186,7.8266e-07,3.8713e-06
"653.2960 / 8.09  M-2H2-",5.8514,1.2284,7.8266e-07,3.8713e-06
"435.6989 / 21.11",5.8514,1.4537,7.8266e-07,3.8713e-06
"413.2034 / 2.58  MH",5.8509,1.7559,7.8266e-07,3.8713e-06
"233.1509 / 2.41  MH",5.8507,1.5352,7.8266e-07,3.8713e-06
"692.3715 / 15.55  M3H3",5.8507,1.4889,7.8266e-07,3.8713e-06
"702.3788 / 1.94",5.8507,1.421,7.8266e-07,3.8713e-06
"322.1877 / 10.04",5.8501,1.5182,7.8266e-07,3.8713e-06
"359.1582 / 11.13",5.8498,1.5828,7.8266e-07,3.8713e-06
"493.2669 / 15.84",5.8494,1.3707,7.8266e-07,3.8713e-06
"674.2866 / 18.76  MH",5.8488,1.6601,7.8266e-07,3.8713e-06
"354.1735 / 10.13  M2H2",5.8448,1.6498,7.8266e-07,3.8713e-06
"578.7981 / 11.74  M2H2",5.8442,1.567,7.8266e-07,3.8713e-06
"607.3092 / 15.93  M-H-",5.844,1.2604,7.8266e-07,3.8713e-06
"706.3265 / 12.70",5.8438,1.3609,7.8266e-07,3.8713e-06
"358.7017 / 8.33",5.8437,1.5003,7.8266e-07,3.8713e-06
"544.2442 / 15.34",5.8429,1.4374,7.8266e-07,3.8713e-06
"473.2970 / 16.49",5.8427,1.4859,7.8266e-07,3.8713e-06
"583.3024 / 19.08  M2H2",5.8426,1.4431,7.8266e-07,3.8713e-06
"491.7838 / 12.28  M2H2",5.8424,1.5505,7.8266e-07,3.8713e-06
"453.2314 / 13.14  M-H-",5.8423,1.7199,7.8266e-07,3.8713e-06
"721.3396 / 17.34  MH",5.8421,1.2245,7.8266e-07,3.8713e-06
"990.3985 / 9.69",5.8412,1.2533,7.8266e-07,3.8713e-06
"488.7299 / 11.10  M2H2",5.8407,1.641,7.8266e-07,3.8713e-06
"714.2741 / 13.26  M-2H2-",5.8378,1.341,7.8266e-07,3.8713e-06
"522.2732 / 13.87  M2H2",5.8304,1.3828,7.8266e-07,3.8713e-06
"542.7964 / 18.84",5.8294,1.3541,7.8266e-07,3.8713e-06
"380.1792 / 13.65  MNa-2H-",5.8245,1.4784,7.8266e-07,3.8713e-06
"496.2225 / 12.94",5.8229,1.3073,7.8266e-07,3.8713e-06
"492.2838 / 14.43  M2Na2",5.8224,1.4636,7.8266e-07,3.8713e-06
"478.2315 / 5.71",5.8224,1.6527,7.8266e-07,3.8713e-06
"352.1863 / 9.13",5.8222,1.5057,7.8266e-07,3.8713e-06
"352.6958 / 6.58  M2H2",5.8213,1.547,7.8266e-07,3.8713e-06
"462.2626 / 12.42",5.8211,1.4231,7.8266e-07,3.8713e-06
"581.6472 / 19.17  M3H3",5.8207,1.3128,7.8266e-07,3.8713e-06
"753.3889 / 12.12",5.8202,1.5789,7.8266e-07,3.8713e-06
"530.3188 / 14.01  MH",5.8189,1.4234,7.8266e-07,3.8713e-06
"634.8402 / 19.89  MHK2",5.8173,1.5538,7.8266e-07,3.8713e-06
"507.2540 / 12.53  M2H2",5.8162,1.3778,7.8266e-07,3.8713e-06
"418.7193 / 11.06  M2H2",5.8147,1.5766,7.8266e-07,3.8713e-06
"431.1917 / 9.55  MNa",5.8132,1.213,7.8266e-07,3.8713e-06
"231.1138 / 14.08",5.8127,1.3326,7.8266e-07,3.8713e-06
"396.1524 / 18.91  MNa-2H-",5.8101,1.2192,7.8266e-07,3.8713e-06
"543.2464 / 15.30",5.8091,1.6227,7.8266e-07,3.8713e-06
"366.1640 / 9.28  MNa-2H-",5.8075,1.4337,7.8266e-07,3.8713e-06
"404.1814 / 17.64",5.8059,1.3689,7.8266e-07,3.8713e-06
"444.2926 / 10.74",5.8053,1.4434,7.8266e-07,3.8713e-06
"261.1275 / 5.32",5.8029,1.5695,7.8266e-07,3.8713e-06
"405.2144 / 10.22  M",5.8017,1.5116,7.8266e-07,3.8713e-06
"848.8909 / 18.83  M-2H2-",5.8014,1.297,7.8266e-07,3.8713e-06
"536.2732 / 12.13",5.8004,1.3595,7.8266e-07,3.8713e-06
"393.2099 / 13.08  MNa-2H-",5.7988,1.5795,7.8266e-07,3.8713e-06
"491.7716 / 12.23  M2H2",5.7986,1.5215,7.8266e-07,3.8713e-06
"389.2192 / 9.07",5.7982,1.453,7.8266e-07,3.8713e-06
"480.7199 / 19.39  M-2H2-",5.7978,1.402,7.8266e-07,3.8713e-06
"690.3561 / 8.10  M-H-",5.7977,1.6854,7.8266e-07,3.8713e-06
"448.7634 / 19.46",5.7971,1.2965,7.8266e-07,3.8713e-06
"469.2268 / 6.18",5.795,1.4823,7.8266e-07,3.8713e-06
"389.2455 / 3.83",5.795,1.5717,7.8266e-07,3.8713e-06
"502.3261 / 13.17",5.7949,1.4068,7.8266e-07,3.8713e-06
"457.2029 / 5.30",5.7936,1.4517,7.8266e-07,3.8713e-06
"406.6561 / 20.14",5.7924,1.4081,7.8266e-07,3.8713e-06
"394.1994 / 11.43  M-H-",5.7899,1.4303,7.8266e-07,3.8713e-06
"246.1896 / 7.70",5.7893,1.6212,7.8266e-07,3.8713e-06
"752.4243 / 15.58",5.788,1.337,7.8266e-07,3.8713e-06
"265.1188 / 3.36  M-H-",5.7876,1.7157,7.8266e-07,3.8713e-06
"965.5335 / 19.65  M-2H2-",5.7875,1.3683,7.8266e-07,3.8713e-06
"387.2239 / 8.16  M-H-",5.787,1.6536,7.8266e-07,3.8713e-06
"431.7194 / 10.34  M2H2",5.786,1.4372,7.8266e-07,3.8713e-06
"529.2619 / 15.89",5.7856,1.2611,7.8266e-07,3.8713e-06
"277.1552 / 10.11  M-H-",5.7847,1.7977,7.8266e-07,3.8713e-06
"398.1675 / 13.02",5.7831,1.3435,7.8266e-07,3.8713e-06
"411.7209 / 14.70  M2Na2",5.7821,1.4895,7.8266e-07,3.8713e-06
"693.8381 / 15.99  M-2H2-",5.7762,1.2496,7.8266e-07,3.8713e-06
"514.3221 / 19.17  M-H-",5.7757,1.7477,7.8266e-07,3.8713e-06
"732.3232 / 16.55  M-2H2-",5.7742,1.3698,7.8266e-07,3.8713e-06
"354.7007 / 11.45",5.7704,1.4739,7.8266e-07,3.8713e-06
"690.3494 / 13.56  MH",5.7702,1.448,7.8266e-07,3.8713e-06
"578.2423 / 15.14",5.7686,1.377,7.8266e-07,3.8713e-06
"585.2702 / 14.56  M2H2",5.7686,1.3685,7.8266e-07,3.8713e-06
"929.5114 / 15.17",5.7681,1.4664,7.8266e-07,3.8713e-06
"642.3462 / 19.65",5.768,1.3471,7.8266e-07,3.8713e-06
"280.1745 / 11.35",5.7673,1.5657,7.8266e-07,3.8713e-06
"332.2187 / 10.09",5.767,1.411,7.8266e-07,3.8713e-06
"298.1407 / 11.69",5.7653,1.6342,7.8266e-07,3.8713e-06
"402.2137 / 3.79  M2H2",5.7645,1.4993,7.8266e-07,3.8713e-06
"704.3089 / 12.73  M-H-",5.7622,1.3302,7.8266e-07,3.8713e-06
"430.2644 / 12.62",5.7607,1.6049,7.8266e-07,3.8713e-06
"692.4072 / 16.22  M-H-",5.7605,1.519,7.8266e-07,3.8713e-06
"505.7265 / 8.72  M2H2",5.7603,1.2572,7.8266e-07,3.8713e-06
"659.3744 / 19.64",5.7601,1.367,7.8266e-07,3.8713e-06
"489.8974 / 16.49  M3H3",5.7585,1.405,7.8266e-07,3.8713e-06
"380.1820 / 9.50  MAcO-H-",5.7581,1.4777,7.8266e-07,3.8713e-06
"745.4296 / 19.75  MH",5.757,1.5163,7.8266e-07,3.8713e-06
"469.1914 / 12.24  M2H2",5.7561,1.5026,7.8266e-07,3.8713e-06
"290.1136 / 4.35",5.756,1.4031,7.8266e-07,3.8713e-06
"618.2719 / 13.02",5.7557,1.2598,7.8266e-07,3.8713e-06
"472.2051 / 11.02",5.7535,1.4799,7.8266e-07,3.8713e-06
"967.5059 / 19.26",5.7524,1.3283,7.8266e-07,3.8713e-06
"608.3269 / 16.44  M2NH42",5.7513,1.3206,7.8266e-07,3.8713e-06
"811.4590 / 19.03  2MH",5.7452,1.418,1.5653e-06,7.6562e-06
"801.3629 / 15.49  M-H-",5.7451,1.6539,1.5653e-06,7.6562e-06
"656.2601 / 18.95  MNa-2H-",5.7448,1.2086,1.5653e-06,7.6562e-06
"469.7602 / 18.75",5.7395,1.3823,1.5653e-06,7.6562e-06
"577.7558 / 19.18  M2H2",5.7392,1.4256,1.5653e-06,7.6562e-06
"261.1450 / 2.73",5.737,1.1241,1.5653e-06,7.6562e-06
"229.1553 / 15.50",5.7367,1.4921,1.5653e-06,7.6562e-06
"366.2013 / 13.13",5.7365,1.5112,2.348e-06,9.7659e-06
"585.2655 / 11.33",5.7357,1.2874,2.348e-06,9.7659e-06
"556.2607 / 15.11",5.7309,1.4682,2.348e-06,9.7659e-06
"529.7426 / 4.15  M2H2",5.7304,1.7984,2.348e-06,9.7659e-06
"478.2296 / 11.16  MCH3OHH",5.7303,1.3593,2.348e-06,9.7659e-06
"533.2566 / 1.94",5.7299,1.3965,2.348e-06,9.7659e-06
"816.4512 / 19.80",5.729,1.5824,2.348e-06,9.7659e-06
"376.2236 / 16.46",5.7275,1.4369,2.348e-06,9.7659e-06
"672.2691 / 18.79  M-H-",5.7275,1.5867,2.348e-06,9.7659e-06
"635.3406 / 19.56",5.7268,1.3853,2.348e-06,9.7659e-06
"979.5921 / 19.20  M-H-",5.7257,1.5011,2.348e-06,9.7659e-06
"374.2289 / 13.56",5.7243,1.5302,2.348e-06,9.7659e-06
"409.1363 / 8.84",5.7238,1.4592,2.348e-06,9.7659e-06
"392.1844 / 9.55  M2",5.7199,1.4241,2.348e-06,9.7659e-06
"415.2201 / 8.51",5.7191,1.4366,2.348e-06,9.7659e-06
"803.3808 / 15.46  MH",5.7187,1.6115,2.348e-06,9.7659e-06
"378.2022 / 12.88",5.7181,1.5535,2.348e-06,9.7659e-06
"429.2712 / 12.54  MH",5.7115,1.7858,2.348e-06,9.7659e-06
"428.1816 / 11.63",5.7115,1.4812,2.348e-06,9.7659e-06
"703.6616 / 15.85  M3Na3",5.708,1.3722,2.348e-06,9.7659e-06
"594.8227 / 19.53  MHNa2",5.7066,1.5181,2.348e-06,9.7659e-06
"464.2494 / 10.84",5.7049,1.505,2.348e-06,9.7659e-06
"531.2094 / 9.86",5.6985,1.4268,2.348e-06,9.7659e-06
"610.2810 / 14.34  MTFA-H-",5.6963,1.2835,2.348e-06,9.7659e-06
"326.1717 / 14.05",5.6934,1.5376,2.348e-06,9.7659e-06
"639.3447 / 13.80  M-H-",5.6933,1.5532,2.348e-06,9.7659e-06
"279.1341 / 3.30",5.6924,1.6376,2.348e-06,9.7659e-06
"618.2794 / 20.62  M-H-",5.685,1.3899,2.348e-06,9.7659e-06
"522.2399 / 14.74",5.6849,1.2745,2.348e-06,9.7659e-06
"303.1443 / 8.09  MH",5.6823,1.4086,2.348e-06,9.7659e-06
"427.2544 / 12.52  M-H-",5.6818,1.7156,2.348e-06,9.7659e-06
"612.8392 / 19.24  M2H2",5.6772,1.6098,2.348e-06,9.7659e-06
"438.7532 / 13.77  M2H2",5.6751,1.4164,2.348e-06,9.7659e-06
"693.4125 / 16.19  M-",5.6732,1.3787,2.348e-06,9.7659e-06
"346.1979 / 4.15  MCH3OHH",5.6725,1.5256,2.348e-06,9.7659e-06
"508.2509 / 7.64",5.6718,1.5931,2.348e-06,9.7659e-06
"667.3409 / 17.21  MH",5.6715,1.462,2.348e-06,9.7659e-06
"581.7897 / 18.88",5.6701,1.4426,2.348e-06,9.7659e-06
"688.3331 / 13.58  M-H-",5.6683,1.5047,2.348e-06,9.7659e-06
"685.3525 / 18.05  M-H-",5.6664,1.5757,2.348e-06,9.7659e-06
"409.2089 / 2.28",5.6659,1.5593,2.348e-06,9.7659e-06
"605.8478 / 19.33",5.6654,1.2224,2.348e-06,9.7659e-06
"586.3192 / 11.79",5.6645,1.4612,2.348e-06,9.7659e-06
"197.1297 / 11.24",5.6641,1.6069,2.348e-06,9.7659e-06
"894.4352 / 19.85  MNa-2H-",5.6631,1.4658,2.348e-06,9.7659e-06
"572.9348 / 16.95  M3H3",5.6615,1.3039,2.348e-06,9.7659e-06
"443.2125 / 2.51",5.6602,1.5216,2.348e-06,9.7659e-06
"495.2449 / 12.10",5.6546,1.5484,2.348e-06,9.7659e-06
"527.7237 / 4.04",5.6544,1.534,2.348e-06,9.7659e-06
"909.4773 / 18.52",5.6509,1.3486,2.348e-06,9.7659e-06
"552.3109 / 17.73  M2H2",5.6501,1.5797,2.348e-06,9.7659e-06
"743.4085 / 19.75",5.6498,1.6482,2.348e-06,9.7659e-06
"466.7276 / 10.91  M2H2",5.6496,1.4638,2.348e-06,9.7659e-06
"435.2417 / 9.00  M2H2",5.6494,1.8038,2.348e-06,9.7659e-06
"745.3413 / 19.63  MCH3OHH",5.6491,1.3708,2.348e-06,9.7659e-06
"395.1917 / 13.71",5.6479,1.3754,2.348e-06,9.7659e-06
"469.2405 / 7.08",5.6466,1.667,2.348e-06,9.7659e-06
"375.2171 / 11.84  M2H2",5.6456,1.4596,2.348e-06,9.7659e-06
"497.2731 / 18.71",5.6448,1.366,2.348e-06,9.7659e-06
"263.1396 / 5.51  M-H-",5.6413,1.6158,2.348e-06,9.7659e-06
"909.9769 / 18.52",5.6392,1.3488,2.348e-06,9.7659e-06
"410.2084 / 8.84",5.6376,1.5571,2.348e-06,9.7659e-06
"322.1769 / 9.70",5.6366,1.3999,2.348e-06,9.7659e-06
"724.3259 / 18.94  M-2H2-",5.636,1.5081,2.348e-06,9.7659e-06
"373.2440 / 7.89  MCH3OHH",5.6355,1.4578,2.348e-06,9.7659e-06
"636.3220 / 19.07",5.6328,1.5073,2.348e-06,9.7659e-06
"519.7761 / 15.53",5.6324,1.4141,2.348e-06,9.7659e-06
"535.2289 / 17.21  MHNa2",5.629,1.5621,2.348e-06,9.7659e-06
"86.0965 / 5.68",5.626,1.5242,2.348e-06,9.7659e-06
"752.3938 / 19.86  MNa-2H-",5.6248,1.5416,2.348e-06,9.7659e-06
"437.2034 / 7.70",5.6208,1.5648,2.348e-06,9.7659e-06
"753.4254 / 11.79  M-H-",5.6157,1.5739,2.348e-06,9.7659e-06
"435.1982 / 21.09  M-2H2-",5.6151,1.3085,2.348e-06,9.7659e-06
"377.1996 / 2.31",5.6141,1.4985,2.348e-06,9.7659e-06
"552.2638 / 19.07",5.6136,1.2471,2.348e-06,9.7659e-06
"628.3664 / 16.56",5.6123,1.46,2.348e-06,9.7659e-06
"611.1367 / 12.00",5.6096,1.4108,2.348e-06,9.7659e-06
"419.2505 / 8.11  MCH3OHH",5.609,1.4816,2.348e-06,9.7659e-06
"423.7198 / 2.73",5.6059,1.4788,2.348e-06,9.7659e-06
"520.2733 / 18.65  M3H3",5.6056,1.5964,2.348e-06,9.7659e-06
"361.2087 / 3.47  MH",5.603,1.8989,2.348e-06,9.7659e-06
"738.3438 / 19.63",5.5963,1.3658,2.348e-06,9.7659e-06
"419.2277 / 13.53",5.5918,1.4965,2.348e-06,9.7659e-06
"373.2087 / 8.09  MCH3OHH",5.5911,1.6254,2.348e-06,9.7659e-06
"526.3035 / 13.53  M2H2",5.5902,1.5774,2.348e-06,9.7659e-06
"448.7038 / 15.05",5.5885,1.3838,2.348e-06,9.7659e-06
"582.2891 / 19.07  MNa-2H-",5.5867,1.456,2.348e-06,9.7659e-06
"393.2127 / 13.10",5.5825,1.6721,2.348e-06,9.7659e-06
"381.1776 / 3.86",5.5753,1.4892,2.348e-06,9.7659e-06
"389.2394 / 8.12",5.5752,1.77,2.348e-06,9.7659e-06
"558.2403 / 3.03",5.5737,1.5895,2.348e-06,9.7659e-06
"494.2579 / 12.69",5.5692,1.3747,2.348e-06,9.7659e-06
"836.3761 / 10.80  MNa-2H-",5.5658,1.4712,2.348e-06,9.7659e-06
"408.2079 / 14.08  M2H2",5.5656,1.686,2.348e-06,9.7659e-06
"690.3429 / 18.36  MHNa2",5.5618,1.3542,2.348e-06,9.7659e-06
"537.7825 / 20.89  M-2H2-",5.5582,1.5739,2.348e-06,9.7659e-06
"433.2185 / 10.00",5.5573,1.4943,2.348e-06,9.7659e-06
"396.2102 / 9.49",5.5546,1.5079,2.348e-06,9.7659e-06
"736.3507 / 17.64",5.554,1.2594,2.348e-06,9.7659e-06
"545.3402 / 1.00",5.5535,1.3397,2.348e-06,9.7659e-06
"449.2383 / 11.12  M2H2",5.5482,1.5486,2.348e-06,9.7659e-06
"293.1129 / 3.92",5.5475,1.6688,2.348e-06,9.7659e-06
"376.1727 / 3.76",5.5449,1.444,2.348e-06,9.7659e-06
"417.2443 / 1.93",5.5427,1.6043,2.348e-06,9.7659e-06
"382.1625 / 4.87",5.5421,1.7244,2.348e-06,9.7659e-06
"802.3941 / 15.77",5.5409,1.3723,2.348e-06,9.7659e-06
"312.1486 / 12.95  M-",5.5406,1.6077,2.348e-06,9.7659e-06
"745.3541 / 19.44  M-H-",5.5385,1.2925,2.348e-06,9.7659e-06
"616.2969 / 19.85",5.5355,1.3876,2.348e-06,9.7659e-06
"337.1523 / 3.69  MH",5.5337,1.7539,2.348e-06,9.7659e-06
"730.4117 / 19.86  M-H-",5.5307,1.7226,2.348e-06,9.7659e-06
"285.1315 / 8.34  2MNa-2H-",5.529,1.8098,2.348e-06,9.7659e-06
"559.3017 / 19.52  MHNa2",5.5259,1.3773,2.348e-06,9.7659e-06
"589.3198 / 16.01  M2H2",5.525,1.5039,2.348e-06,9.7659e-06
"417.2060 / 13.12",5.5239,1.7061,2.348e-06,9.7659e-06
"907.4559 / 18.54  M-2H2-",5.5231,1.4562,2.348e-06,9.7659e-06
"453.2115 / 10.42  M2H2",5.5205,1.6584,2.348e-06,9.7659e-06
"441.1968 / 4.22",5.5194,1.5688,2.348e-06,9.7659e-06
"300.1195 / 3.47  M-H-",5.5175,1.5461,2.348e-06,9.7659e-06
"792.3754 / 20.01  MNa-2H-",5.5117,1.286,2.348e-06,9.7659e-06
"504.2868 / 19.14",5.5116,0.5401,2.348e-06,9.7659e-06
"613.3918 / 19.65",5.5089,1.6056,2.348e-06,9.7659e-06
"319.1835 / 12.09",5.5079,1.4717,2.348e-06,9.7659e-06
"253.1195 / 2.92  MNH4",5.5049,1.1537,2.348e-06,9.7659e-06
"572.9670 / 12.85",5.5048,1.6019,2.348e-06,9.7659e-06
"295.1112 / 7.96",5.5046,1.3199,2.348e-06,9.7659e-06
"328.2235 / 10.86",5.5037,1.4408,2.348e-06,9.7659e-06
"571.3082 / 19.42  M-H-",5.5023,1.4497,2.348e-06,9.7659e-06
"318.1826 / 11.87",5.502,1.5826,2.348e-06,9.7659e-06
"293.1503 / 5.13",5.5019,1.6173,2.348e-06,9.7659e-06
"385.8862 / 9.09",5.5019,1.3806,2.348e-06,9.7659e-06
"547.2772 / 18.66  M2Na2",5.5011,1.3839,2.348e-06,9.7659e-06
"486.2916 / 11.65",5.501,1.4729,2.348e-06,9.7659e-06
"389.1843 / 10.33",5.499,1.5634,3.1306e-06,1.1825e-05
"423.2236 / 2.15",5.4981,1.6672,3.1306e-06,1.1825e-05
"892.4583 / 19.42",5.498,1.3085,3.1306e-06,1.1825e-05
"407.1917 / 2.29",5.4974,1.4091,3.1306e-06,1.1825e-05
"532.2639 / 10.97  M2H2",5.497,1.4719,3.1306e-06,1.1825e-05
"683.2989 / 7.70  MH",5.4958,1.5136,3.1306e-06,1.1825e-05
"664.3280 / 16.23",5.4946,1.2144,3.1306e-06,1.1825e-05
"343.1689 / 7.76",5.494,1.3915,3.1306e-06,1.1825e-05
"345.1423 / 6.27",5.4924,1.6463,3.1306e-06,1.1825e-05
"498.3030 / 14.33",5.4915,1.5142,3.1306e-06,1.1825e-05
"696.3204 / 12.28",5.4906,1.4874,3.1306e-06,1.1825e-05
"608.2958 / 16.04  MHK2",5.49,1.3784,3.1306e-06,1.1825e-05
"173.0143 / 1.84",5.4894,0.21209,3.1306e-06,1.1825e-05
"446.2597 / 9.71",5.4881,1.5511,3.1306e-06,1.1825e-05
"433.2273 / 8.21",5.4805,1.4984,3.1306e-06,1.1825e-05
"789.3818 / 14.63  M-H-",5.4803,1.4421,3.1306e-06,1.1825e-05
"187.1441 / 13.29",5.4785,1.4906,3.1306e-06,1.1825e-05
"415.2547 / 9.52",5.4768,1.4721,3.1306e-06,1.1825e-05
"470.2724 / 11.54",5.4763,1.5714,3.1306e-06,1.1825e-05
"416.1416 / 11.97",5.475,1.6006,3.1306e-06,1.1825e-05
"371.2372 / 8.12",5.4688,1.6147,3.1306e-06,1.1825e-05
"325.1729 / 5.70  M-H-",5.4668,1.5641,3.1306e-06,1.1825e-05
"737.3844 / 19.63  M-H-",5.4667,1.1924,3.1306e-06,1.1825e-05
"479.2495 / 13.52",5.4649,1.4256,3.1306e-06,1.1825e-05
"261.1269 / 4.50",5.4627,1.5916,3.1306e-06,1.1825e-05
"480.2442 / 8.37  MH",5.4609,1.5697,3.1306e-06,1.1825e-05
"464.2882 / 17.65",5.4601,1.3913,3.1306e-06,1.1825e-05
"776.2537 / 18.79",5.4586,1.31,3.1306e-06,1.1825e-05
"350.1500 / 14.81",5.4583,1.4962,3.1306e-06,1.1825e-05
"403.2290 / 2.12",5.4525,1.6759,3.1306e-06,1.1825e-05
"422.1552 / 11.46",5.4521,1.4376,3.1306e-06,1.1825e-05
"327.2143 / 15.59",5.4494,1.4387,3.1306e-06,1.1825e-05
"227.9731 / 1.80",5.4491,0.4216,3.1306e-06,1.1825e-05
"303.2142 / 1.04",5.449,1.4136,3.1306e-06,1.1825e-05
"338.1481 / 12.10  MNa-2H-",5.448,1.3088,3.1306e-06,1.1825e-05
"267.1689 / 7.75  MNa",5.4474,1.6692,3.1306e-06,1.1825e-05
"426.2070 / 13.99",5.4473,1.5558,3.1306e-06,1.1825e-05
"680.3603 / 16.72  MH",5.4453,1.5119,3.1306e-06,1.1825e-05
"482.2378 / 14.11",5.4443,1.4025,3.1306e-06,1.1825e-05
"529.2346 / 19.11",5.4418,1.3486,3.1306e-06,1.1825e-05
"360.2135 / 9.76",5.4411,1.7392,3.1306e-06,1.1825e-05
"457.2661 / 11.33  MH",5.4392,1.8109,3.1306e-06,1.1825e-05
"637.3540 / 19.56",5.4391,1.4206,3.1306e-06,1.1825e-05
"872.4528 / 19.85  M-H-",5.4375,1.5814,3.1306e-06,1.1825e-05
"725.8846 / 19.65",5.4365,1.4184,3.1306e-06,1.1825e-05
"548.2636 / 15.63  M2H2",5.4361,1.7275,3.1306e-06,1.1825e-05
"429.7404 / 6.74",5.4326,1.5824,3.1306e-06,1.1825e-05
"289.1874 / 2.64  MNH4",5.4322,1.5965,3.1306e-06,1.1825e-05
"452.7024 / 13.05",5.4321,1.5463,3.1306e-06,1.1825e-05
"413.2471 / 10.66",5.4279,1.3677,3.1306e-06,1.1825e-05
"523.1521 / 22.51",5.4264,0.41216,3.1306e-06,1.1825e-05
"487.2656 / 15.30",5.4263,1.409,3.1306e-06,1.1825e-05
"871.4067 / 21.09  M-H-",5.4259,1.5345,3.1306e-06,1.1825e-05
"530.2214 / 14.23  M-2H2-",5.4249,1.6617,3.1306e-06,1.1825e-05
"658.2837 / 18.59",5.4249,1.4228,3.1306e-06,1.1825e-05
"491.2747 / 14.86  M3H3",5.4226,1.404,3.1306e-06,1.1825e-05
"246.1876 / 5.71",5.4207,1.5406,3.1306e-06,1.1825e-05
"478.2393 / 16.49",5.4186,1.3949,3.1306e-06,1.1825e-05
"875.4244 / 10.13  M-H-",5.4186,1.557,3.1306e-06,1.1825e-05
"766.3401 / 19.97",5.4175,1.4574,3.1306e-06,1.1825e-05
"705.2900 / 19.76  MNa",5.4149,1.337,3.1306e-06,1.1825e-05
"683.3583 / 16.50  M3H3",5.4134,1.6146,3.1306e-06,1.1825e-05
"487.3150 / 19.02",5.4134,1.4808,3.1306e-06,1.1825e-05
"662.3099 / 19.05",5.4132,1.3125,3.1306e-06,1.1825e-05
"487.2953 / 1.85",5.4114,1.3738,3.1306e-06,1.1825e-05
"401.2370 / 4.27",5.4106,1.4746,3.1306e-06,1.1825e-05
"465.2614 / 10.62  M2H2",5.4086,1.5118,3.1306e-06,1.1825e-05
"611.3295 / 20.30",5.4074,1.0187,3.1306e-06,1.1825e-05
"816.4269 / 19.52",5.4073,1.302,3.1306e-06,1.1825e-05
"744.8409 / 19.63",5.4062,1.3717,3.1306e-06,1.1825e-05
"732.4304 / 19.83  MH",5.4048,1.6462,3.1306e-06,1.1825e-05
"201.1236 / 6.04",5.4008,1.4224,3.1306e-06,1.1825e-05
"615.3093 / 3.60",5.3988,1.4672,3.1306e-06,1.1825e-05
"926.4970 / 14.58  MFA-H-",5.3988,1.5332,3.1306e-06,1.1825e-05
"363.2008 / 8.74",5.3977,1.4752,3.1306e-06,1.1825e-05
"484.3143 / 13.35",5.3971,1.4944,3.1306e-06,1.1825e-05
"437.2279 / 12.88  M3H3",5.3948,1.4689,3.1306e-06,1.1825e-05
"465.2705 / 14.34",5.3948,1.59,3.1306e-06,1.1825e-05
"341.1667 / 3.45",5.3935,1.4498,3.1306e-06,1.1825e-05
"685.3250 / 13.79  MNa",5.3926,1.4261,3.1306e-06,1.1825e-05
"230.1595 / 3.39",5.3913,1.6747,3.1306e-06,1.1825e-05
"472.2759 / 12.75",5.3893,1.596,3.1306e-06,1.1825e-05
"516.7916 / 15.89  M2H2",5.3884,1.6568,3.1306e-06,1.1825e-05
"469.2399 / 6.34",5.3879,1.5973,3.1306e-06,1.1825e-05
"562.2981 / 16.62  M2H2",5.3859,1.4238,3.1306e-06,1.1825e-05
"726.3298 / 10.83",5.3855,1.3725,3.1306e-06,1.1825e-05
"345.1766 / 2.70  M-H-",5.3853,1.4656,3.1306e-06,1.1825e-05
"567.2889 / 17.37  M3H3",5.384,1.5957,3.1306e-06,1.1825e-05
"583.8334 / 19.53  M2H2",5.3837,1.8087,3.1306e-06,1.1825e-05
"373.1715 / 3.20",5.3815,1.4814,3.1306e-06,1.1825e-05
"567.2563 / 19.15  M2H2",5.3805,1.4232,3.1306e-06,1.1825e-05
"474.2928 / 13.84  MHNH42",5.3792,1.608,3.9133e-06,1.2703e-05
"505.1971 / 13.27",5.379,1.3881,3.9133e-06,1.2703e-05
"288.1916 / 6.01",5.3785,1.4747,3.9133e-06,1.2703e-05
"613.6423 / 19.10",5.3751,1.4431,3.9133e-06,1.2703e-05
"679.3381 / 19.57  M2H2",5.3746,1.491,3.9133e-06,1.2703e-05
"421.7212 / 13.26  M2H2",5.3745,1.4938,3.9133e-06,1.2703e-05
"543.3012 / 18.30",5.3735,1.5298,3.9133e-06,1.2703e-05
