"","MeanDecreaseAccuracy"
"525.2401 / 23.70",0
"525.2168 / 19.10  M-2H2-",0
"525.2045 / 22.59",0
"525.2014 / 11.70  M-H-",0
"525.0383 / 1.12",0
"524.7181 / 17.61",0
"524.2107 / 14.52",0
"524.2059 / 19.39",0
"524.1299 / 9.67",0
"523.7169 / 17.64  M-2H2-",0
"523.2735 / 15.49  M-H-",0
"523.2558 / 24.32",0
"523.2275 / 22.71",0
"523.2119 / 7.93  MNa-2H-",0
"523.1914 / 22.26  MAcO-H-",0
"523.1521 / 22.51",0
"523.0180 / 1.14",0
"522.2526 / 8.27  MNa-2H-",0
"522.2210 / 17.20  M-2H2-",0
"522.2170 / 17.99",0
"522.1490 / 19.04",0
"521.2766 / 12.15",0
"521.2558 / 15.07  M-2H2-",0
"521.2241 / 15.39",0
"521.1648 / 23.05",0
"520.7384 / 18.44  M-2H2-",0
"520.7189 / 16.61",0
"520.2768 / 17.45  M-H-",0
"520.2754 / 12.18  M-2H2-",0
"520.2555 / 13.87",0
"520.2260 / 14.75",0
"520.2245 / 3.07",0
"519.3177 / 18.97",0
"519.2555 / 10.42",0
"519.2346 / 20.11  M-2H2-",0
"519.1917 / 14.30",0
"518.9628 / 1.10",0
"518.2970 / 9.06",0
"518.2819 / 9.85",0
"518.2610 / 16.76",0
"518.2604 / 7.96  M-2H2-",0
"518.2603 / 13.52",0
"518.1886 / 14.33  M-H-",0
"517.9659 / 14.40",0
"517.2612 / 3.39",0
"517.2404 / 12.13",0
"517.2392 / 21.89",0
"517.2391 / 8.54",0
"517.2313 / 14.35",0
"517.2033 / 11.05  M-H-",0
"517.1897 / 13.02",0
"516.3020 / 13.04",0
"516.2860 / 9.76",0
"516.2651 / 15.71  M-H-",0
"516.2556 / 17.68",0
"516.2297 / 11.35",0
"515.7182 / 15.17",0
"515.3168 / 3.38",0
"515.2827 / 9.73  M-H-",0
"515.2818 / 11.15",0
"515.2602 / 8.46",0
"515.2463 / 19.85",0
"515.2377 / 22.10",0
"515.2104 / 12.11  MNa-2H-",0
"515.1635 / 20.52",0
"515.1508 / 22.10",0
"514.3275 / 20.40",0
"514.3245 / 17.48",0
"514.3221 / 19.17  M-H-",0
"514.2877 / 13.02  M-H-",0
"514.2873 / 15.52  M-H-",0
"513.7662 / 3.26  M-2H2-",0
"513.3044 / 10.75",0
"513.3040 / 14.98",0
"513.3030 / 14.41",0
"513.2346 / 15.45  MNa-2H-",0
"513.2314 / 17.51  MNa-2H-",0
"513.1664 / 22.78",0
"512.7755 / 16.18",0
"512.2477 / 18.63",0
"512.2461 / 6.68",0
"512.2460 / 10.57",0
"512.1734 / 10.46  MNa-2H-",0
"512.1480 / 8.86",0
"511.3527 / 20.37  MAcO-H-",0
"511.3036 / 23.58",0
"511.2905 / 22.60",0
"511.2877 / 11.29  M-H-",0
"511.2195 / 17.74",0
"511.1819 / 18.85  MNa-2H-",0
"511.1574 / 22.18",0
"511.1281 / 4.97",0
"510.3283 / 19.23",0
"510.2940 / 20.53",0
"510.2530 / 8.05",0
"510.1840 / 11.63",0
"510.1656 / 21.76",0
"509.3309 / 6.83  2MNa-2H-",0
"509.3307 / 7.71  2MNa-2H-",0
"509.2575 / 12.52",0
"509.2571 / 15.27",0
"509.2421 / 18.09  M-H2O-H-",0
"509.1999 / 20.11",0
"509.1109 / 10.45",0
"508.2868 / 8.09",0
"508.2785 / 20.28",0
"508.2512 / 2.70  M-H-",0
"508.2474 / 11.48",0
"508.1548 / 4.26",0
"508.1334 / 16.25",0
"507.3404 / 21.76",0
"507.2538 / 12.86  MNa-2H-",0
"507.2327 / 23.00",0
"507.2054 / 20.86",0
"507.1821 / 19.94",0
"507.1714 / 7.80",0
"507.1471 / 19.62  MNa-2H-",0
"507.0431 / 1.12",0
"506.2620 / 3.53  M-H-",0
"506.2604 / 13.49",0
"506.2420 / 14.35  M-2H2-",0
"506.2347 / 7.63  MNa-2H-",0
"506.2215 / 4.82  MNa-2H-",0
"505.2321 / 16.67",0
"505.2290 / 18.18",0
"505.2270 / 19.56  MNa-2H-",0
"505.2263 / 11.72  2MNa-2H-",0
"505.1971 / 13.27",0
"505.1957 / 15.74",0
"504.9351 / 30.55",0
"504.9343 / 0.99",0
"504.9341 / 9.25",0
"504.9341 / 6.75",0
"504.9340 / 29.87",0
"504.9340 / 0.32",0
"504.9338 / 31.96",0
"504.9337 / 31.37",0
"504.9329 / 10.38",0
"504.9319 / 8.51",0
"504.2839 / 17.12",0
"504.2466 / 9.59",0
"504.2060 / 12.92  MNa-2H-",0
"503.3302 / 23.03",0
"503.1847 / 22.62",0
"502.6314 / 1.47",0
"502.2646 / 17.51  M-H2O-H-",0
"502.2494 / 9.35",0
"502.2469 / 23.89",0
"502.0277 / 1.08",0
"501.2664 / 9.02",0
"501.2574 / 18.63  M-2H2-",0
"501.2551 / 12.44",0
"501.2422 / 23.92",0
"501.2305 / 7.93  M-H-",0
"501.2154 / 17.92",0
"501.1996 / 18.31",0
"501.0278 / 1.07",0
"500.7569 / 10.54",0
"500.3206 / 8.16",0
"500.3082 / 13.17  M-H-",0
"500.2762 / 23.03",0
"500.2717 / 8.30  M-H-",0
"500.2713 / 10.39  MFA-H-",0
"500.2702 / 12.10",0
"500.2349 / 8.31",0
"499.3395 / 17.72",0
"499.3232 / 6.18",0
"499.2876 / 9.57",0
"499.2505 / 5.61",0
"499.2384 / 20.08  MFA-H-",0
"499.2278 / 22.68",0
"499.2251 / 23.61",0
"499.2033 / 14.72",0
"499.1540 / 21.38",0
"499.1509 / 22.44",0
"499.0426 / 5.65",0
"498.3392 / 9.91",0
"498.2573 / 15.72",0
"498.2556 / 7.80",0
"498.2552 / 8.38",0
"498.0543 / 15.99",0
"497.7058 / 11.10",0
"497.2731 / 18.71",0
"497.2362 / 3.86",0
"497.2356 / 16.88",0
"497.2005 / 19.95  MNa-2H-",0
"496.7629 / 17.86  M-2H2-",0
"496.2867 / 14.34  M-H-",0
"496.2608 / 8.54",0
"496.2154 / 14.27",0
"496.2046 / 16.09  M-2H2-",0
"496.1019 / 11.35",0
"495.7241 / 21.47",0
"495.2573 / 8.51  MNa-2H-",0
"495.2271 / 23.90",0
"495.2038 / 8.39",0
"495.1810 / 3.14",0
"494.6961 / 9.69",0
"494.2704 / 3.92",0
"494.2608 / 19.58",0
"494.2249 / 16.18",0
"494.2245 / 9.76",0
"494.2075 / 12.96",0
"493.2651 / 16.50",0
"493.2395 / 21.94  M-H-",0
"493.2306 / 12.11  M-H-",0
"493.2289 / 12.88",0
"493.2282 / 16.12",0
"493.2277 / 14.18",0
"493.2052 / 3.20  2MNa-2H-",0
"493.2051 / 20.23  MNa-2H-",0
"493.1291 / 13.53",0
"492.7470 / 21.15",0
"492.2828 / 5.43",0
"492.2634 / 18.48",0
"492.2464 / 10.73",0
"492.2446 / 14.41",0
"492.2306 / 2.41",0
"491.2503 / 15.86  M-H-",0
"491.2498 / 17.55  M-H-",0
"491.2384 / 23.65",0
"491.2354 / 9.47",0
"490.7828 / 18.98  M-H-",0
"490.2759 / 10.39",0
"490.2682 / 4.24",0
"490.2330 / 9.44",0
"490.1937 / 10.46  M-H-",0
"489.7386 / 15.89  M-2H2-",0
"489.3064 / 19.67",0
"489.3060 / 20.37",0
"489.2936 / 19.20  M-2H2-",0
"489.2292 / 5.07",0
"489.2136 / 5.48",0
"489.2006 / 18.82  M-H-",0
"489.1957 / 9.56",0
"488.6900 / 19.37",0
"488.2504 / 15.10",0
"488.2454 / 3.47",0
"488.2360 / 11.07  M-H-",0
"488.1991 / 2.70",0
"488.1982 / 8.81",0
"487.2658 / 5.13  M-",0
"487.2502 / 5.14",0
"487.2387 / 9.79",0
"487.2382 / 13.97",0
"487.2292 / 23.72",0
"487.1289 / 2.60  2M-H-",0
"487.1228 / 22.11",0
"487.0457 / 1.04",0
"486.7155 / 11.10  M-2H2-",0
"486.3033 / 3.83",0
"486.2916 / 11.65",0
"486.2911 / 13.96",0
"486.2867 / 22.16",0
"486.2580 / 9.77",0
"486.2558 / 5.04  M-H-",0
"486.2555 / 16.12",0
"486.2548 / 11.18",0
"486.2188 / 12.08",0
"485.3090 / 6.36",0
"485.2833 / 21.90",0
"485.2716 / 11.23",0
"485.2373 / 12.08  M-H-",0
"485.2228 / 18.82",0
"485.2006 / 10.24",0
"485.1653 / 19.62  M-H-",0
"485.1347 / 22.05  MNa-2H-",0
"485.0484 / 1.09",0
"484.7337 / 21.47  M-2H2-",0
"484.3495 / 11.02",0
"484.3125 / 19.01",0
"484.2767 / 9.54",0
"484.2765 / 19.65",0
"484.2504 / 8.04  M-H-",0
"484.2403 / 4.82  M-H-",0
"484.2018 / 10.92",0
"483.6793 / 16.82",0
"483.2571 / 14.82  M-2H2-",0
"483.2458 / 19.56  M-H-",0
"483.2336 / 22.97",0
"483.1712 / 9.21",0
"483.1457 / 17.70",0
"483.0144 / 7.40  2MNa-2H-",0
"482.9935 / 1.01",0
"482.2986 / 13.34  M-H2O-H-",0
"482.2604 / 9.32",0
"482.2604 / 18.88",0
"482.2236 / 12.92  M-H-",0
"481.3000 / 3.40  2MNa-2H-",0
"481.2622 / 13.87",0
"481.2437 / 20.96  M-H-",0
"481.2234 / 12.47",0
"481.2125 / 19.61  M-H-",0
"481.1961 / 12.47  MNa-2H-",0
"481.0758 / 17.79",0
"480.7199 / 19.39  M-2H2-",0
"480.7131 / 8.73",0
"479.2495 / 12.55",0
"479.2484 / 18.70",0
"479.2276 / 21.21  M-H-",0
"479.2137 / 11.63  3M-H-",0
"479.2068 / 13.07",0
"479.2033 / 16.47  M-H-",0
"479.1590 / 15.19",0
"479.1507 / 19.39",0
"478.2301 / 11.07",0
"478.2287 / 8.37  MNa-2H-",0
"478.1939 / 6.39",0
"478.1313 / 5.78",0
"477.6866 / 15.70  M-H-",0
"477.2339 / 13.53  MAcO-H-",0
"477.2334 / 11.57",0
"477.2157 / 5.64",0
"476.2318 / 10.81",0
"476.2153 / 11.17",0
"476.2141 / 5.73",0
"475.2540 / 14.92",0
"475.2293 / 21.57  M-H2O-H-",0
"475.2285 / 22.76  MTFA-H-",0
"475.2240 / 11.80  M-2H2-",0
"475.2215 / 11.15",0
"475.2189 / 19.95  M-H-",0
"475.2157 / 13.13  MNa-2H-",0
"475.1741 / 24.23",0
"474.7460 / 7.96  M-2H2-",0
"474.7274 / 17.55",0
"474.2557 / 4.91  MAcO-H-",0
"474.2223 / 21.88",0
"474.2198 / 4.24",0
"474.0127 / 14.98  MNa-2H-",0
"473.9902 / 21.59",0
"473.9791 / 1.04",0
"473.2877 / 23.24",0
"473.2737 / 8.31  M-H-",0
"473.2344 / 3.82",0
"473.2257 / 8.42  MFA-H-",0
"473.2131 / 23.50",0
"473.2027 / 16.91",0
"473.1991 / 12.29",0
"473.1350 / 5.87",0
"473.0986 / 10.64",0
"473.0663 / 13.76",0
"472.6919 / 18.12",0
"472.2878 / 1.03",0
"472.2764 / 14.44",0
"472.2759 / 12.75",0
"472.2758 / 13.83  M-H-",0
"472.2600 / 3.59",0
"472.2402 / 9.88",0
"472.2044 / 12.96",0
"472.2040 / 9.09",0
"472.1667 / 4.10",0
"472.1579 / 11.41",0
"471.9934 / 21.56",0
"471.2821 / 19.50",0
"471.2231 / 20.23  M-H-",0
"471.1869 / 10.35",0
"471.1193 / 21.53",0
"470.2972 / 16.82",0
"470.2713 / 2.51",0
"470.2707 / 1.94",0
"470.2608 / 19.07",0
"470.2239 / 12.53",0
"470.1875 / 11.02",0
"470.1873 / 11.59",0
"470.0315 / 24.18",0
"470.0313 / 25.35",0
"470.0311 / 1.32",0
"470.0309 / 22.39",0
"469.9471 / 22.86  MNa-2H-",0
"469.2405 / 7.08",0
"469.2399 / 6.34",0
"469.2283 / 19.45",0
"469.2283 / 17.77",0
"469.2268 / 6.18",0
"469.1938 / 2.69",0
"469.1905 / 4.62  MNa-2H-",0
"469.1038 / 20.75",0
"469.0314 / 22.22  3M2Na-3H-",0
"469.0314 / 16.04  3M2Na-3H-",0
"469.0312 / 23.83  M-H-",0
"469.0311 / 25.88  3M2Na-3H-",0
"469.0307 / 17.43  3M2Na-3H-",0
"469.0307 / 11.01  2MNa-2H-",0
"469.0304 / 19.32  2MNa-2H-",0
"469.0304 / 14.47",0
"469.0303 / 26.76  3M2Na-3H-",0
"469.0303 / 18.60",0
"469.0302 / 16.80",0
"469.0301 / 25.23",0
"469.0300 / 20.28",0
"469.0295 / 1.33  M-H-",0
"469.0294 / 27.33  2MNa-2H-",0
"469.0290 / 23.18",0
"469.0288 / 30.73",0
"469.0288 / 12.85",0
"469.0287 / 9.97",0
"469.0286 / 7.32  3M2Na-3H-",0
"469.0286 / 15.07  3M2Na-3H-",0
"469.0286 / 13.36",0
"469.0283 / 11.92",0
"469.0282 / 8.27",0
"469.0279 / 29.21",0
"469.0275 / 10.51",0
"469.0274 / 31.41  3M2Na-3H-",0
"469.0267 / 30.17",0
"468.7181 / 17.80",0
"468.3176 / 5.48",0
"468.3171 / 7.58",0
"468.2812 / 10.20",0
"467.2602 / 3.20",0
"467.2375 / 23.65  M-H-",0
"467.1954 / 15.74",0
"467.1918 / 23.50  MTFA-H-",0
"467.1904 / 21.18",0
"467.1795 / 8.98",0
"467.1537 / 13.43  MNa-2H-",0
"467.1264 / 20.43",0
"466.2282 / 15.33",0
"465.2345 / 14.85",0
"465.2317 / 14.03  MNa-2H-",0
"465.2310 / 12.55",0
"465.2248 / 20.46  M-H-",0
"464.3151 / 23.61",0
"464.3023 / 22.48",0
"464.1883 / 5.87",0
"464.1533 / 11.22  MNa-2H-",0
"464.1023 / 9.84",0
"464.0716 / 20.87",0
"463.9959 / 9.00",0
"463.2743 / 2.42  2M-H-",0
"463.2550 / 17.20",0
"463.2548 / 14.34",0
"463.2196 / 16.03",0
"463.2083 / 23.23",0
"463.1864 / 9.44",0
"463.1705 / 22.26  M-H-",0
"463.1546 / 21.65  M-H-",0
"463.1478 / 3.22",0
"463.1065 / 13.38",0
"463.0146 / 22.91",0
"463.0140 / 13.06",0
"463.0136 / 15.01",0
"463.0136 / 13.63",0
"463.0136 / 11.61",0
"463.0134 / 27.99",0
"463.0132 / 20.14",0
"463.0131 / 24.20",0
"463.0129 / 9.81",0
"463.0129 / 30.21",0
"463.0129 / 12.17",0
"463.0128 / 16.98",0
"463.0127 / 29.14",0
"463.0127 / 21.98",0
"463.0125 / 19.62",0
"463.0123 / 20.69",0
"463.0123 / 15.91",0
"463.0121 / 9.29",0
"463.0120 / 30.77",0
"463.0115 / 31.39",0
"463.0114 / 17.93",0
"463.0111 / 10.50",0
"463.0110 / 7.30",0
"463.0110 / 1.19",0
"463.0103 / 18.53",0
"463.0087 / 8.69",0
"462.2346 / 10.86",0
"462.2188 / 2.26  MAcO-H-",0
"462.2016 / 7.37",0
"461.7012 / 18.12  M-2H2-",0
"461.2479 / 23.19",0
"461.2412 / 16.60",0
"461.2410 / 15.80",0
"461.2383 / 12.02",0
"461.2371 / 20.17  MNa-2H-",0
"461.2236 / 5.86  MFA-H-",0
"461.1985 / 16.60  M-2H2-",0
"461.1661 / 14.81",0
"461.1586 / 22.95",0
"461.1416 / 20.07  MNa-2H-",0
"460.9986 / 1.05",0
"460.6861 / 14.98",0
"460.2047 / 12.85",0
"460.0815 / 9.71",0
"459.2363 / 12.44",0
"459.2352 / 21.98  MNa-2H-",0
"459.2173 / 19.45  M-H-",0
"459.2150 / 12.42  M-H-",0
"459.1929 / 23.30",0
"459.1864 / 18.32",0
"459.1491 / 18.04",0
"458.2601 / 12.69",0
"458.2246 / 15.49",0
"458.2240 / 7.91",0
"458.2237 / 9.88",0
"458.0592 / 2.10",0
"457.9965 / 22.29",0
"457.9400 / 2.09  MNa-2H-",0
"457.7273 / 17.83  M-2H2-",0
"457.6912 / 14.08  M-2H2-",0
"457.5849 / 12.00",0
"457.2773 / 11.89",0
"457.2771 / 12.44",0
"457.2194 / 21.95  MNa-2H-",0
"457.2029 / 5.30",0
"457.1822 / 21.63",0
"456.9965 / 28.05",0
"456.9956 / 1.13  2MNa-2H-",0
"456.2928 / 7.19",0
"456.2928 / 5.61",0
"456.2451 / 8.27  M-H-",0
"456.2450 / 5.96",0
"456.1424 / 12.99  MNa-2H-",0
"455.9987 / 22.29",0
"455.2498 / 18.03",0
"455.2495 / 11.34",0
"455.2246 / 12.92",0
"455.1885 / 20.96  MNa-2H-",0
"455.1763 / 8.61",0
"455.1743 / 3.70  MNa-2H-",0
"455.0872 / 19.75",0
"454.2662 / 15.89",0
"454.2661 / 8.58",0
"454.2654 / 13.71  M-H2O-H-",0
"454.2651 / 9.92  M-H-",0
"454.2498 / 8.24",0
"454.2289 / 16.72",0
"454.2073 / 16.47",0
"454.1626 / 15.64",0
"454.1358 / 15.82",0
"453.2925 / 21.14",0
"453.2469 / 21.57  2MK-2H-",0
"453.2346 / 20.17  M-H-",0
"453.2314 / 13.14  M-H-",0
"453.1977 / 5.17  MAcO-H-",0
"452.2267 / 5.88",0
"452.1335 / 13.17",0
"452.1190 / 13.22",0
"452.1165 / 9.90",0
"452.0308 / 14.98  M-H-",0
"451.7223 / 17.61",0
"451.3317 / 20.37  M-H-",0
"451.3056 / 23.24  MAcO-H-",0
"451.2311 / 21.38",0
"451.2183 / 9.63",0
"451.1949 / 10.42",0
"451.1829 / 3.68",0
"451.1827 / 6.87",0
"451.1820 / 8.87",0
"451.1800 / 6.28",0
"449.2530 / 23.20  MFA-H-",0
"449.2364 / 12.45  MNa-2H-",0
"449.2060 / 6.49",0
"449.2035 / 14.11  MFA-H-",0
"449.2031 / 10.59  MFA-H-",0
"449.2026 / 11.23",0
"449.2018 / 19.81",0
"449.0419 / 19.74",0
"449.0399 / 17.48",0
"449.0398 / 14.65",0
"449.0342 / 1.15  M-H-",0
"448.3057 / 22.89",0
"448.3052 / 22.29",0
"448.2715 / 24.29",0
"448.1996 / 10.13",0
"448.1824 / 6.95  MCl-",0
"448.1692 / 5.39",0
"448.1663 / 9.28",0
"448.0389 / 1.18",0
"447.9653 / 22.89  M-H-",0
"447.2740 / 23.20",0
"447.2705 / 24.30",0
"447.2612 / 18.30",0
"447.2589 / 17.64",0
"447.2242 / 12.64",0
"447.2223 / 11.12",0
"447.2210 / 20.11  MNa-2H-",0
"447.2085 / 4.59  M-H-",0
"447.2051 / 17.86",0
"447.1920 / 7.32",0
"447.1835 / 15.17  MNa-2H-",0
"447.1337 / 27.65",0
"447.1259 / 19.24",0
"447.0354 / 18.92",0
"447.0348 / 24.20",0
"447.0348 / 1.15  M-H-",0
"447.0347 / 27.74",0
"447.0342 / 26.99",0
"447.0341 / 25.10",0
"447.0341 / 22.95",0
"447.0338 / 23.55",0
"447.0335 / 20.77",0
"447.0330 / 26.37",0
"447.0321 / 21.93",0
"446.9551 / 1.31",0
"446.7100 / 20.52  M-H-",0
"446.6868 / 15.07",0
"446.2071 / 6.49",0
"446.1893 / 21.09  M-2H2-",0
"446.1882 / 1.81",0
"446.1350 / 9.92  MNa-2H-",0
"445.7007 / 17.55  M-2H2-",0
"445.2286 / 12.80",0
"445.2282 / 14.91",0
"445.1991 / 22.11",0
"445.1855 / 21.35",0
"445.1823 / 23.06",0
"445.1722 / 13.43  M-H-",0
"445.0917 / 4.23",0
"444.6711 / 1.44",0
"444.2475 / 12.63",0
"444.2450 / 9.09",0
"444.2449 / 9.71",0
"444.2446 / 10.59",0
"444.2444 / 6.59  M-H-",0
"444.2435 / 4.69",0
"444.2083 / 4.82",0
"444.2083 / 2.60",0
"444.1360 / 5.70",0
"443.2861 / 15.64",0
"443.2499 / 12.50  MFA-H-",0
"443.2497 / 14.03  M-H-",0
"443.2379 / 23.70",0
"443.2011 / 22.59",0
"443.1967 / 22.08",0
"443.1760 / 11.78",0
"443.1405 / 2.65",0
"443.0390 / 1.08",0
"442.7278 / 19.04",0
"442.2774 / 3.29",0
"442.2675 / 9.83",0
"442.2299 / 15.30",0
"442.2076 / 14.52  M-",0
"442.1711 / 11.22  M-H-",0
"442.1273 / 9.51  MNa-2H-",0
"442.1208 / 11.46  MNa-2H-",0
"441.2709 / 15.49",0
"441.2515 / 24.31",0
"441.2463 / 17.20  M-2H2-",0
"441.2334 / 19.76",0
"441.2245 / 22.71  MCl-",0
"441.1960 / 17.67  M-H-",0
"441.1488 / 22.51",0
"441.0160 / 1.11  2MK-2H-",0
"440.6935 / 10.36",0
"440.2156 / 12.94",0
"440.1682 / 8.86",0
"440.1460 / 19.04  MNa-2H-",0
"439.7404 / 15.04",0
"439.2551 / 20.17  M-H-",0
"439.2176 / 6.73",0
"439.2174 / 17.74",0
"439.2166 / 16.54",0
"439.1829 / 3.21",0
"439.1827 / 4.25",0
"439.1614 / 23.05",0
"439.1598 / 20.07  M-H-",0
"439.1598 / 18.63",0
"439.0918 / 8.86",0
"438.2982 / 23.55",0
"438.2097 / 1.56",0
"437.2514 / 22.05  M-H-",0
"437.2083 / 10.13  M-2H2-",0
"437.2021 / 9.36  MNa-2H-",0
"437.1455 / 3.04",0
"436.1705 / 2.67",0
"436.0921 / 6.27",0
"435.9670 / 16.20",0
"435.9670 / 13.09",0
"435.9669 / 11.83",0
"435.9668 / 6.07",0
"435.9664 / 15.12",0
"435.9663 / 30.71",0
"435.9662 / 29.54",0
"435.9661 / 13.65",0
"435.9661 / 10.13",0
"435.9660 / 17.16",0
"435.9660 / 14.17",0
"435.9658 / 18.77",0
"435.9658 / 12.34",0
"435.9657 / 9.54",0
"435.9655 / 1.12",0
"435.9652 / 8.68",0
"435.9643 / 31.58",0
"435.9637 / 7.68  MBr-",0
"435.9636 / 0.39",0
"435.9624 / 19.64",0
"435.9582 / 2.09  M-H-",0
"435.6989 / 21.11",0
"435.6966 / 15.07  M-2H2-",0
"435.2352 / 21.89  M-H-",0
"435.2232 / 9.19",0
"435.2230 / 13.71",0
"435.2229 / 11.37  M-",0
"435.2228 / 14.59",0
"435.1868 / 13.02  MNa-2H-",0
"435.1816 / 10.96",0
"434.2163 / 10.98  M-H-",0
"434.1729 / 20.36",0
"434.0796 / 5.36",0
"433.7171 / 18.63  M-2H2-",0
"433.2349 / 22.10  M-H-",0
"433.2193 / 21.41",0
"433.2074 / 20.96  M-H-",0
"433.1928 / 3.67  M-H-",0
"433.1474 / 22.11",0
"433.1086 / 19.54  MNa-2H-",0
"433.1079 / 13.56  MNa-2H-",0
"432.1871 / 14.53",0
"432.1795 / 18.63",0
"432.1529 / 14.81",0
"432.1476 / 11.79",0
"431.9404 / 29.59",0
"431.9400 / 30.64",0
"431.9395 / 9.66",0
"431.9393 / 11.22",0
"431.9392 / 12.18",0
"431.9372 / 31.70",0
"431.7065 / 7.38  M-H-",0
"431.2127 / 5.30",0
"431.2023 / 10.00",0
"431.1905 / 16.57  MNa-2H-",0
"431.1655 / 22.78",0
"430.9955 / 1.64",0
"430.2283 / 6.63",0
"430.1567 / 11.49  MNa-2H-",0
"430.1447 / 8.89",0
"430.0735 / 5.65",0
"429.7029 / 10.32  M-2H2-",0
"429.3003 / 23.58",0
"429.2336 / 11.03",0
"429.2162 / 12.66",0
"429.1974 / 9.14",0
"429.1746 / 9.59  MNa-2H-",0
"429.1616 / 8.16",0
"429.1255 / 4.94",0
"429.1198 / 19.97",0
"428.6883 / 13.87  M-H-",0
"428.2505 / 9.03",0
"428.2503 / 8.08",0
"428.2498 / 6.74",0
"428.2124 / 5.71",0
"428.1816 / 11.63",0
"428.1790 / 3.66  M-H-",0
"428.1652 / 21.74  M-H-",0
"427.6874 / 14.60",0
"427.2550 / 15.30",0
"427.2544 / 12.52  M-H-",0
"427.2190 / 7.93  M-H-",0
"427.1584 / 19.81  MNa-2H-",0
"427.1112 / 10.60",0
"427.0103 / 1.88  MNa-2H-",0
"426.9657 / 26.31",0
"426.6906 / 15.20",0
"426.2339 / 6.57  M-H2O-H-",0
"426.2056 / 15.17",0
"426.1605 / 18.31  MNa-2H-",0
"426.1327 / 8.96",0
"426.1096 / 20.80",0
"426.1024 / 12.04",0
"425.2388 / 20.11  M-H-",0
"425.2304 / 23.00",0
"425.2027 / 15.20  M-H-",0
"425.1446 / 19.21",0
"425.0929 / 3.86",0
"425.0045 / 2.09",0
"424.1534 / 9.88  M-H-",0
"424.1286 / 8.86",0
"423.2337 / 3.47",0
"423.1845 / 8.05  MNa-2H-",0
"423.1703 / 12.20",0
"422.9325 / 6.62",0
"422.9319 / 5.19",0
"422.9318 / 31.56",0
"422.9317 / 8.66",0
"422.9317 / 30.75",0
"422.9317 / 11.54",0
"422.9316 / 7.78",0
"422.9316 / 29.20",0
"422.9314 / 0.83",0
"422.9313 / 4.52",0
"422.9313 / 0.31",0
"422.9312 / 12.04",0
"422.9311 / 3.87",0
"422.9307 / 10.82",0
"422.9296 / 7.26",0
"422.6702 / 12.27",0
"422.1988 / 6.83  MNa-2H-",0
"422.1922 / 10.71",0
"421.6714 / 12.24  M-2H2-",0
"421.2257 / 24.84",0
"421.2214 / 21.30",0
"421.2082 / 2.10",0
"421.2078 / 10.54",0
"421.2023 / 27.30",0
"421.1816 / 22.62",0
"420.2440 / 23.90",0
"420.1434 / 9.63  M-H-",0
"420.1394 / 11.49  M-H-",0
"419.2412 / 22.39  M-H2O-H-",0
"419.2385 / 23.92",0
"419.2066 / 21.40",0
"419.2001 / 8.48  MNa-2H-",0
"419.1779 / 2.65  MAcO-H-",0
"419.1552 / 10.46",0
"418.1639 / 19.04  M-H-",0
"417.3203 / 24.04",0
"417.2446 / 1.03  3MNa-2H-",0
"417.2343 / 8.12  M-H-",0
"417.2244 / 22.68",0
"417.2218 / 23.61",0
"417.2128 / 13.52  M-H-",0
"417.2038 / 11.03  M-H-",0
"417.1802 / 21.12",0
"417.1524 / 21.57",0
"417.1517 / 20.94",0
"417.1478 / 22.44",0
"416.7014 / 11.06",0
"416.3759 / 21.98",0
"416.2222 / 9.39",0
"416.2148 / 3.32",0
"416.1809 / 11.47  MNa-2H-",0
"416.1509 / 14.41",0
"416.1416 / 11.97",0
"416.1415 / 5.83  MNa-2H-",0
"416.1232 / 6.83",0
"416.1230 / 7.71",0
"416.0151 / 2.64",0
"415.9856 / 21.27",0
"415.7031 / 3.51",0
"415.2469 / 19.84",0
"415.2334 / 16.88",0
"415.2297 / 1.91",0
"415.2196 / 9.36  M-H-",0
"415.2190 / 6.23  M-H-",0
"415.2184 / 7.46",0
"415.1882 / 11.43",0
"415.1235 / 12.11",0
"415.0548 / 12.82",0
"414.2346 / 5.45",0
"414.2339 / 12.59",0
"414.2335 / 4.63  M-H-",0
"414.2136 / 14.27",0
"414.1985 / 9.35",0
"414.1649 / 12.37",0
"414.0988 / 11.35",0
"413.9891 / 2.46",0
"413.9878 / 21.27",0
"413.2756 / 16.75",0
"413.2389 / 9.52",0
"413.2216 / 23.92  MAcO-H-",0
"413.1962 / 22.27  M-H-",0
"413.1768 / 21.43",0
"412.6626 / 4.24",0
"412.2187 / 6.08",0
"412.2053 / 7.08  M-H-",0
"412.2052 / 9.25",0
"412.1833 / 12.99  MNa-2H-",0
"412.1821 / 8.48",0
"411.2234 / 17.89  M-H-",0
"411.2231 / 18.94",0
"411.2012 / 20.73",0
"411.1876 / 2.56",0
"411.1758 / 12.78  M-H-",0
"411.1281 / 19.64  M-H-",0
"411.1264 / 13.53  M-H-",0
"411.0176 / 1.80",0
"410.2263 / 11.09",0
"410.1745 / 10.62",0
"410.1743 / 11.79",0
"410.1555 / 3.63",0
"410.1324 / 15.06  MNa-2H-",0
"410.0981 / 10.19  MNa-2H-",0
"410.0663 / 17.39",0
"409.2348 / 23.65",0
"409.2221 / 20.93",0
"409.2076 / 16.57  M-H-",0
"409.2049 / 10.46  MNa-2H-",0
"409.1363 / 8.84",0
"409.1202 / 9.06  M-H-",0
