"","MeanDecreaseAccuracy"
"473.7540 / 13.50  M2H2",0.00066667
"418.2251 / 11.01  M3H3",0.00066667
"413.1919 / 12.81  MH",0.00066667
"383.1942 / 8.71  M2",0.00066667
"382.1625 / 4.87",0.00066667
"355.7016 / 3.57",0.00066667
"352.1475 / 11.73  MNa",0.00066667
"316.1365 / 2.09  MNa",0.00066667
"306.1465 / 5.16  MH",0.00066667
"275.2132 / 13.57  MH",0.00066667
"162.0550 / 7.64",0.00066667
"129.0185 / 1.65",0.00066667
"146.0604 / 8.03",0.00066154
"393.1415 / 12.98  M-H-",0.00065385
"249.0544 / 2.42",0.00064444
"150.0909 / 1.80",0.00062626
"814.3971 / 18.37",0.00061538
"690.9695 / 1.10  MBr-",0.00061538
"674.3147 / 16.85  M-H-",0.00061538
"457.1808 / 21.09",0.00061538
"404.1487 / 16.25  M-H-",0.00061538
"237.0913 / 2.36",0.00061538
"599.7682 / 10.37  M2H2",0.00061538
"513.7706 / 13.40",0.00061538
"488.2614 / 12.12  M2H2",0.00061538
"478.2296 / 11.16  MCH3OHH",0.00061538
"450.2561 / 19.06",0.00061538
"402.1975 / 9.28",0.00061538
"385.2531 / 2.11",0.00061538
"319.1087 / 8.81  MNa",0.00061538
"302.1203 / 1.62  MNa",0.00061538
"281.1737 / 22.62  MH",0.00061538
"121.0650 / 1.86",0.00061538
"639.3460 / 14.54  M-H2O-H-",0.00061111
"179.0573 / 1.53  MAcO-H-",6e-04
"792.3754 / 20.01  MNa-2H-",6e-04
"766.3401 / 19.97",6e-04
"623.3000 / 13.93  MNa-2H-",6e-04
"348.0697 / 5.77  MNa-2H-",6e-04
"224.0562 / 8.37",6e-04
"145.0631 / 2.11  M-H-",6e-04
"514.2635 / 10.70  M2",6e-04
"406.2327 / 19.03  MH",6e-04
"403.2193 / 8.09  M",6e-04
"359.2114 / 2.60",6e-04
"291.1812 / 21.01",6e-04
"267.1353 / 3.37  MH",6e-04
"187.1079 / 3.27",6e-04
"104.9927 / 21.06",6e-04
"510.2682 / 2.67  MCH3OHH",0.00058824
"441.1609 / 11.39",0.00057143
"203.0310 / 25.22",0.00057143
"551.7840 / 18.84",0.00057143
"519.2411 / 12.58  M3H3",0.00057143
"473.2970 / 16.49",0.00057143
"244.1299 / 4.07",0.00057143
"215.1397 / 2.41",0.00057143
"632.2053 / 1.59",0.00056667
"219.8548 / 1.79",0.00056364
"466.2244 / 8.07  M3H3",0.00055556
"729.3917 / 19.54",0.00055385
"725.4222 / 16.61",0.00054545
"545.2924 / 13.42",0.00054545
"383.1132 / 5.93",0.00054545
"371.2286 / 13.11  M-H-",0.00054545
"321.1110 / 12.25",0.00054545
"303.0808 / 1.44",0.00054545
"290.1136 / 4.35",0.00054545
"258.1454 / 1.88  M-H-",0.00054545
"241.1056 / 19.26",0.00054545
"232.0106 / 7.44",0.00054545
"217.1188 / 2.16",0.00054545
"174.9930 / 8.32",0.00054545
"142.0667 / 7.99",0.00054545
"135.0309 / 1.47  M-H-",0.00054545
"725.8846 / 19.65",0.00054545
"707.8760 / 19.59  M2H2",0.00054545
"644.3276 / 19.75  M2H2",0.00054545
"636.2868 / 18.95",0.00054545
"589.3189 / 12.20",0.00054545
"516.3026 / 13.00",0.00054545
"475.7619 / 17.43  M2H2",0.00054545
"467.1769 / 5.95",0.00054545
"403.2543 / 12.62",0.00054545
"399.7269 / 11.20",0.00054545
"373.2425 / 10.79",0.00054545
"245.1872 / 7.72  MH",0.00054545
"179.0706 / 4.86  MH",0.00054545
"174.9698 / 2.91",0.00054545
"438.7532 / 13.77  M2H2",0.00053333
"431.1771 / 12.13",0.00053333
"417.2060 / 13.12",0.00053333
"715.0388 / 13.93  3M2Na-3H-",0.0005303
"463.0116 / 7.80",0.00051748
"906.4708 / 20.20",5e-04
"748.3196 / 10.68  M-H-",5e-04
"608.2356 / 18.09",5e-04
"510.2169 / 11.07  MNa-2H-",5e-04
"360.1524 / 17.36  MNa-2H-",5e-04
"330.2029 / 10.68",5e-04
"328.1377 / 8.81",5e-04
"293.0509 / 1.53  2MNa-2H-",5e-04
"277.1219 / 2.71",5e-04
"89.9618 / 1.06",5e-04
"843.8828 / 18.46",5e-04
"802.3221 / 5.33",5e-04
"708.3647 / 20.20",5e-04
"602.2992 / 15.86",5e-04
"547.2714 / 17.47  MCH3OHH",5e-04
"484.2371 / 12.43  M2H2",5e-04
"452.1622 / 21.74",5e-04
"420.9707 / 1.17",5e-04
"365.2941 / 24.02",5e-04
"293.0754 / 5.58",5e-04
"268.1186 / 3.19  MCH3OHH",5e-04
"250.1079 / 3.59  MCH3OHH",5e-04
"215.1397 / 12.51",5e-04
"203.2232 / 1.00",5e-04
"547.0402 / 2.79  3M2Na-3H-",0.00048571
"126.0915 / 10.44  MH",0.00046667
"836.3761 / 10.80  MNa-2H-",0.00046154
"552.2658 / 13.14",0.00046154
"444.2447 / 8.27",0.00046154
"335.0501 / 2.83  2M-H-",0.00046154
"659.2999 / 18.69  M2H2",0.00046154
"506.2993 / 17.13",0.00046154
"479.7649 / 8.52  M2H2",0.00046154
"474.1827 / 4.12",0.00046154
"456.2090 / 11.28",0.00046154
"397.2247 / 11.63",0.00046154
"254.1025 / 19.06",0.00046154
"186.0560 / 3.61",0.00046154
"159.0920 / 4.25",0.00046154
"496.2400 / 9.80  MNa",0.00045055
