"","Overall"
"542.2242 / 19.95",23.221
"443.1940 / 5.69  M2H2",23.217
"443.2656 / 17.19  M2H2",23.216
"588.3149 / 17.60",23.216
"299.1257 / 11.87  M-H-",23.215
"563.8000 / 18.31  M2H2",23.214
"441.2712 / 20.18",23.202
"926.4970 / 14.58  MFA-H-",23.199
"449.5027 / 7.41",23.192
"580.2660 / 7.32  M2H2",23.187
"256.9649 / 22.88",23.186
"302.2074 / 5.06",23.182
"896.4697 / 19.20  M-H-",23.172
"323.0591 / 21.15",23.163
"479.2163 / 7.58",23.156
"459.2700 / 11.12  M2H2",23.155
"374.1551 / 3.74",23.155
"197.0808 / 19.63",23.154
"372.1776 / 13.68",23.154
"376.1834 / 19.61  MNa-2H-",23.152
"597.3298 / 9.26",23.152
"366.2013 / 13.13",23.148
"517.2410 / 7.49",23.148
"382.2223 / 2.12",23.145
"431.2127 / 5.30",23.141
"433.5526 / 16.71",23.138
"509.7711 / 17.87  MHNa2",23.134
"674.2866 / 18.76  MH",23.123
"469.1400 / 8.77  MAcO-H-",23.119
"375.1293 / 12.85  M-H2O-H-",23.116
"100.9249 / 10.17",23.107
"693.8644 / 19.93  M2H2",23.107
"375.2210 / 3.76",23.098
"506.2736 / 18.78  M4H4",23.097
"868.3903 / 19.31  M2H2",23.095
"510.5759 / 13.85  M3H3",23.087
"248.1494 / 1.80",23.084
"291.9889 / 30.54  MAcO-H-",23.083
"639.9383 / 18.05",23.077
"700.2925 / 3.46",23.075
"809.4409 / 19.07  M-H-",23.075
"482.2378 / 14.11",23.071
"448.1663 / 9.28",23.07
"382.1620 / 3.11  MCH3OHH",23.069
"281.1507 / 3.31  MCH3OHH",23.069
"674.7229 / 22.26  M3H3",23.066
"245.0496 / 17.45",23.064
"565.3229 / 15.46",23.061
"361.1347 / 26.29",23.061
"281.1135 / 2.38",23.058
"392.2184 / 13.12",23.057
"512.7523 / 15.15",23.055
"451.1308 / 22.13",23.043
"490.2668 / 15.08",23.042
"312.1486 / 12.95  M-",23.041
"377.2321 / 21.98  M-H2O-H-",23.038
"463.0127 / 21.98",23.037
"201.1236 / 6.04",23.033
"384.1834 / 4.79  M2H2",23.031
"538.2242 / 19.08  MHNa2",23.029
"578.2423 / 15.14",23.023
"409.2089 / 2.28",23.022
"573.8019 / 10.04",23.021
"153.0313 / 1.90",23.02
"196.0728 / 1.58",23.017
"325.1739 / 6.83",23.016
"816.4512 / 19.80",23.014
"533.2566 / 1.94",23.012
"225.9243 / 11.08",23.01
"134.0626 / 19.93",23.007
"280.1286 / 3.72",23
"206.9974 / 4.92  M-H-",22.996
"527.7661 / 17.68  M2H2",22.993
"373.1723 / 9.41  M-H-",22.991
"344.2183 / 11.11",22.983
"229.1185 / 9.35",22.982
"240.9979 / 1.82  MNa",22.974
"430.2964 / 22.49",22.973
"578.7981 / 11.74  M2H2",22.972
"557.3415 / 8.75",22.968
"316.1294 / 6.10",22.96
"449.0399 / 16.11",22.954
"493.2362 / 7.09",22.954
"283.1302 / 2.38  MNH4",22.953
"283.0682 / 5.30",22.951
"388.2272 / 8.10",22.942
"374.2299 / 11.81  MH",22.939
"401.2882 / 4.93",22.935
"518.2811 / 11.71",22.929
"379.0866 / 14.05  MNa-2H-",22.927
"420.1394 / 11.49  M-H-",22.912
"709.0215 / 1.29",22.912
"559.3088 / 10.86",22.91
"683.3583 / 16.50  M3H3",22.905
"553.2998 / 20.02",22.899
"796.3405 / 20.11  MNa",22.899
"507.1821 / 19.94",22.893
"664.2593 / 8.28",22.888
"877.4415 / 10.13  MH",22.886
"685.3089 / 13.62  M2H2",22.884
"189.9574 / 13.36",22.882
"456.2928 / 7.19",22.882
"472.2740 / 7.69",22.87
"119.0488 / 6.66",22.864
"91.0535 / 5.59",22.862
"633.0367 / 16.80",22.861
"561.2427 / 15.67",22.861
"324.2042 / 7.93",22.86
"745.3413 / 19.63  MCH3OHH",22.86
"358.1972 / 13.04  M-H-",22.855
"332.2425 / 19.30",22.854
"451.2662 / 7.98",22.852
"469.0302 / 16.80",22.85
"392.1423 / 13.70  MNa-2H-",22.849
"564.3198 / 16.36",22.847
"179.0573 / 1.53  MAcO-H-",22.845
"385.1989 / 9.84",22.845
"366.2138 / 3.17",22.836
"235.0385 / 2.09",22.834
"405.1528 / 16.23",22.832
"343.7335 / 2.48",22.83
"415.2537 / 10.42",22.828
"493.2669 / 15.84",22.826
"326.1717 / 14.05",22.817
"462.9890 / 10.50  M4H4",22.816
"246.1876 / 5.71",22.812
"505.2263 / 11.72  2MNa-2H-",22.805
"130.0667 / 14.83",22.802
"203.0533 / 1.46",22.799
"517.2612 / 3.39",22.796
"318.1826 / 11.87",22.79
"330.2029 / 7.08",22.788
"498.6163 / 21.78  M2HNa3",22.786
"116.9861 / 8.13",22.778
"696.3037 / 12.75",22.775
"241.0824 / 6.64",22.764
"537.7953 / 14.89  M2H2",22.76
"323.1831 / 8.65",22.757
"375.1880 / 1.97",22.755
"505.1971 / 13.27",22.755
"825.3967 / 14.37",22.75
"715.0382 / 15.04  3M2Na-3H-",22.747
"373.2456 / 13.11  MH",22.746
"389.1665 / 3.67",22.737
"569.7558 / 19.86  M-2H2-",22.736
"590.3114 / 17.56  M2H2",22.729
"700.3288 / 16.76  MNa-2H-",22.729
"563.2441 / 21.14",22.722
"362.1500 / 13.85",22.716
"272.9379 / 0.28",22.716
"189.9567 / 6.30  M-H-",22.713
"379.7229 / 10.83",22.71
"524.9606 / 1.28  MCH3OHH",22.698
"84.0808 / 1.00",22.696
"121.0991 / 10.71",22.689
"81.0701 / 16.04",22.686
"502.2336 / 19.04",22.685
"842.4780 / 20.07",22.681
"538.2874 / 5.33",22.675
"320.1613 / 9.70  M-H-",22.674
"354.1995 / 7.07  MNa",22.673
"152.0690 / 2.38",22.673
"624.6632 / 19.89  M3H3",22.664
"380.1451 / 3.14",22.662
"524.1299 / 9.67",22.659
"518.1886 / 14.33  M-H-",22.658
"361.1497 / 19.07",22.647
"344.9826 / 6.33",22.644
"505.2270 / 19.56  MNa-2H-",22.639
"443.1884 / 12.81",22.636
"526.2309 / 12.53  MHK2",22.627
"100.9260 / 30.31",22.627
"454.2638 / 18.65",22.627
"520.2039 / 14.31",22.627
"478.2393 / 16.49",22.627
"913.5134 / 20.11",22.624
"502.3261 / 13.17",22.621
"506.2347 / 7.63  MNa-2H-",22.62
"374.1751 / 3.17",22.619
"345.2427 / 23.15",22.618
"501.2563 / 13.70  M3H3",22.616
"374.9923 / 29.20",22.614
"123.0437 / 6.69",22.612
"316.1761 / 7.76",22.612
"519.5307 / 15.55  M4H4",22.61
"185.1290 / 10.40  MH",22.602
"551.2107 / 10.59  2MNa",22.595
"455.2131 / 5.15  MNa",22.594
"135.0028 / 1.76",22.588
"777.9254 / 21.78",22.583
"442.2774 / 3.29",22.58
"272.1241 / 8.02  MH",22.575
"574.2845 / 8.89",22.561
"304.2125 / 12.70",22.561
"454.2661 / 8.58",22.561
"527.2201 / 11.68",22.558
"501.2305 / 7.93  M-H-",22.553
"567.6043 / 18.82  M3H3",22.552
"463.1864 / 9.44",22.551
"180.0674 / 8.37",22.545
"469.0283 / 11.92",22.544
"198.0437 / 5.02",22.542
"403.2307 / 10.70",22.537
"291.9889 / 11.59",22.536
"103.9201 / 8.50",22.535
"778.3688 / 16.93",22.534
"426.9873 / 1.20",22.534
"368.1788 / 9.31  MNa",22.532
"85.0290 / 2.13",22.531
"371.2303 / 9.71",22.531
"557.2157 / 1.06",22.519
"318.2026 / 6.69",22.511
"360.2388 / 12.73",22.51
"437.1455 / 3.04",22.509
"203.0014 / 7.59",22.505
"876.3739 / 15.20  MNa-2H-",22.504
"794.3197 / 20.14  MNa-2H-",22.504
"105.0701 / 3.48",22.502
"714.2741 / 13.26  M-2H2-",22.499
"364.1508 / 4.24",22.479
"277.1191 / 4.96",22.477
"658.3555 / 19.48",22.476
"550.7730 / 19.34",22.472
"417.2350 / 9.33  MH",22.468
"435.9668 / 6.07",22.467
"103.9202 / 29.17",22.466
"299.2199 / 7.21",22.465
"331.1621 / 2.09",22.461
"757.2987 / 18.94",22.456
"585.8335 / 13.53  M2H2",22.455
"387.1334 / 9.03",22.45
"602.1233 / 12.93",22.446
"371.2283 / 10.78",22.439
"267.0936 / 3.04",22.428
"541.2136 / 14.23",22.427
"494.2579 / 12.69",22.426
"394.2154 / 7.29  M2H2",22.423
"472.7789 / 13.07",22.423
"469.1905 / 4.62  MNa-2H-",22.422
"818.4189 / 18.69",22.421
"792.3754 / 20.01  MNa-2H-",22.417
"310.2019 / 18.49  MH",22.415
"203.1402 / 2.35  MNH4",22.409
"564.6820 / 22.04  M3H3",22.402
"718.3402 / 14.68  MNa-2H-",22.399
"567.2889 / 17.37  M3H3",22.396
"396.8684 / 3.50",22.395
"484.7337 / 21.47  M-2H2-",22.392
"550.2987 / 7.89",22.391
"250.0382 / 7.32",22.388
"433.2074 / 16.66  2MH",22.388
"463.0103 / 18.53",22.384
"282.0521 / 13.77",22.376
"362.1561 / 3.55",22.376
"570.3233 / 1.81",22.375
"201.0251 / 15.65",22.373
"469.0304 / 14.47",22.366
"422.9324 / 6.09",22.363
"738.3438 / 19.63",22.358
"265.1212 / 1.85",22.356
"362.0095 / 9.03  M-H-",22.349
"608.2958 / 16.04  MHK2",22.349
"403.7072 / 9.55  MH",22.345
"264.1067 / 10.56",22.344
"400.7356 / 13.16",22.341
"291.0425 / 5.42",22.34
"608.7103 / 22.16  M3H3",22.338
"332.1814 / 3.67  M-H-",22.334
"390.2157 / 3.49",22.332
"601.2746 / 3.80",22.328
"409.2076 / 16.57  M-H-",22.326
"328.1507 / 9.52  M-H-",22.323
"541.2917 / 18.49  M2H2",22.32
"736.8780 / 11.33",22.318
"587.3426 / 9.29",22.316
"627.0184 / 12.70",22.314
"387.2238 / 10.46  M-H-",22.311
"352.6958 / 6.58  M2H2",22.309
"627.0204 / 18.00",22.307
"505.6034 / 15.86  M3H3",22.306
"242.1511 / 2.38",22.305
"435.2417 / 9.00  M2H2",22.297
"104.9927 / 21.06",22.296
"433.2272 / 12.00  M2H2",22.296
"397.0993 / 9.46  M-H-",22.295
"405.1978 / 5.29",22.28
"142.0670 / 4.22",22.28
"530.3286 / 8.23",22.273
"358.2203 / 7.43  M3H3",22.272
"115.9199 / 31.57  M-H-",22.267
"463.0132 / 20.14",22.264
"575.2931 / 8.09",22.263
"315.1643 / 2.76",22.26
"252.1062 / 2.86",22.259
"229.1554 / 2.96  MCH3OHH",22.258
"543.3154 / 9.58",22.251
"417.2443 / 1.93",22.247
"287.0456 / 5.80",22.243
"410.2267 / 13.43",22.243
"854.8945 / 14.95",22.242
"365.6913 / 7.07",22.241
"298.0833 / 9.69",22.239
"114.9453 / 29.67",22.239
"281.0759 / 20.50  MNa",22.237
"394.1602 / 5.86  M-H-",22.229
"223.0203 / 13.77  M-H-",22.228
"369.1878 / 1.83",22.226
"660.2978 / 18.60",22.223
"374.1554 / 4.47",22.219
"503.2469 / 7.91",22.215
"488.2614 / 12.12  M2H2",22.211
"201.1239 / 13.65",22.21
"380.1824 / 16.43  MNa",22.206
"593.2927 / 15.27",22.198
"594.8227 / 19.53  MHNa2",22.194
"188.9868 / 3.33",22.191
"189.9759 / 15.46",22.188
"357.2449 / 5.33",22.184
"456.2567 / 13.16",22.184
"334.0494 / 16.06",22.175
"433.1928 / 3.67  M-H-",22.169
"435.2093 / 3.68  MH",22.162
"149.0612 / 18.93",22.161
"429.2336 / 11.03",22.158
"174.9683 / 12.39",22.149
"355.1988 / 2.51",22.142
"601.0911 / 1.26",22.141
"356.6859 / 3.96  M2H2",22.14
"497.2719 / 8.49  MNH4",22.139
"733.4282 / 19.81",22.136
"399.2352 / 6.58",22.134
"489.7689 / 14.76",22.13
"428.1816 / 11.63",22.129
"379.2073 / 8.66",22.124
"227.0084 / 1.08",22.124
"393.2492 / 5.44",22.122
"725.8846 / 19.65",22.122
"201.1231 / 3.05",22.12
"643.3050 / 2.69  2MK-2H-",22.115
"120.0806 / 8.31",22.114
"444.2446 / 10.59",22.113
"166.0727 / 4.75",22.111
"575.2775 / 16.98",22.109
"427.2190 / 7.93  M-H-",22.107
"453.7212 / 8.60  M2Na2",22.102
"530.2214 / 14.23  M-2H2-",22.101
"437.7394 / 12.63  M2H2",22.096
"244.1739 / 6.89",22.088
"379.1141 / 3.16  2MNa-2H-",22.068
"422.9317 / 11.54",22.068
"510.5876 / 13.77  M3H3",22.068
"389.2394 / 8.12",22.058
"539.2363 / 8.80",22.057
"164.9207 / 1.29",22.046
"774.3819 / 7.12",22.039
"460.2171 / 8.70",22.038
"487.2873 / 12.84  MH",22.031
"243.0632 / 1.99",22.025
"330.2025 / 5.33",22.018
"174.9914 / 5.53",22.017
"605.3137 / 6.58",22.017
"412.1719 / 3.67",22.013
"323.1157 / 22.50",22.012
"281.1120 / 2.67  MNa",22.008
"444.2919 / 3.27",22.007
"237.1247 / 3.21  MH",22.005
"377.2566 / 23.51",21.998
"475.2508 / 3.83",21.996
"305.0240 / 12.92  M-H-",21.995
"574.2523 / 10.73",21.995
"489.2081 / 3.16  M",21.993
"470.7642 / 17.13  M2H2",21.985
"447.2223 / 11.12",21.984
"590.2816 / 19.01  M-H-",21.979
"226.0828 / 2.05  MNH4",21.976
"388.1507 / 15.03  M-H-",21.975
"477.5902 / 17.44  M3H3",21.975
"552.0362 / 25.44",21.974
"221.0036 / 1.80",21.964
"353.1624 / 5.75",21.962
"396.1783 / 5.87",21.959
"732.4279 / 14.57",21.953
"330.2024 / 5.20",21.953
"507.2538 / 12.86  MNa-2H-",21.952
"546.2726 / 2.57",21.951
"625.2825 / 20.77",21.95
"360.9576 / 17.35",21.946
"633.0347 / 8.57  2MNa-2H-",21.946
"229.9977 / 20.87",21.939
"350.2043 / 10.06",21.936
"347.0402 / 2.47",21.934
"448.2214 / 6.52",21.933
"305.0865 / 6.79",21.928
"196.0280 / 1.82",21.928
"769.1609 / 22.51",21.918
"442.2260 / 4.21",21.915
"627.0190 / 13.83",21.915
"446.2260 / 4.87",21.913
"510.2740 / 11.42  M2H2",21.907
"458.2698 / 13.77  MNH4",21.905
"376.2116 / 15.33",21.904
"261.1269 / 4.50",21.903
"143.0722 / 4.22",21.897
"138.0553 / 10.70",21.897
"583.2876 / 7.69  MH",21.888
"155.0828 / 2.69",21.879
"385.8862 / 9.09",21.879
"629.3134 / 16.03",21.877
"227.1030 / 3.01  M-H2O-H-",21.877
"716.7940 / 13.27",21.875
"778.1686 / 21.69",21.872
"576.0176 / 1.17",21.872
"457.2240 / 10.57",21.867
"541.2974 / 8.22  M-H-",21.86
"365.5436 / 3.81",21.858
"156.9589 / 8.97",21.855
"522.2921 / 8.76",21.85
"533.7283 / 14.43  M2H2",21.843
"553.8054 / 19.63  M2H2",21.841
"370.0262 / 21.56  MH",21.84
"429.7404 / 6.74",21.839
"300.1555 / 14.32",21.836
"268.9388 / 5.89",21.825
"163.0149 / 5.97",21.821
"431.1771 / 12.13",21.816
"409.1363 / 8.84",21.813
"360.9580 / 19.33",21.809
"141.0185 / 1.65",21.807
"581.2920 / 12.48  MCH3OHH",21.806
"573.1900 / 10.56",21.805
"636.2980 / 3.13  M-2H2-",21.805
"843.0210 / 24.99",21.801
"566.8933 / 12.71",21.797
"456.2450 / 5.96",21.796
"663.3708 / 18.11",21.795
"567.3079 / 13.59  MNa",21.793
"380.1917 / 7.58",21.788
"163.0398 / 2.13",21.786
"377.1996 / 2.31",21.786
"267.9373 / 6.60",21.782
"424.7012 / 9.61",21.775
"408.2079 / 14.08  M2H2",21.771
"441.1847 / 5.34",21.765
"493.2306 / 12.11  M-H-",21.764
"709.3225 / 19.57  M2H2",21.762
"438.2139 / 9.84",21.761
"316.1507 / 2.35",21.76
"463.1798 / 3.25  MNa",21.751
"575.2274 / 18.99",21.75
"486.3287 / 19.02",21.744
"82.9980 / 12.98",21.742
"464.6809 / 14.46",21.738
"350.1328 / 11.72  MNa-2H-",21.738
"261.1450 / 2.73",21.737
"217.0037 / 7.08",21.737
"232.1565 / 3.31",21.729
"183.1140 / 6.85  M-H-",21.727
"529.3069 / 2.10",21.725
"409.1110 / 2.08  MNa",21.723
"544.2244 / 11.15  M-H-",21.722
"715.0384 / 9.89",21.718
"607.3467 / 20.97  M-H-",21.708
"81.0697 / 12.80",21.704
"467.2498 / 11.48",21.704
"186.1097 / 1.80",21.703
"227.1011 / 1.15",21.702
"394.1994 / 11.43  M-H-",21.701
"419.8760 / 3.17",21.701
"380.2201 / 12.88",21.698
"186.9969 / 18.12",21.696
"492.2920 / 16.23  MNH4",21.696
"470.7597 / 10.33",21.693
"428.2503 / 8.08",21.691
"612.8392 / 19.24  M2H2",21.685
"464.2405 / 16.00  M3H3",21.68
"469.2283 / 19.45",21.678
"390.1471 / 14.14",21.676
"437.2387 / 9.18",21.675
"423.1703 / 12.20",21.673
"320.1718 / 7.10",21.671
"155.9741 / 11.55",21.671
"274.1530 / 8.11",21.656
"330.2027 / 10.08",21.655
"81.0680 / 2.68",21.654
"393.2099 / 13.08  MNa-2H-",21.652
"209.0561 / 1.99  MH",21.65
"103.9199 / 6.33",21.648
"190.0769 / 4.21",21.645
"403.2182 / 5.01",21.644
"282.0516 / 17.35",21.642
"510.2176 / 9.12",21.642
"147.0629 / 4.21",21.641
"258.1454 / 1.88  M-H-",21.629
"373.2547 / 1.87",21.628
"586.3412 / 9.32  M2H2",21.622
"508.2688 / 11.62",21.616
"495.2465 / 12.85",21.615
"170.0600 / 4.25",21.61
"218.0069 / 7.53",21.603
"491.7838 / 12.28  M2H2",21.602
"177.9914 / 1.82",21.6
"619.3126 / 16.21",21.598
"506.2604 / 13.49",21.597
"428.1494 / 8.98",21.595
"543.2799 / 20.77",21.594
"159.0920 / 4.25",21.593
"470.0309 / 22.39",21.592
"389.1446 / 5.80",21.591
"721.3880 / 18.97",21.589
"473.9791 / 1.04",21.582
"589.2162 / 13.58",21.579
"278.1134 / 2.54  MNH4",21.578
"360.1834 / 10.10  M3H3",21.567
"332.1236 / 13.39",21.567
"452.7024 / 13.05",21.565
"615.2475 / 21.76",21.565
"555.9942 / 21.59",21.563
"158.9973 / 10.67",21.56
"485.2006 / 10.24",21.559
"787.3834 / 15.77",21.558
"290.1136 / 4.35",21.558
"527.2458 / 16.63",21.558
"417.2354 / 7.43",21.556
"445.2282 / 14.91",21.555
"189.9579 / 16.79",21.549
"437.2385 / 14.61",21.546
"203.2232 / 1.00",21.546
"506.2208 / 12.92",21.546
"715.3633 / 9.84",21.541
"297.0845 / 29.21",21.536
"599.6920 / 22.07",21.535
"416.1230 / 7.71",21.533
"475.2509 / 2.32",21.533
"281.0592 / 7.25",21.531
"174.9923 / 12.55",21.53
"498.3378 / 9.92",21.527
"345.2135 / 6.23",21.526
"465.2310 / 12.55",21.526
"364.2112 / 19.76",21.526
"479.2100 / 14.95",21.518
"246.1818 / 11.45",21.518
"304.1753 / 6.45",21.517
"659.3698 / 14.79",21.517
"539.2790 / 9.73  MNa",21.512
"201.0876 / 2.67",21.511
"376.0099 / 21.97",21.51
"590.9943 / 1.27",21.506
"299.0072 / 18.38",21.504
"397.9951 / 22.27",21.502
"558.2783 / 15.14  MH",21.498
"709.0240 / 18.62",21.496
"460.2442 / 4.89",21.492
"466.2244 / 8.07  M3H3",21.492
"419.2144 / 3.08",21.492
"583.8416 / 16.27  M2H2",21.491
"590.3067 / 16.53  M",21.49
"563.2119 / 15.27  MNa-2H-",21.489
"300.1341 / 11.90  M-",21.488
"550.2634 / 17.13",21.487
"372.2131 / 19.20",21.485
"600.1089 / 20.25  M5H5",21.482
"685.3525 / 18.05  M-H-",21.48
"147.9464 / 30.07",21.476
"581.7897 / 18.88",21.47
"384.1888 / 2.37",21.47
"302.2079 / 6.78",21.469
"729.3917 / 19.54",21.466
"599.0081 / 1.04",21.464
"415.2196 / 9.36  M-H-",21.464
"231.0975 / 2.53",21.464
"351.1317 / 2.79  2MNa-2H-",21.461
"101.0062 / 15.57",21.461
"378.2023 / 13.93",21.458
"362.1925 / 4.23",21.454
"153.1272 / 11.63  MCH3OHH",21.453
"457.2661 / 11.33  MH",21.451
"374.2289 / 13.56",21.449
"380.1816 / 11.59",21.446
"357.0331 / 2.89  2MNa-2H-",21.444
"354.9404 / 7.68",21.442
"567.2753 / 14.79  MNa",21.441
"430.2286 / 2.45  MNH4",21.441
"706.3039 / 20.61",21.435
"335.1351 / 3.70  M-H-",21.434
"707.3366 / 10.13  MH",21.434
"431.9393 / 11.22",21.432
"309.0827 / 10.59  MNa",21.427
"616.0198 / 22.10  M3Na3",21.425
"477.2157 / 5.64",21.424
"425.7307 / 9.57  M4H4",21.424
"839.3904 / 11.11  M-H-",21.423
"498.2552 / 8.38",21.42
"437.2034 / 7.70",21.418
"738.3684 / 17.63  MNH4",21.417
"458.2499 / 8.24  M2H2",21.41
"481.3000 / 3.40  2MNa-2H-",21.409
"791.0249 / 1.26  MCl-",21.408
"299.1251 / 10.29  M-H-",21.406
"400.2258 / 4.24",21.405
"522.2501 / 12.40",21.403
"591.7914 / 14.08  MHNH42",21.402
"276.1610 / 21.69",21.392
"289.1159 / 3.37  MNa",21.386
"386.7212 / 12.29  MHNH42",21.377
"116.0496 / 4.30",21.377
"203.0483 / 2.38",21.376
"297.1347 / 16.60",21.376
"548.2919 / 10.68",21.376
"281.0519 / 20.50",21.376
"389.2034 / 3.88",21.372
"347.9467 / 1.03",21.372
"187.1446 / 2.41",21.363
"215.1391 / 1.88  MNH4",21.362
"694.3065 / 12.09",21.354
"462.2174 / 3.22",21.352
"263.1030 / 2.99  MH",21.349
"558.2944 / 13.40",21.348
"934.4001 / 15.70  M-H-",21.346
"400.7156 / 9.35",21.345
"867.4554 / 9.02  M-H-",21.344
"312.1747 / 6.87",21.344
"537.2644 / 9.76  MNa-2H-",21.343
"844.5125 / 22.01",21.342
"105.0702 / 8.63",21.337
"169.0585 / 1.43",21.335
"188.0561 / 2.54",21.331
"391.0643 / 13.72  MNa-2H-",21.327
"223.0209 / 16.92",21.324
"355.1975 / 3.34",21.322
"675.3468 / 15.15  M3H3",21.321
"700.3783 / 11.41",21.319
"513.2573 / 16.09",21.313
"553.2971 / 10.54  M-H-",21.312
"639.3447 / 13.80  M-H-",21.311
"654.6210 / 10.76",21.31
"524.7850 / 16.09  M2Na2",21.308
"366.0547 / 5.69",21.307
"215.0809 / 9.22",21.305
"471.2586 / 18.20",21.3
"319.1415 / 3.72",21.298
"263.1391 / 6.94  MH",21.297
"336.7234 / 15.59",21.296
"344.2182 / 10.46",21.294
"339.0588 / 4.46",21.293
"484.2018 / 10.92",21.293
"955.0362 / 13.50  4MKNa-3H-",21.293
"701.3304 / 19.91",21.291
"486.2554 / 7.32  MCH3OHH",21.289
"201.1241 / 7.04",21.287
"284.1249 / 9.17",21.283
"581.2742 / 7.73",21.282
"642.3108 / 10.53",21.281
"233.1500 / 15.56",21.278
"215.1398 / 11.77",21.278
"292.9907 / 16.72",21.277
"399.2595 / 16.45",21.273
"227.0296 / 6.66",21.271
"243.8808 / 6.55",21.271
"361.7093 / 13.87  M2H2",21.269
"838.4427 / 19.76  MNa",21.268
"102.0911 / 8.83",21.265
"929.5114 / 15.17",21.264
"183.1124 / 1.84",21.262
"373.0378 / 1.64  4MNa-2H-",21.26
"369.1288 / 22.13",21.255
"114.9474 / 12.29",21.253
"509.2772 / 19.17",21.25
"300.2294 / 23.34",21.249
"730.4117 / 19.86  M-H-",21.248
"646.7835 / 17.69  M2H2",21.247
"417.2230 / 19.06",21.243
"279.1523 / 3.89",21.241
"309.1428 / 4.99",21.239
"778.4067 / 20.67",21.238
"256.9586 / 31.78",21.238
"558.2403 / 3.03",21.238
"116.9296 / 9.57",21.237
"414.1892 / 12.61",21.232
"469.7822 / 21.01",21.229
"352.6620 / 5.88",21.229
"476.7101 / 13.24",21.228
"437.2083 / 10.13  M-2H2-",21.228
"412.2053 / 7.08  M-H-",21.228
"567.3012 / 9.57  M3H3",21.227
"255.1325 / 2.44  MNa",21.226
"157.0829 / 4.81",21.225
"461.2470 / 12.43",21.221
"204.0860 / 4.25",21.216
"453.1977 / 5.17  MAcO-H-",21.213
"431.1403 / 4.94",21.209
"348.1557 / 8.33  MFA-H-",21.209
"520.2768 / 17.45  M-H-",21.206
"393.2127 / 13.10",21.197
"402.2136 / 7.31",21.197
"655.3500 / 16.31",21.196
"302.1973 / 8.83",21.195
"403.1741 / 10.59",21.194
"373.2087 / 8.09  MCH3OHH",21.191
"837.4101 / 11.34  M-2H2-",21.19
"364.1720 / 6.03  M2H2",21.186
"206.1004 / 4.22  MNH4",21.186
"389.9601 / 22.19",21.185
"361.2053 / 2.18",21.185
"712.3306 / 13.59  MNa",21.181
"610.1949 / 13.61  MNa-2H-",21.18
"83.0504 / 6.41",21.176
"477.2354 / 19.95  MH",21.175
"159.0916 / 7.96",21.174
"890.4317 / 18.63",21.174
"244.1659 / 1.03",21.172
"212.0534 / 2.55",21.172
"553.2611 / 12.95",21.17
"714.2747 / 10.26",21.169
"372.0121 / 21.58",21.167
"592.3060 / 13.43",21.167
"269.1512 / 19.01",21.163
"835.0562 / 1.14",21.16
"99.9257 / 13.36",21.159
"306.1470 / 3.76  MH",21.155
"393.1418 / 3.98",21.155
"592.3117 / 2.54",21.153
"637.3540 / 19.56",21.152
"433.2008 / 8.40  M2H2",21.149
"572.9348 / 16.95  M3H3",21.136
"279.0200 / 14.61",21.125
"387.2962 / 2.45",21.125
"620.2670 / 9.93",21.123
"495.7682 / 14.31",21.123
"484.2761 / 9.31",21.122
"509.1999 / 20.11",21.121
"533.2117 / 17.20  M-2H2-",21.119
"464.2341 / 2.25",21.116
"638.8049 / 7.22  M2H2",21.113
"497.2175 / 11.78",21.111
"602.2850 / 21.06  M-H-",21.106
"756.7182 / 18.88  M3H3",21.105
"425.2388 / 20.11  M-H-",21.102
"480.2445 / 11.07",21.101
"150.0565 / 5.55",21.099
"458.2361 / 2.58",21.097
"548.3224 / 15.62  M2H2",21.097
"91.0522 / 6.75",21.094
"302.2077 / 8.14",21.091
"375.2237 / 1.57",21.091
"314.0175 / 21.27",21.087
"792.8741 / 15.56  M2H2",21.084
"543.2464 / 15.30",21.082
"189.1237 / 11.44",21.078
"460.2401 / 7.93",21.075
"506.2993 / 17.13",21.073
"462.2346 / 10.86",21.073
"478.2315 / 5.71",21.071
"461.7569 / 12.72  M2H2",21.069
"180.0664 / 2.09  M-H-",21.068
"480.2442 / 8.37  MH",21.056
"883.5001 / 17.20  M-H-",21.056
"595.2532 / 14.18",21.054
"637.2708 / 8.89",21.049
"487.2684 / 8.03  MH",21.048
"493.5276 / 9.71",21.048
"527.7237 / 4.04",21.045
"608.3034 / 15.03",21.038
"444.7381 / 11.17",21.035
"288.2033 / 8.62  MCH3OHH",21.033
"371.2654 / 5.13",21.031
"412.2052 / 9.25",21.027
"387.2239 / 8.16  M-H-",21.023
"418.7193 / 11.06  M2H2",21.021
"465.1999 / 3.44",21.02
"508.2755 / 13.39",21.018
"501.1826 / 13.59",21.018
"411.2234 / 17.89  M-H-",21.016
"389.2396 / 6.92",21.014
"332.1240 / 4.51",21.011
"116.9861 / 0.35",21.007
"359.6583 / 16.72",21.007
"399.9928 / 22.27",21.004
"450.2171 / 10.13  MHNa2",21.003
"418.2295 / 2.63  MCH3OHH",20.999
"816.4086 / 10.81  MH",20.999
"519.2301 / 7.25",20.998
"493.2082 / 6.31",20.996
"403.2558 / 10.33",20.991
"558.3129 / 2.19",20.99
"934.5457 / 22.16  M2Na2",20.989
"438.8820 / 13.84  M3H3",20.989
"648.3704 / 14.18",20.963
"463.0121 / 9.29",20.963
"623.8364 / 12.94  M2H2",20.96
"274.0974 / 14.14",20.958
