"","361.2087 / 3.47  M","453.2115 / 10.42  ","341.1667 / 3.45","293.1503 / 5.13","345.1423 / 6.27","346.1979 / 4.15  M","435.2417 / 9.00  M","215.1395 / 2.16","590.2780 / 11.00  ","261.1275 / 5.32","359.1582 / 11.13","295.1669 / 5.16  M","418.2251 / 11.01  ","325.1739 / 6.83","375.2210 / 3.76","490.2508 / 11.07","380.1792 / 13.65  ","358.1973 / 13.65  ","636.3357 / 19.68","356.6859 / 3.96  M","332.2191 / 7.10  M","330.2029 / 7.08","289.1505 / 7.69  M","854.3902 / 15.20  ","580.2660 / 7.32  M","449.7488 / 19.19","707.3366 / 10.13  ","439.2266 / 10.13  ","439.7266 / 10.12","433.5526 / 16.71","549.3146 / 16.50","896.4697 / 19.20  ","501.2305 / 7.93  M","569.7558 / 19.86  ","801.3629 / 15.49  ","379.7229 / 10.83","344.2183 / 11.11","373.1723 / 9.41  M","440.2980 / 15.59","345.2137 / 3.57","474.2458 / 8.12","480.2445 / 11.07","379.7088 / 10.72","387.2239 / 8.16  M","423.2304 / 15.02","809.4409 / 19.07  ","428.7079 / 15.05","476.7101 / 13.24","479.2499 / 11.58  ","485.2395 / 15.33","473.2970 / 16.49","490.1937 / 10.46  ","467.2498 / 11.48","416.2343 / 10.19","459.7504 / 10.67  ","396.1783 / 5.87","359.1931 / 3.48","424.7012 / 9.61","376.1834 / 19.61  ","517.2974 / 11.15","395.2276 / 13.11  ","393.2099 / 13.08  ","475.2157 / 13.13  ","521.7810 / 15.92  ","482.2236 / 12.92  ","942.4522 / 10.99  ","402.2699 / 8.03","600.3704 / 8.01","375.1522 / 5.70","298.1403 / 8.89  M","340.1869 / 17.48  ","354.2024 / 19.61  ","423.2236 / 10.54","560.7822 / 19.86  ","558.7644 / 19.86  ","372.2198 / 10.26","465.2696 / 15.50  ","532.2345 / 14.20  ","278.1581 / 11.15","445.2674 / 12.49","492.2111 / 10.45","408.7460 / 9.41  M","468.7141 / 15.70  ","325.1739 / 7.71","429.2712 / 15.30","507.2452 / 10.46  ","632.2772 / 15.72","421.2143 / 12.79  ","542.2931 / 9.50","422.2507 / 12.64","665.3238 / 17.20  ","429.2394 / 6.82  M","346.6914 / 8.06  M","334.1376 / 11.96  ","425.2027 / 15.20  ","545.2679 / 1.93","404.1803 / 18.31  ","243.1710 / 6.86  M","306.1465 / 5.16  M","359.1575 / 10.11"
"278.1581 / 11.15",0.91894,0.92095,0.91919,0.9455,0.946,0.94199,0.93999,0.93807,0.9612,0.96219,0.95863,0.945,0.96963,0.96861,0.95888,0.9599,0.96349,0.96656,0.96554,0.96451,0.96246,0.96246,0.9681,0.9599,0.95068,0.95478,0.95478,0.95478,0.95478,0.95734,0.95273,0.95939,0.9599,0.95529,0.9558,0.95427,0.95171,0.95273,0.95683,0.96144,0.96298,0.96144,0.9558,0.96195,0.95939,0.96041,0.95785,0.95785,0.9558,0.96912,0.96861,0.97066,0.93634,0.94658,0.943,0.94915,0.94095,0.94402,0.94966,0.93685,0.93224,0.93736,0.9389,0.94351,0.94812,0.943,0.94505,0.94402,0.96587,0.95825,0.96514,0.96366,0.97595,0.97895,0.98196,0.96893,0.97244,0.96793,1,0.99599,0.998,0.98146,0.99098,0.99148,0.99148,0.99198,0.98547,0.97194,0.95841,0.96492,0.96492,0.95038,0.96191,0.96191,0.98998,0.98096,0.98046,0.96956,0.98948,0.98847
"445.2674 / 12.49",0.9217,0.92671,0.93197,0.94826,0.95227,0.95026,0.94375,0.94046,0.96612,0.96514,0.95912,0.94776,0.97373,0.97168,0.95683,0.96554,0.9681,0.97066,0.96861,0.96759,0.964,0.964,0.97373,0.96605,0.95529,0.96195,0.96195,0.96195,0.96195,0.96246,0.95888,0.96349,0.96195,0.95632,0.95683,0.95478,0.95785,0.95683,0.96349,0.96707,0.9681,0.96707,0.96144,0.96912,0.96963,0.96605,0.96502,0.96502,0.96554,0.97373,0.96963,0.97271,0.93224,0.94607,0.943,0.95222,0.94351,0.94812,0.95427,0.94044,0.93788,0.943,0.94402,0.95632,0.96298,0.95222,0.95171,0.94761,0.96538,0.95776,0.96514,0.96268,0.97444,0.97645,0.97845,0.96993,0.97194,0.97194,0.99599,1,0.99599,0.98196,0.99148,0.99399,0.98847,0.99148,0.98447,0.97043,0.95941,0.96141,0.96091,0.95481,0.96592,0.96743,0.99298,0.98096,0.97093,0.96956,0.98797,0.98246
"492.2111 / 10.45",0.92871,0.92972,0.93147,0.94876,0.95076,0.94676,0.94325,0.93998,0.96022,0.96022,0.95815,0.94926,0.9722,0.97066,0.96349,0.96912,0.9681,0.97168,0.97117,0.97271,0.96912,0.96912,0.97424,0.96759,0.95785,0.96246,0.96041,0.96041,0.96041,0.96144,0.96041,0.96605,0.9681,0.96451,0.964,0.964,0.95939,0.95939,0.96246,0.9681,0.96963,0.96861,0.96502,0.96861,0.96554,0.96656,0.96554,0.96605,0.96246,0.97476,0.97629,0.97783,0.94658,0.95632,0.95324,0.95632,0.95171,0.94915,0.9558,0.94812,0.94197,0.94658,0.94812,0.94966,0.95376,0.94607,0.95119,0.94915,0.96883,0.96169,0.96661,0.96563,0.98146,0.98346,0.98647,0.97494,0.97394,0.97093,0.998,0.99599,1,0.98396,0.98948,0.99349,0.99148,0.99298,0.98797,0.97093,0.96392,0.96943,0.96642,0.95383,0.96743,0.96693,0.98797,0.97995,0.97494,0.96858,0.98747,0.98747
"408.7460 / 9.41  M",0.93122,0.9242,0.93448,0.94726,0.93824,0.93272,0.93172,0.929,0.97104,0.9435,0.94702,0.94876,0.95017,0.96349,0.96144,0.94556,0.96707,0.96656,0.96451,0.95683,0.96349,0.96349,0.96451,0.96963,0.94863,0.95888,0.95529,0.95529,0.95529,0.94863,0.96195,0.96554,0.9599,0.96246,0.96093,0.96195,0.96502,0.964,0.95683,0.95939,0.96144,0.96144,0.95734,0.95785,0.96298,0.96656,0.9558,0.97527,0.94454,0.95632,0.95734,0.964,0.94249,0.95171,0.95734,0.95529,0.95529,0.95324,0.95785,0.9471,0.94812,0.95171,0.95273,0.95529,0.94658,0.95068,0.94607,0.95222,0.96342,0.95874,0.96465,0.96219,0.97695,0.98296,0.98447,0.97093,0.98497,0.98447,0.98146,0.98196,0.98396,1,0.98396,0.98647,0.99699,0.99248,0.99349,0.97494,0.97344,0.96191,0.96191,0.95874,0.96843,0.96843,0.97595,0.97795,0.97093,0.96809,0.98146,0.98046
"468.7141 / 15.70  ",0.93974,0.93423,0.92546,0.94976,0.95076,0.94475,0.93874,0.93807,0.95874,0.96022,0.95718,0.94826,0.96093,0.96605,0.96349,0.95068,0.97476,0.97527,0.97424,0.96912,0.97168,0.97168,0.97424,0.96963,0.96656,0.96451,0.96912,0.96912,0.96912,0.97476,0.97015,0.97168,0.97117,0.96861,0.97015,0.96451,0.96861,0.9722,0.96144,0.96912,0.96502,0.96451,0.96451,0.96963,0.96349,0.964,0.96605,0.96349,0.96298,0.96298,0.96298,0.96707,0.94402,0.96195,0.95888,0.97015,0.96093,0.9599,0.964,0.95324,0.94966,0.95478,0.95376,0.96041,0.96605,0.95478,0.94812,0.94915,0.9703,0.97005,0.97251,0.97104,0.98647,0.99048,0.99048,0.98246,0.98747,0.98647,0.99098,0.99148,0.98948,0.98396,1,0.99499,0.99148,0.99499,0.99098,0.98497,0.97144,0.97845,0.97344,0.96563,0.96693,0.97043,0.98797,0.97294,0.97344,0.97005,0.97795,0.97544
"325.1739 / 7.71",0.93623,0.93473,0.93799,0.94926,0.95177,0.94726,0.93773,0.9395,0.95874,0.9612,0.95621,0.94826,0.96246,0.9681,0.96144,0.95529,0.97015,0.9722,0.97168,0.97066,0.96912,0.96912,0.97732,0.96861,0.96298,0.96554,0.96605,0.96605,0.96605,0.96912,0.96451,0.96861,0.9722,0.96759,0.96861,0.96195,0.96144,0.96656,0.96144,0.96707,0.96605,0.96861,0.96144,0.96759,0.96605,0.96656,0.96759,0.96707,0.96502,0.96502,0.9681,0.97271,0.94146,0.95888,0.9558,0.96554,0.95683,0.95478,0.95683,0.95068,0.94556,0.95068,0.95017,0.95683,0.9599,0.95017,0.94915,0.94812,0.96981,0.96465,0.9676,0.96563,0.98447,0.98847,0.98948,0.97795,0.98497,0.98296,0.99148,0.99399,0.99349,0.98647,0.99499,1,0.99098,0.99349,0.99048,0.97845,0.96893,0.97544,0.96392,0.9612,0.96743,0.96793,0.98396,0.97344,0.96392,0.97055,0.97995,0.98146
"429.2712 / 15.30",0.93423,0.93022,0.92997,0.95277,0.94575,0.94074,0.94124,0.93521,0.96907,0.95284,0.95476,0.95327,0.96041,0.97015,0.96759,0.95324,0.9722,0.97271,0.97117,0.96451,0.96963,0.96963,0.97066,0.97168,0.95683,0.96349,0.96246,0.96246,0.96246,0.95837,0.96554,0.97015,0.96605,0.96707,0.96656,0.96656,0.96656,0.96759,0.96349,0.96656,0.9681,0.96707,0.96298,0.96502,0.96554,0.96963,0.96093,0.97322,0.95222,0.96502,0.96554,0.97066,0.94761,0.95683,0.95939,0.96041,0.95734,0.95888,0.96298,0.95119,0.95068,0.95478,0.9558,0.9558,0.95171,0.95427,0.95222,0.95734,0.96833,0.96465,0.97055,0.96858,0.98196,0.98697,0.98898,0.97444,0.98597,0.98296,0.99148,0.98847,0.99148,0.99699,0.99148,0.99098,1,0.99649,0.99499,0.98046,0.97344,0.96943,0.96943,0.9612,0.97093,0.97093,0.98447,0.98346,0.98046,0.97202,0.98647,0.98597
"507.2452 / 10.46  ",0.94124,0.93072,0.93448,0.95127,0.94926,0.94475,0.93723,0.93903,0.96563,0.95579,0.9567,0.95227,0.96298,0.97015,0.96349,0.95478,0.97578,0.97629,0.97578,0.97015,0.97168,0.97168,0.9722,0.97424,0.96554,0.96963,0.96656,0.96656,0.96656,0.96656,0.97168,0.97578,0.96963,0.97015,0.96912,0.9681,0.96963,0.96861,0.96195,0.96963,0.96861,0.96759,0.96502,0.96707,0.97117,0.97322,0.96861,0.97322,0.96093,0.96759,0.96861,0.97066,0.95119,0.964,0.96093,0.96759,0.964,0.9558,0.96349,0.95427,0.95324,0.95734,0.95785,0.96554,0.96041,0.95939,0.95273,0.95478,0.96932,0.96858,0.97251,0.97055,0.98497,0.99198,0.99198,0.98296,0.98998,0.98847,0.99198,0.99148,0.99298,0.99248,0.99499,0.99349,0.99649,1,0.998,0.97945,0.97344,0.97494,0.97444,0.96661,0.97093,0.97144,0.98447,0.97895,0.97494,0.97596,0.98647,0.98096
"632.2772 / 15.72",0.94575,0.92871,0.93698,0.94826,0.94475,0.93874,0.93022,0.93521,0.96415,0.95038,0.95137,0.94976,0.95529,0.96605,0.96195,0.94863,0.97476,0.97424,0.97476,0.96861,0.97168,0.97168,0.96759,0.97271,0.96349,0.96656,0.96246,0.96246,0.96246,0.96195,0.97271,0.97424,0.96912,0.97117,0.96963,0.96963,0.96963,0.96861,0.95785,0.96759,0.96502,0.96502,0.96246,0.96195,0.96861,0.97271,0.96605,0.97271,0.9599,0.9599,0.96605,0.96656,0.95734,0.96605,0.96451,0.96912,0.96861,0.95478,0.96195,0.95888,0.95478,0.95888,0.9599,0.96451,0.95273,0.95785,0.94863,0.95273,0.96833,0.9676,0.97005,0.96858,0.98447,0.99349,0.99298,0.98597,0.99298,0.99248,0.98547,0.98447,0.98797,0.99349,0.99098,0.99048,0.99499,0.998,1,0.97745,0.97795,0.97544,0.97444,0.96809,0.96843,0.97043,0.97444,0.97494,0.97294,0.97596,0.98396,0.97995
"421.2143 / 12.79  ",0.91744,0.93197,0.89614,0.91744,0.91744,0.91594,0.91844,0.91755,0.9376,0.93071,0.93734,0.91644,0.91944,0.92558,0.93788,0.92302,0.94812,0.94761,0.94658,0.94249,0.94915,0.94915,0.94454,0.94044,0.94915,0.943,0.95529,0.95529,0.95529,0.94454,0.94761,0.94556,0.94761,0.94966,0.95068,0.94966,0.94915,0.9558,0.9471,0.94863,0.94402,0.943,0.94966,0.94607,0.93275,0.93429,0.93327,0.93327,0.92814,0.93327,0.92814,0.93532,0.93122,0.9389,0.94607,0.94556,0.94146,0.95939,0.95837,0.94454,0.95068,0.95324,0.95171,0.93736,0.94505,0.92763,0.94044,0.94351,0.96046,0.97448,0.97399,0.97448,0.98948,0.98447,0.98547,0.96893,0.98547,0.98146,0.97194,0.97043,0.97093,0.97494,0.98497,0.97845,0.98046,0.97945,0.97745,1,0.98948,0.98396,0.97544,0.96809,0.97695,0.97995,0.97695,0.96342,0.97043,0.94792,0.94939,0.95089
