"","p[1]","p(corr)[1]"
"399.3104 / 23.63",-0.3526,-0.04965
"399.5601 / 8.06  M3H3",-132.37,-0.47591
"399.7032 / 10.81",-249.5,-0.81622
"399.7055 / 15.17",-132.76,-0.55885
"399.7269 / 11.20",-204.65,-0.76258
"399.8714 / 9.36  M3H3",-147.82,-0.57594
"399.9928 / 22.27",-76.394,-0.38492
"400.1873 / 8.67",-224.2,-0.75305
"400.2060 / 11.83  M2Na2",-235.96,-0.74897
"400.2191 / 11.88",-236.31,-0.74684
"400.2202 / 13.17",-225.3,-0.71747
"400.2423 / 16.06  M3H3",-191.77,-0.65129
"400.2526 / 22.93",-30.957,-0.23052
"400.4688 / 9.28  M4H4",-219.99,-0.66221
"400.5612 / 9.49",-149.81,-0.54412
"400.6744 / 6.84",-167.49,-0.65864
"400.7136 / 10.30  M2H2",-218.3,-0.74789
"400.7156 / 9.35",-250.69,-0.76339
"400.7356 / 13.16",-244.23,-0.7612
"401.1578 / 21.27",9.8998,0.066
"401.2029 / 12.61",-57.839,-0.20967
"401.2034 / 4.46",-240.86,-0.71565
"401.2041 / 10.60",-209.43,-0.66503
"401.2042 / 15.08",-217.96,-0.70586
"401.2370 / 4.27",-223.16,-0.72155
"401.2391 / 10.38",-153.72,-0.55183
"401.2391 / 8.50  MH",-207.98,-0.69613
"401.2567 / 23.44",-48.768,-0.37136
"401.2648 / 14.48  MHNH42",-80.36,-0.39161
"401.2760 / 13.85",-255.98,-0.71983
"401.2848 / 22.92",-33.033,-0.43362
"401.2864 / 8.62",-76.167,-0.36689
"401.2868 / 15.20",-183.99,-0.65059
"401.2882 / 4.93",-133.29,-0.4752
"401.3365 / 21.65",20.888,0.10099
"401.6627 / 5.25",-123.84,-0.46536
"401.7271 / 11.45",-192.65,-0.67566
"401.7394 / 17.16",-190.39,-0.6887
"402.0768 / 9.67  MNa",-122.55,-0.49037
"402.1834 / 18.11",-164.61,-0.5149
"402.1901 / 7.47  M2H2",-159.12,-0.55116
"402.1951 / 15.50",-253.97,-0.76402
"402.1975 / 9.28",-171.95,-0.62875
"402.1985 / 1.86  MH",-234.35,-0.71309
"402.2128 / 11.15",-102.87,-0.35037
"402.2136 / 7.31",-186.81,-0.57873
"402.2137 / 3.79  M2H2",-245.61,-0.75581
"402.2342 / 5.47",-199.2,-0.64526
"402.2360 / 6.78",-172.74,-0.5801
"402.2699 / 8.03",-251.6,-0.77387
"402.3590 / 21.78",18.987,0.37671
"402.6980 / 9.87  M",-170.75,-0.60053
"402.7009 / 10.84  M2H2",-240.1,-0.72172
"403.1575 / 17.69",139.36,0.5588
"403.1741 / 10.59",-175.27,-0.58076
"403.2018 / 21.56",16.738,0.067157
"403.2136 / 11.49  M2H2",-167.2,-0.61841
"403.2182 / 5.01",-188.14,-0.57265
"403.2193 / 3.67",-231.58,-0.76589
"403.2193 / 8.09  M",-242.58,-0.72899
"403.2215 / 12.25",-176.89,-0.59633
"403.2290 / 2.12",-259.11,-0.73427
"403.2300 / 2.63  MNH4",-183.26,-0.66001
"403.2302 / 8.44",-234.36,-0.73353
"403.2307 / 10.70",-213.96,-0.64052
"403.2317 / 11.47",-187.39,-0.63386
"403.2317 / 12.98  M3H3",-194.21,-0.68581
"403.2441 / 11.94",-161.63,-0.59686
"403.2512 / 6.74",-204.74,-0.66878
"403.2539 / 10.94",-245.32,-0.7391
"403.2543 / 12.62",-223.7,-0.73122
"403.2558 / 10.33",-242.96,-0.7614
"403.3018 / 1.00",-140.69,-0.58638
"403.7072 / 9.55  MH",-229.42,-0.75985
"403.8919 / 11.29  M3H3",-148.46,-0.51364
"404.1931 / 2.15",-105.52,-0.34595
"404.2140 / 2.25",-125.55,-0.42688
"404.2208 / 8.05",-177.67,-0.62101
"404.2353 / 13.61  M2H2",-238.56,-0.71868
"404.2475 / 4.99",-205.54,-0.6936
"404.2588 / 14.94",-185.44,-0.66417
"404.7006 / 8.28",-235.92,-0.72676
"404.7305 / 19.97  MHNa2",-99.421,-0.44384
"404.9920 / 27.97",-0.026553,-0.0029095
"405.1157 / 22.50",-72.228,-0.53101
"405.1631 / 22.25  M",46.407,0.5659
"405.1978 / 5.29",-178.42,-0.6292
"405.1981 / 3.82",-136.82,-0.49481
"405.1998 / 7.96",-151.81,-0.49391
"405.2130 / 8.45",-147.61,-0.4916
"405.2144 / 10.22  M",-249.9,-0.76011
"405.2289 / 24.29  MNa",3.7969,0.47726
"405.2290 / 5.29",-234.39,-0.79336
"405.2822 / 1.57",-216.62,-0.671
"405.5278 / 17.10",-76.005,-0.38697
"405.5833 / 9.76  M3H3",-125.3,-0.4613
"405.8823 / 9.45  M3H3",-79.091,-0.33264
"405.8910 / 12.83  M3H3",-225.27,-0.71277
"406.1654 / 16.27  MH",-248.48,-0.78361
"406.1758 / 2.25",-118.77,-0.44019
"406.1821 / 9.26",-195.97,-0.72533
"406.1946 / 17.93",-214.83,-0.7307
"406.2327 / 19.03  MH",-212.45,-0.71357
"406.2368 / 14.44",-107.41,-0.42575
"406.3185 / 24.44",2.4308,0.1485
"406.6561 / 20.14",-217.42,-0.71056
"406.6628 / 13.50",-127.83,-0.5194
"406.7181 / 3.24  M2H2",-252.95,-0.73613
"406.9893 / 1.80",136.9,0.58048
"407.0302 / 2.05",135.58,0.52398
"407.0977 / 8.29",-209.67,-0.70527
"407.1513 / 11.28",-69.547,-0.27966
"407.1760 / 14.40  M2H2",-230.97,-0.72778
"407.1889 / 16.21",-14.726,-0.18933
"407.2107 / 9.42  M3H3",-203.56,-0.68834
"407.2135 / 2.83  MCH3OHH",-250.72,-0.73837
"407.2156 / 5.59",-133.63,-0.53724
"407.2269 / 13.56",-208.53,-0.67608
"407.2301 / 10.78",-215.54,-0.69293
"407.2381 / 9.05",-146.41,-0.55837
"407.2415 / 7.99",-126.31,-0.4402
"407.7196 / 13.52",-151.2,-0.56029
"408.0849 / 20.50",-25.212,-0.12018
"408.1817 / 8.28",-122.49,-0.48333
"408.2079 / 14.08  M2H2",-266.61,-0.74316
"408.2372 / 7.69",-91.263,-0.3827
"408.2984 / 24.15  MNH4",-11.578,-0.2924
"408.3087 / 24.14  MNH4",-7.7997,-0.18957
"408.7092 / 10.81  M2H2",-267.14,-0.81903
"408.7353 / 9.13",-248.1,-0.7947
"408.7358 / 19.76  M2H2",-240.84,-0.71778
"408.7460 / 9.41  M2Na2",-255.83,-0.77717
"408.9600 / 1.34",-2.9783,-0.12511
"409.1110 / 2.08  MNa",46.547,0.27989
"409.1161 / 14.20",-20.988,-0.10416
"409.1456 / 23.06",-0.12573,-0.0087348
"409.1561 / 23.06",2.0002,0.23878
"409.1586 / 1.86",5.8813,0.025553
"409.1609 / 3.81",29.027,0.11397
"409.1630 / 21.33",-2.8763,-0.035587
"409.1718 / 4.83",-208.77,-0.71938
"409.1718 / 5.44",-116.18,-0.4313
"409.1749 / 22.10  MNa",-0.21233,-0.0026792
"409.1814 / 16.27",-4.9185,-0.096438
"409.2084 / 6.65  MH",-234.99,-0.7676
"409.2088 / 3.47  M2H2",-208.69,-0.70705
"409.2089 / 2.28",-243.76,-0.72789
"409.2090 / 9.55  MH",-230.32,-0.70637
"409.2094 / 10.45  MNH4",-236.01,-0.78228
"409.2098 / 8.76",-228.55,-0.71104
"409.2168 / 7.52  M2H2",-104.64,-0.39236
"409.2205 / 10.90",-240.43,-0.69009
"409.2209 / 8.67",-231.31,-0.73236
"409.2281 / 9.83",-274.92,-0.76967
"409.2309 / 23.96",-1.8008,-0.0887
"409.2378 / 11.75",-193.41,-0.67007
"409.3106 / 24.25  MNH4",-5.7257,-0.12842
"409.3271 / 24.42",-26.458,-0.33753
"409.6923 / 10.13",-172.44,-0.64839
"409.7268 / 13.18  M2H2",-10.892,-0.051553
"410.1544 / 7.02",-211.77,-0.67941
"410.1563 / 6.00",-189.04,-0.60348
"410.1929 / 11.48",-301.9,-0.81489
"410.1969 / 12.71  M2H2",-157.65,-0.5989
"410.2084 / 8.84",-247.53,-0.74211
"410.2091 / 15.82",-41.016,-0.1558
"410.2122 / 17.26",-194.84,-0.62849
"410.2221 / 18.20",-93.331,-0.43127
"410.2267 / 13.43",-172.41,-0.57583
"410.3446 / 23.15",-58.442,-0.48855
"410.7028 / 3.86  M2H2",-274.94,-0.7261
"410.7220 / 18.65",-166.26,-0.64779
"410.7331 / 13.00",-156.68,-0.58779
"410.9092 / 10.02  M3H3",-128.61,-0.57504
"410.9300 / 1.29  2MK",46.685,0.57008
"411.0104 / 1.21  MH",31.003,0.4339
"411.0954 / 22.91",-12.816,-0.21408
"411.2152 / 17.29",-102.6,-0.41737
"411.2227 / 6.29  MNa",-104.78,-0.4574
"411.2235 / 16.53  MNH4",-206.72,-0.66273
"411.2359 / 24.34",-1.6895,-0.15013
"411.2466 / 24.31",1.6723,0.42007
"411.5566 / 9.06",-144.01,-0.58718
"411.7209 / 14.70  M2Na2",-229.08,-0.70841
"412.1695 / 9.71  MHK2",-198.27,-0.58897
"412.1719 / 3.67",-186.39,-0.60862
"412.1902 / 11.80",-219,-0.70382
"412.1907 / 10.58",-180.96,-0.66247
"412.2546 / 1.80",-152.37,-0.55255
"412.2857 / 22.49",-56.252,-0.26199
"412.6937 / 5.72",-210.35,-0.66853
"412.6955 / 7.15",-154.73,-0.59959
"412.7115 / 19.97",-134.66,-0.61931
"413.1422 / 13.52  MH",57.989,0.39877
"413.1551 / 3.34",-162.39,-0.65909
"413.1840 / 15.46",-229.85,-0.72901
"413.1919 / 12.81  MH",-175.61,-0.67875
"413.1921 / 11.83",-200.45,-0.70635
"413.2034 / 2.58  MH",-279.58,-0.72874
"413.2078 / 14.54  M2H2",-242.29,-0.75122
"413.2135 / 12.11",-188.21,-0.65202
"413.2271 / 20.47",-11.157,-0.074209
"413.2398 / 7.26",-105.54,-0.35783
"413.2471 / 10.66",-204.66,-0.71228
"413.2564 / 24.12",-2.7854,-0.25673
"413.2671 / 24.12",1.4259,0.26419
"413.3038 / 24.48  MH",-31.272,-0.29656
"413.5694 / 10.02  M3H3",-153.86,-0.61217
"413.7637 / 9.37  M2H2",-97.99,-0.4187
"413.8720 / 3.14",-162.46,-0.59203
"413.8823 / 13.33",-136.55,-0.54946
"413.8867 / 14.40  M3H3",-129.7,-0.50004
"413.9889 / 21.56",-116.75,-0.49947
"414.1442 / 13.56",86.187,0.47978
"414.1635 / 10.59  MNa",-123.28,-0.43112
"414.1892 / 12.61",-192.48,-0.6306
"414.2122 / 17.30",-185.17,-0.63031
"414.2343 / 2.71",-178.75,-0.5713
"414.2352 / 6.06",-214.02,-0.73412
"414.2683 / 24.13",1.1164,0.22646
"414.3019 / 22.89",-53.697,-0.25093
"414.6786 / 4.20",-234.1,-0.69439
"414.7537 / 16.28",-112.59,-0.48347
"414.9100 / 18.69  M3H3",-126.04,-0.56062
"414.9543 / 27.95",-1.3125,-0.10238
"414.9546 / 1.10",-155.89,-0.5782
"414.9860 / 8.13",-184.67,-0.63847
"415.1079 / 22.07",-30.568,-0.14049
"415.1922 / 2.26",-95.867,-0.3437
"415.2118 / 21.87  MH",-4.6751,-0.31894
"415.2203 / 13.02",-305.06,-0.87114
"415.2309 / 2.57",-131.23,-0.44366
"415.2356 / 8.13",-210.82,-0.71986
"415.2526 / 17.72  MH",-8.5835,-0.23941
"415.2537 / 10.42",-166.19,-0.52796
"415.2547 / 9.52",-230.27,-0.74121
"415.2840 / 23.21",-60.19,-0.53112
"415.2919 / 16.76",-232.46,-0.71641
"415.3007 / 23.15",-60.617,-0.51782
"415.7064 / 13.68",-218.55,-0.7635
"415.7210 / 5.81",-136.3,-0.5312
"415.7360 / 8.76",-156.29,-0.5333
"415.9868 / 21.56",-91.579,-0.37772
"416.1109 / 11.37  MH",82.943,0.45298
"416.2133 / 21.73",-4.832,-0.22648
"416.2157 / 22.29  MH",-2.1842,-0.14181
"416.2170 / 3.50  M2H2",-177.34,-0.59842
"416.2282 / 14.28",-64.733,-0.4208
"416.2343 / 10.19",-267.03,-0.77904
"416.2467 / 5.47",-133.85,-0.51683
"416.2495 / 4.63",-247.14,-0.7594
"416.2495 / 7.59  MNH4",-207.05,-0.64429
"416.2499 / 9.04",-198.2,-0.65363
"416.2509 / 8.33",-169.54,-0.61935
"416.2523 / 14.70",-190.57,-0.67238
"416.2594 / 1.80",-129.41,-0.47085
"416.2632 / 14.69  M3H3",-214.7,-0.74535
"416.3534 / 19.92",85.674,0.39606
"417.1495 / 22.34",-1.164,-0.052525
"417.1944 / 13.07",-229.79,-0.66323
"417.2047 / 1.99",-234.62,-0.69319
"417.2048 / 11.46  M2H2",-149.01,-0.53351
"417.2060 / 13.12",-266.55,-0.73709
"417.2230 / 19.06",-214.81,-0.7197
"417.2233 / 6.26",-237.31,-0.71382
"417.2350 / 9.33  MH",-212.32,-0.62999
"417.2354 / 6.26",-251.44,-0.72342
"417.2354 / 7.43",-194.26,-0.6413
"417.2377 / 8.49",-258.65,-0.75623
"417.2443 / 1.93",-240.37,-0.70563
"417.2452 / 2.71  MNH4",-211.77,-0.67718
"417.2501 / 16.88",-191.59,-0.66273
"417.2708 / 12.55",-228.6,-0.73244
"417.7224 / 3.50  MHNH42",-185.36,-0.58532
"418.1655 / 14.43  MH",-236.93,-0.81074
"418.1920 / 11.46",-208.14,-0.7526
"418.2048 / 18.20",-161.46,-0.59244
"418.2251 / 11.01  M3H3",-262.34,-0.77379
"418.2295 / 2.63  MCH3OHH",-144.2,-0.51907
"418.7193 / 11.06  M2H2",-261.36,-0.76132
"418.7313 / 15.90",-141.07,-0.5341
"418.9419 / 1.06",-138.59,-0.63785
"418.9861 / 1.18",-15.075,-0.1729
"419.2144 / 3.08",-112.41,-0.37483
"419.2200 / 16.07",-182.5,-0.65123
"419.2277 / 13.53",-238,-0.74561
"419.2359 / 11.69  M3H3",-196.35,-0.6703
"419.2505 / 8.11  MCH3OHH",-227.79,-0.71965
"419.2659 / 23.25",-9.493,-0.30278
"419.2796 / 23.22",-8.1409,-0.26265
"419.6881 / 8.12",-117.86,-0.52541
"419.7267 / 19.79  MHNa2",-237,-0.71364
"419.8760 / 3.17",-184.21,-0.6395
"420.1670 / 6.49  M2H2",-132.85,-0.49792
"420.1800 / 19.05  MH",-188.89,-0.67697
"420.2332 / 12.46",-169.1,-0.6123
"420.2333 / 13.51  M3H3",-207.04,-0.66641
"420.6985 / 14.63",-208.25,-0.76022
"420.8270 / 1.37",45.494,0.29746
"420.9599 / 24.44",-18.808,-0.45124
"420.9602 / 27.96",-3.2721,-0.30155
"420.9671 / 21.07",-5.5709,-0.020529
"420.9701 / 22.58",37.269,0.12291
"420.9705 / 27.25",73.423,0.31343
"420.9706 / 24.39",44.147,0.16245
"420.9707 / 1.17",-128.53,-0.62552
"420.9709 / 25.98",23.345,0.083632
"420.9709 / 28.04",-0.62268,-0.061207
"420.9710 / 19.98",79.132,0.29357
"420.9713 / 23.64",-17.269,-0.49382
"421.1663 / 15.46",-237.64,-0.76742
"421.1679 / 16.15",-1.6811,-0.0064777
"421.1888 / 22.30",65.303,0.80777
"421.1899 / 2.60",-131.63,-0.46752
"421.2143 / 12.79  M2H2",-277.17,-0.78783
"421.2192 / 7.10",-85.335,-0.28425
"421.2219 / 22.96",-25.455,-0.22749
"421.2308 / 19.58",-17.565,-0.14457
"421.2328 / 22.95  MCH3OHH",-23.735,-0.20745
"421.2419 / 12.52  MNa",-273.82,-0.78923
"421.2554 / 7.94  MNH4",-142.2,-0.52899
"421.2901 / 9.51",7.7736,0.023069
"421.7056 / 6.99  M2H2",-75.296,-0.35853
"421.7212 / 13.26  M2H2",-219.65,-0.70342
"422.1552 / 11.46",-211.32,-0.69817
"422.1587 / 9.47  MH",-210.34,-0.59894
"422.2343 / 14.36  M2H2",-195.38,-0.61435
"422.2431 / 11.59",-201.42,-0.71764
"422.2507 / 12.64",-297.71,-0.80262
"422.5212 / 8.81  M3H3",-206.87,-0.67507
"422.5888 / 12.88  M3H3",-189.81,-0.67049
"422.7360 / 14.69  M2H2",-238.64,-0.73125
"423.0061 / 2.12",80.462,0.38712
"423.0638 / 1.49",-13.465,-0.14627
"423.1767 / 18.93",-26.798,-0.11879
"423.1865 / 8.82",-187.67,-0.66893
"423.1880 / 22.38",23.09,0.2172
"423.1893 / 5.87",-187.92,-0.61339
"423.1991 / 22.36  MNH4",28.692,0.26596
"423.1999 / 4.98",-95.513,-0.36935
"423.2209 / 8.50  MNa",-179.54,-0.5992
"423.2210 / 9.56  2MNa",-216.63,-0.72964
"423.2236 / 10.54",-282.06,-0.7888
"423.2236 / 2.15",-257.23,-0.72968
"423.2304 / 15.02",-254.17,-0.76997
"423.2345 / 6.92",-214.98,-0.72508
"423.2346 / 11.07  MNH4",-215.62,-0.67824
"423.2470 / 10.04  MNH4",-181.26,-0.61923
"423.2976 / 24.34  MCH3OHH",-1.4791,-0.15808
"423.3091 / 24.33  MCH3OHH",1.7021,0.23341
"423.5944 / 15.21  M3H3",-246.77,-0.72654
"423.6887 / 12.26",-155.45,-0.55221
"423.7198 / 2.73",-229.85,-0.72776
"424.0794 / 19.91",38.549,0.20635
"424.1713 / 6.79  MH",-193.24,-0.63489
"424.1805 / 1.86  MNa",-158.25,-0.54758
"424.1807 / 2.72  M3H3",-20.324,-0.095964
"424.2029 / 22.38",61.077,0.30733
"424.2092 / 10.74  MCH3OHH",-200.44,-0.67105
"424.2153 / 6.84",-175.42,-0.62016
"424.2201 / 9.60  M2H2",-246.33,-0.75505
"424.2663 / 18.47",-171.71,-0.64767
"424.2839 / 24.23",-8.8485,-0.222
"424.3060 / 8.83",-24.786,-0.092763
"424.6924 / 16.85",-145.73,-0.5682
"424.7012 / 9.61",-256.7,-0.76347
"424.7166 / 18.31",-181.89,-0.71143
"424.9020 / 10.71  M3H3",-64.605,-0.29979
"424.9055 / 11.71  M3H3",-51.933,-0.2964
"425.1440 / 21.35",-1.759,-0.021087
"425.1574 / 21.49",-4.6835,-0.060503
"425.1784 / 3.70",-211.66,-0.73307
"425.1834 / 21.56",-6.518,-0.095415
"425.1851 / 12.20",-212.66,-0.68391
"425.2111 / 3.99  M2H2",-182.24,-0.62917
"425.2343 / 9.42  M2H2",-190.04,-0.60922
"425.2477 / 3.46  MNH4",-198.73,-0.68349
"425.2752 / 23.57",-0.79248,-0.042648
"425.2867 / 23.56  M",2.7936,0.21775
"425.7199 / 11.06  M2",-178.29,-0.6221
"425.7200 / 11.64  MHNH42",-167.57,-0.66117
"425.7202 / 12.35  M2H2",-146.9,-0.55216
"425.7245 / 12.95",-208.78,-0.70053
"425.7307 / 9.57  M4H4",-180.29,-0.60674
"425.7343 / 19.23",-159.95,-0.6603
"425.8768 / 3.08  M3H3",-186.78,-0.56833
"425.8972 / 14.01  M3H3",-254.86,-0.75484
"426.1483 / 14.40",-174.16,-0.67109
"426.1709 / 9.89",-143.88,-0.55016
"426.2070 / 13.99",-231.5,-0.70703
"426.2096 / 6.68",-135.64,-0.52694
"426.2340 / 16.72",-135.6,-0.5657
"426.3583 / 22.51",-102.99,-0.37639
"426.7522 / 11.63",-125.3,-0.54148
"426.9762 / 22.89",101.5,0.35634
"426.9767 / 23.61",-6.5315,-0.15214
"426.9771 / 27.86",-2.3201,-0.164
"426.9864 / 19.84",-14.919,-0.083867
"426.9865 / 24.18",-0.68101,-0.024958
"426.9867 / 21.46",59.623,0.20364
"426.9870 / 23.57",134.51,0.3012
"426.9872 / 22.53",20.942,0.084448
"426.9873 / 1.20",-62.788,-0.59147
"426.9875 / 20.53",-105.77,-0.37763
"426.9876 / 25.86",0.19694,0.022109
"426.9882 / 27.87",-1.8268,-0.15069
"427.1066 / 3.93",-4.9775,-0.034926
"427.2087 / 7.59",-152.96,-0.56
"427.2189 / 15.17  MH",-255.5,-0.76169
"427.2202 / 10.27",-208.03,-0.69899
"427.2257 / 3.06",18.443,0.070578
"427.2552 / 20.11",-183.14,-0.66668
"427.2661 / 22.04",130.75,0.61526
"427.3035 / 23.60  MCH3OHH",-1.6643,-0.044623
"427.4488 / 7.60",-45.482,-0.25146
"427.7000 / 7.73",-142.76,-0.52695
"427.7117 / 12.22",-147.09,-0.61788
"427.7265 / 3.03",-125.85,-0.4197
"428.0587 / 14.12",-77.29,-0.34492
"428.0690 / 14.06",-57.721,-0.26893
"428.1468 / 16.27  MNa",-215.04,-0.70988
"428.1494 / 8.98",-99.796,-0.40195
"428.2163 / 17.19",-133.15,-0.51269
"428.2236 / 11.77",-177.74,-0.64173
"428.2319 / 20.82",-17.221,-0.20943
"428.2370 / 16.01",-156.63,-0.57601
"428.2504 / 6.59",-234.06,-0.69808
"428.4894 / 11.87",-42.059,-0.25676
"428.5438 / 10.33",-190.44,-0.65346
"428.5722 / 15.98",-146.14,-0.59028
"428.7079 / 15.05",-263.69,-0.77387
"428.7371 / 11.15",-219.68,-0.71312
"428.9002 / 9.43  M3H3",-170.23,-0.59836
"428.9070 / 13.11  M3H3",-217.45,-0.67801
"429.1707 / 16.24",26.74,0.20837
"429.1723 / 19.79",22.999,0.088403
"429.2134 / 20.12",-109.72,-0.46595
"429.2345 / 7.91",-207.25,-0.59944
"429.2394 / 6.82  MHNH42",-310.09,-0.84025
"429.2409 / 23.67",-6.7187,-0.34411
"429.2527 / 23.69",-3.5401,-0.20967
"429.2712 / 12.54  MH",-281.44,-0.73068
"429.2712 / 15.30",-264.43,-0.77954
"429.3179 / 23.58",0.67234,0.036385
"429.5534 / 13.96  M3H3",-131.06,-0.52312
"429.5579 / 14.63  M3H3",-104.92,-0.48842
"429.5733 / 11.99",-68.262,-0.33612
"429.7051 / 14.59  M2H2",-204.76,-0.6947
"429.7327 / 12.52",-228.09,-0.75887
"429.7398 / 11.68  M2H2",-113.66,-0.45834
"429.7404 / 6.74",-242.67,-0.72969
"429.8970 / 11.63  M3H3",-93.354,-0.44237
"430.0373 / 15.47  M5H5",-49.314,-0.26235
"430.1881 / 5.46",-193.25,-0.66327
"430.1948 / 3.70  M2H2",-164.53,-0.53261
"430.1978 / 11.64  MH",-275.2,-0.78598
"430.2029 / 3.05",-143.25,-0.4994
"430.2195 / 13.77",-147.87,-0.60063
"430.2286 / 2.45  MNH4",-163.48,-0.58346
"430.2290 / 5.72",-194.9,-0.61057
"430.2314 / 7.34",-94.306,-0.34546
"430.2436 / 17.22  M2H2",-105.68,-0.38895
"430.2644 / 12.62",-261.74,-0.75273
"430.2652 / 6.71",-191.15,-0.65987
"430.2663 / 8.09",-257.04,-0.71322
"430.2669 / 9.05",-176.39,-0.60426
"430.2964 / 22.49",-6.888,-0.033677
"430.3012 / 10.55",-116.07,-0.5172
"430.7091 / 9.67",-82.688,-0.36578
"430.7148 / 2.73",-203.89,-0.69865
"430.7270 / 12.96",-203.84,-0.69118
"430.7369 / 9.41",-154.62,-0.58186
"430.7474 / 15.75  M2H2",-124.04,-0.50241
"431.1035 / 20.44",-74.741,-0.32653
"431.1403 / 4.94",-183.28,-0.63141
"431.1771 / 12.13",-216.71,-0.76402
"431.1917 / 9.55  MNa",-199.95,-0.75709
"431.2140 / 7.45",-178.08,-0.58738
"431.2186 / 23.64",-26.278,-0.35935
"431.2469 / 12.76",-249.55,-0.77368
"431.2508 / 7.78  MCH3OHH",-194.78,-0.68149
"431.2678 / 8.07",-234.22,-0.76236
"431.3162 / 23.56  MH",18.131,0.18188
"431.5705 / 16.18  M3H3",-188.82,-0.62982
"431.7191 / 10.88",-130.62,-0.55597
"431.7194 / 10.34  M2H2",-226.28,-0.72499
"431.7200 / 7.60",-104.82,-0.39439
"432.2194 / 3.48  M2H2",-211.2,-0.72092
"432.2447 / 6.62",-171.99,-0.61487
"432.2463 / 3.20  MCH3OHH",-103.82,-0.40254
"432.2551 / 14.99",-212.03,-0.75069
"432.2797 / 17.72  MNH4",-6.2948,-0.17339
"432.3116 / 22.89",-42.505,-0.21026
"432.3215 / 24.31  MNH4",-1.4811,-0.13613
"432.3337 / 24.29  MNH4",1.7799,0.31703
"432.7469 / 17.85  M2",-260.66,-0.76806
"432.9930 / 20.29",40.468,0.14012
"432.9931 / 1.29",-1.4504,-0.077694
"432.9939 / 26.13",-7.4029,-0.017031
"433.0023 / 21.78",17.386,0.13396
"433.0037 / 27.98",51.728,0.16688
"433.0040 / 20.39",37.565,0.17294
"433.0041 / 21.01",94.695,0.3275
"433.0045 / 23.44",1.9643,0.058787
"433.0048 / 26.72",-8.7967,-0.051546
"433.0050 / 1.28",3.0967,0.21779
"433.0053 / 25.30",66.958,0.1892
"433.0053 / 26.13",2.4828,0.11688
"433.0055 / 22.81",-2.7487,-0.013707
"433.0055 / 27.41",-8.6948,-0.38269
"433.1939 / 2.70",-126.63,-0.43894
"433.2008 / 8.40  M2H2",-155.24,-0.56525
"433.2074 / 16.66  2MH",-243.18,-0.76385
"433.2185 / 10.00",-228.31,-0.71859
"433.2272 / 12.00  M2H2",-207.85,-0.74839
"433.2273 / 8.21",-232.12,-0.73379
"433.2291 / 5.27  MH",-250.91,-0.75756
"433.2292 / 20.32",-6.681,-0.16472
"433.2648 / 13.71",-202.01,-0.67796
"433.5526 / 16.71",-270.82,-0.7736
"433.7071 / 12.59  M2H2",-139.39,-0.52347
"433.7082 / 10.64",-125.44,-0.48859
"433.7223 / 7.41  M2H2",-155.13,-0.56583
"433.7239 / 10.18",-180.22,-0.64538
"433.9974 / 26.32",-13.306,-0.081857
"433.9983 / 25.46",122.33,0.38577
"434.0062 / 27.38",-17.358,-0.49954
"434.0080 / 26.87",23.852,0.15665
"434.0086 / 1.27",3.6705,0.2343
"434.2434 / 9.10",-179.62,-0.65634
"434.5928 / 9.80  M3H3",-145.15,-0.50588
"434.8905 / 14.31  M3H3",-124.76,-0.51542
"434.9037 / 18.52  M3H3",-180.55,-0.63171
"435.1234 / 13.56  MNa",78.717,0.51698
"435.1915 / 10.98",-183,-0.64386
"435.2064 / 1.83",-196.51,-0.63801
"435.2093 / 3.68  MH",-233.74,-0.68158
"435.2417 / 9.00  M2H2",-283.27,-0.73231
"435.2438 / 20.29",-42.293,-0.23058
"435.2657 / 6.36  M2H2",-129.18,-0.48866
"435.2693 / 23.66",-9.3806,-0.31515
"435.2868 / 24.48  MNa",-33.362,-0.24125
"435.7371 / 18.59",-215.64,-0.71481
"436.1726 / 12.88",-250.14,-0.78349
"436.2195 / 13.95",-161.89,-0.59018
"436.2214 / 9.02  M2H2",-255.74,-0.7644
"436.2332 / 10.99  M2H2",-237.96,-0.69906
"436.3104 / 24.60",5.5353,0.44781
"436.3289 / 23.61",4.4396,0.1823
"436.3407 / 23.60",8.7356,0.41727
"436.7180 / 7.16",-101.1,-0.44878
"436.7467 / 9.29",-134,-0.47963
"437.1064 / 4.03",4.6724,0.034395
"437.1753 / 23.51",7.5396,0.37675
"437.1824 / 22.28",-3.869,-0.14797
"437.1861 / 23.49",11.01,0.61605
"437.1938 / 21.87",1.4763,0.065988
"437.1959 / 22.96",-32.837,-0.12029
"437.1979 / 10.78",-228.44,-0.66605
"437.2034 / 7.03",-174.28,-0.60756
"437.2034 / 7.70",-243.01,-0.72612
"437.2063 / 22.96",-18.899,-0.094285
"437.2102 / 21.07",-115.42,-0.50048
"437.2201 / 13.92  M3H3",-215.7,-0.70316
"437.2273 / 6.78",-172.1,-0.60384
"437.2279 / 12.88  M3H3",-214.26,-0.69647
"437.2355 / 17.72",-6.1195,-0.18463
"437.2385 / 13.74",-239.11,-0.76529
"437.2385 / 14.61",-234.46,-0.74913
"437.2387 / 9.18",-161.69,-0.50255
"437.2393 / 11.40",-217.6,-0.69208
"437.2505 / 11.83",-279.73,-0.77282
"437.2767 / 24.31",-1.5637,-0.1511
"437.2884 / 24.30",2.1443,0.44292
"437.3430 / 23.15  MH",-19.888,-0.13441
"437.5641 / 11.56  M3H3",-212.58,-0.72275
