"","p[1]","p(corr)[1]"
"116.9834 / 17.15",36.662,0.12629
"116.9834 / 5.73",0.78228,0.0033532
"116.9835 / 29.45",11.274,0.38836
"116.9850 / 18.77",-16.218,-0.05705
"116.9854 / 1.03",-77.033,-0.6902
"116.9855 / 2.64",62.376,0.37674
"116.9858 / 15.52",-27.258,-0.09551
"116.9859 / 31.34",23.053,0.092521
"116.9860 / 13.79",18.62,0.06464
"116.9861 / 0.35",-70.345,-0.3906
"116.9861 / 30.15",-35.733,-0.26787
"116.9861 / 6.24",-19.406,-0.1041
"116.9861 / 8.13",50.671,0.19542
"116.9862 / 11.39",-21.713,-0.073078
"116.9862 / 15.00",-31.853,-0.10754
"116.9862 / 16.40",-43.277,-0.16581
"116.9863 / 10.68",20.804,0.069436
"116.9863 / 14.31",-131.87,-0.4633
"116.9863 / 4.20",-13.073,-0.065747
"116.9864 / 3.49",17.241,0.057924
"116.9864 / 9.46",-33.087,-0.15716
"116.9865 / 7.44",-10.947,-0.05551
"117.0360 / 2.34",-7.9157,-0.045385
"117.0696 / 20.44",-28.05,-0.13059
"117.0698 / 17.93",5.6743,0.084028
"118.0645 / 4.27",37.269,0.43839
"118.0652 / 3.04",10.927,0.071966
"118.0860 / 1.55",19.882,0.413
"119.0163 / 5.77",2.1456,0.01727
"119.0172 / 3.75",-14.033,-0.062402
"119.0194 / 1.11",37.165,0.40332
"119.0349 / 3.83",-55.104,-0.48797
"119.0488 / 6.66",46.303,0.37248
"119.0495 / 2.10  MH",35.106,0.4613
"119.0855 / 22.10",2.9637,0.037202
"120.0212 / 1.04",38.855,0.42755
"120.0445 / 3.03",12.611,0.085619
"120.0804 / 12.35",-25.011,-0.11381
"120.0806 / 8.31",-67.64,-0.25548
"120.0808 / 12.98",-204.14,-0.64248
"120.0809 / 2.77  MNH4",27.35,0.38598
"120.0809 / 5.55",-249.69,-0.7457
"120.0809 / 6.29",36.666,0.17429
"120.0810 / 3.76",-205.83,-0.66628
"120.0811 / 11.13",-79.293,-0.28095
"121.0165 / 1.05",41.663,0.42114
"121.0284 / 6.53",51.305,0.19249
"121.0286 / 10.06",169.92,0.63472
"121.0395 / 2.88  MH",-4.7009,-0.048827
"121.0650 / 1.86",69.184,0.26557
"121.0841 / 2.80",35.242,0.42665
"121.0985 / 2.78",55.252,0.34287
"121.0986 / 5.39",-68.196,-0.26065
"121.0991 / 10.71",4.5854,0.017445
"121.1007 / 1.87",-22.824,-0.60943
"121.1009 / 9.14",-65.319,-0.27942
"121.1010 / 8.57",-45.623,-0.18622
"121.1012 / 11.25  MH",-26.658,-0.11397
"121.1012 / 6.47  MH",-59.862,-0.34825
"121.1013 / 0.36  MH",-4.2412,-0.014091
"121.1014 / 7.38",30.795,0.1259
"121.1015 / 3.65",-9.8585,-0.033606
"122.0575 / 5.02  MNa",125.9,0.57353
"123.0437 / 6.69",71.357,0.42621
"123.0445 / 2.10",34.475,0.45864
"123.0548 / 3.51",-71.304,-0.28375
"123.0554 / 4.10  MH",-5.6549,-0.04483
"123.0777 / 19.48",11.918,0.44209
"124.0244 / 1.08",39.343,0.42522
"124.0246 / 0.27",95.616,0.4572
"124.0389 / 2.77",-119.29,-0.50906
"124.0465 / 2.09",39.969,0.49688
"124.0510 / 13.39",124.27,0.51864
"124.0586 / 4.11",10.089,0.049981
"124.0754 / 5.20",72.607,0.32534
"126.0218 / 1.04",42.752,0.42792
"126.0915 / 10.44  MH",86.2,0.54872
"126.1280 / 13.57",201.66,0.61805
"127.0390 / 6.82  MH",113.71,0.41627
"127.0504 / 4.07",126.3,0.62357
"128.9852 / 1.85",-35.144,-0.73331
"129.0185 / 1.65",110.75,0.48964
"129.0659 / 10.59",70.446,0.3374
"129.1021 / 1.04",-53.38,-0.26897
"129.1385 / 1.00  MNH4",-103.35,-0.51631
"130.0498 / 4.13",57.418,0.35832
"130.0500 / 11.84",65.298,0.25764
"130.0501 / 1.43  MH",37.481,0.53252
"130.0501 / 10.59  MH",48.547,0.3211
"130.0502 / 2.26",22.232,0.27733
"130.0649 / 18.67",5.1101,0.03154
"130.0652 / 14.84",52.867,0.37257
"130.0861 / 1.12  MH",29.47,0.18909
"130.0868 / 1.80",39.003,0.45351
"130.1562 / 0.11",80.883,0.37673
"130.1562 / 10.18",20.37,0.089578
"130.1579 / 4.88",-1.3961,-0.0069766
"130.1589 / 8.84",7.4474,0.028312
"130.1589 / 9.37",34.998,0.18451
"130.9632 / 2.66",88.741,0.35453
"130.9633 / 0.43",34.279,0.091923
"130.9634 / 31.83",-4.8684,-0.036503
"130.9984 / 17.69",68.272,0.2599
"130.9985 / 0.29",1.3816,0.0058215
"130.9988 / 12.84",-2.6281,-0.011605
"130.9993 / 14.05",-98.691,-0.39276
"131.0493 / 2.80",36.368,0.44062
"132.0445 / 2.30  MNH4",50.567,0.3099
"132.0775 / 1.50",47.304,0.66109
"132.0809 / 4.22",37.269,0.42993
"132.1025 / 1.91",17.702,0.23669
"132.9043 / 0.47",82.704,0.3725
"132.9554 / 16.23",-40.263,-0.16338
"132.9554 / 4.53",99.354,0.34065
"132.9555 / 29.53",-0.4775,-0.020079
"132.9567 / 17.82",-69.659,-0.35274
"132.9579 / 13.28",-54.229,-0.20229
"132.9582 / 7.42",-8.7776,-0.034897
"132.9582 / 9.59",47.782,0.32723
"132.9583 / 12.07",-88.026,-0.41183
"132.9584 / 10.23",4.4543,0.016976
"132.9584 / 8.42",1.6768,0.011123
"132.9585 / 6.44",-0.84341,-0.0032088
"132.9586 / 2.69",11.92,0.22221
"132.9587 / 0.02",2.13,0.034181
"132.9587 / 1.87",13.956,0.15844
"132.9588 / 0.80",8.3468,0.16689
"132.9588 / 19.96",-72.707,-0.29901
"132.9589 / 14.28",54.205,0.20174
"132.9589 / 3.68",10.841,0.048719
"132.9590 / 12.68",-116.98,-0.49126
"132.9591 / 5.20",-39.807,-0.1953
"133.0315 / 1.77  MH",66.21,0.3919
"133.0318 / 1.04",38.168,0.39203
"133.9596 / 8.44",15.44,0.091962
"133.9608 / 9.32",-33.123,-0.19747
"134.0602 / 6.89",31.053,0.20263
"134.9298 / 1.80",-10.567,-0.13332
"135.0028 / 1.76",-11.683,-0.08939
"135.0303 / 3.15  MH",-23.327,-0.1243
"135.0806 / 17.12",-5.7173,-0.044695
"136.0146 / 4.13  MH",-50.358,-0.46211
"136.0394 / 5.38",93.308,0.42103
"136.0399 / 7.76  MH",135.78,0.69124
"136.0480 / 1.45  MNa",85.066,0.77052
"136.0605 / 3.72",37.434,0.22485
"136.0623 / 5.91",43.238,0.21213
"136.0736 / 8.30  MNa",-70.574,-0.35057
"136.0754 / 6.11",-2.0561,-0.0067071
"136.0757 / 10.59",46.852,0.26044
"136.0759 / 7.69",28.67,0.11243
"136.0762 / 2.10  MNH4",30.587,0.41262
"136.0762 / 3.04",-2.9382,-0.026984
"136.0762 / 4.48",27.652,0.16578
"137.0458 / 4.97",-102.83,-0.32001
"137.0462 / 5.97",-38.786,-0.16258
"137.0464 / 4.45",-47.421,-0.22238
"137.0465 / 3.88  MH",-48.072,-0.49084
"137.0596 / 6.92",131.11,0.52899
"137.0599 / 9.88",12.899,0.056073
"137.0602 / 4.83",-22.898,-0.083035
"137.0792 / 2.16",36.274,0.4473
"138.0480 / 3.92",-54.269,-0.50733
"138.0549 / 9.31",-8.6226,-0.02993
"138.0551 / 1.80",16.671,0.25437
"138.0553 / 10.70",-83.103,-0.31544
"138.0660 / 2.88  MNH4",8.7688,0.038355
"138.0664 / 12.44",199.05,0.65621
"138.0666 / 17.46  M",196.61,0.64222
"139.0019 / 2.02",71,0.35609
"139.0389 / 13.51",35.666,0.20178
"139.0391 / 10.09",138.16,0.67507
"139.0498 / 4.10",-25.072,-0.17666
"139.0501 / 5.59",75.637,0.50964
"139.0723 / 17.68",13.416,0.61734
"139.0751 / 17.02  MH",82.913,0.35489
"139.1125 / 22.62",11.7,0.34122
