"","Fold Change","log2(FC)"
"601.2698 / 2.34",0.00031048,-11.653
"548.2729 / 13.82",0.0003106,-11.653
"627.3718 / 16.27",0.00031067,-11.652
"490.2319 / 10.30",0.00031101,-11.651
"524.2674 / 8.28  MNa",0.00031086,-11.651
"616.6151 / 14.95  M3H3",0.00031091,-11.651
"689.3232 / 7.86  MNa-2H-",0.00031096,-11.651
"428.5438 / 10.33",0.00031123,-11.65
"363.6337 / 20.53",0.00031162,-11.648
"676.8661 / 10.72  M-2H2-",0.00031195,-11.646
"400.1873 / 8.67",0.00031225,-11.645
"893.3888 / 21.09",0.0003123,-11.645
"504.2654 / 9.35",0.00031241,-11.644
"504.2839 / 17.12",0.00031239,-11.644
"443.2485 / 11.51",0.000313,-11.642
"720.3193 / 14.25  M-H-",0.00031338,-11.64
"586.3021 / 16.75  M-2H2-",0.00031403,-11.637
"544.2970 / 13.77",0.00031421,-11.636
"520.2770 / 7.98  M2H2",0.00031504,-11.632
"560.2801 / 18.73  M3H3",0.00031505,-11.632
"826.4195 / 11.34  M-2H2-",0.00031508,-11.632
"964.4329 / 10.99  MNa-2H-",0.00031508,-11.632
"806.4019 / 14.47",0.00031533,-11.631
"418.7313 / 15.90",0.00031559,-11.63
"397.2462 / 18.70",0.00031549,-11.63
"727.3168 / 3.79",0.00031547,-11.63
"380.1914 / 6.34",0.00031575,-11.629
"435.2229 / 11.37  M-",0.00031602,-11.628
"555.3120 / 10.52",0.00031613,-11.627
"506.2460 / 5.20  MCH3OHH",0.00031657,-11.625
"745.3374 / 13.03",0.00031697,-11.623
"924.4919 / 10.81  M-H-",0.00031699,-11.623
"560.8033 / 16.08",0.00031725,-11.622
"537.2644 / 9.76  MNa-2H-",0.00031724,-11.622
"967.5059 / 19.26",0.00031749,-11.621
"340.1869 / 13.04  M-H2O-H-",0.00031836,-11.617
"506.2620 / 3.53  M-H-",0.00031844,-11.617
"538.2873 / 15.50  MNa",0.00031867,-11.616
"717.8270 / 14.55  M-2H2-",0.00031859,-11.616
"795.3170 / 11.26  MNa-2H-",0.00031865,-11.616
"744.2870 / 12.33",0.00031889,-11.615
"373.2456 / 13.11  MH",0.00031895,-11.614
"467.2369 / 9.93",0.00031895,-11.614
"510.2847 / 9.73  MNH4",0.00031897,-11.614
"493.2289 / 12.88",0.00031928,-11.613
"437.2034 / 7.03",0.0003198,-11.611
"441.1976 / 7.28  MNH4",0.00031959,-11.611
"526.3035 / 13.53  M2H2",0.00032001,-11.61
"341.2185 / 7.57  MH",0.00032014,-11.609
"336.1554 / 5.20",0.00032046,-11.608
"515.3168 / 3.38",0.00032033,-11.608
"586.3195 / 3.61",0.00032028,-11.608
"935.4985 / 18.72",0.0003203,-11.608
"389.2396 / 6.92",0.00032095,-11.605
"629.2964 / 14.41  M-2H2-",0.00032093,-11.605
"504.2060 / 12.92  MNa-2H-",0.00032123,-11.604
"629.3134 / 16.03",0.00032131,-11.604
"366.1655 / 5.99",0.00032149,-11.603
"548.2461 / 10.52  MK",0.0003217,-11.602
"586.2891 / 17.78",0.00032215,-11.6
"483.2571 / 14.82  M-2H2-",0.00032226,-11.599
"423.1845 / 8.05  MNa-2H-",0.00032304,-11.596
"435.2228 / 14.59",0.00032295,-11.596
"716.2929 / 10.59",0.00032338,-11.594
"587.3024 / 15.99  M-H-",0.00032358,-11.594
"554.7499 / 17.92",0.00032365,-11.593
"489.2136 / 5.48",0.00032395,-11.592
"584.2492 / 8.32",0.00032403,-11.592
"421.2554 / 7.94  MNH4",0.00032415,-11.591
"470.7351 / 17.82  MHNa2",0.00032408,-11.591
"648.3016 / 17.29",0.0003243,-11.59
"458.7073 / 17.53  M2",0.00032513,-11.587
"588.2746 / 6.91  MNa-2H-",0.0003251,-11.587
"400.2258 / 4.24",0.0003254,-11.585
"837.4005 / 14.98",0.00032561,-11.585
"402.6980 / 9.87  M",0.00032569,-11.584
"404.2475 / 4.99",0.00032564,-11.584
"390.2087 / 13.94",0.0003263,-11.582
"641.3525 / 15.85",0.00032618,-11.582
"743.3138 / 16.55  M-2H2-",0.00032621,-11.582
"744.3548 / 11.43",0.00032626,-11.582
"691.2580 / 18.67",0.00032647,-11.581
"294.1532 / 7.05",0.00032659,-11.58
"722.3346 / 14.24",0.00032694,-11.579
"687.8575 / 18.82  M2H2",0.00032699,-11.578
"567.3079 / 13.59  MNa",0.00032743,-11.577
"736.3514 / 15.01",0.00032726,-11.577
"497.7470 / 16.17  M2H2",0.0003276,-11.576
"429.7029 / 10.32  M-2H2-",0.00032761,-11.576
"671.6831 / 12.87  M3H3",0.00032778,-11.575
"814.3971 / 18.37",0.00032782,-11.575
"476.2706 / 6.58",0.00032803,-11.574
"528.2767 / 7.66",0.00032836,-11.572
"829.8479 / 18.18  M-2H2-",0.00032849,-11.572
"669.2673 / 8.66",0.00032863,-11.571
"432.1871 / 14.53",0.00032866,-11.571
"589.2926 / 6.39",0.00032896,-11.57
"776.2537 / 18.79",0.00032885,-11.57
"338.2005 / 11.44  M3H3",0.00032903,-11.569
"857.9493 / 12.85",0.00032915,-11.569
"644.3271 / 2.57",0.00032904,-11.569
"417.2343 / 8.12  M-H-",0.00032946,-11.568
"298.1403 / 8.89  M-H-",0.00032951,-11.567
"779.4194 / 4.98",0.00032983,-11.566
"534.5706 / 13.78  M3H3",0.00033,-11.565
"710.3016 / 13.40",0.00033013,-11.565
"552.2638 / 19.07",0.00033062,-11.563
"549.2675 / 12.03  MH",0.00033064,-11.562
"752.4243 / 15.58",0.00033067,-11.562
"357.2226 / 9.95",0.00033093,-11.561
"464.6809 / 14.46",0.00033127,-11.56
"471.5973 / 6.99  M3H3",0.00033135,-11.559
"799.3690 / 12.11  MNa",0.00033138,-11.559
"433.2045 / 17.93  MNa-2H-",0.00033176,-11.558
"486.2580 / 9.77",0.00033217,-11.556
"339.6875 / 10.24  M2H2",0.00033255,-11.554
"520.2260 / 14.75",0.00033258,-11.554
"524.2216 / 13.42",0.00033272,-11.553
"573.8019 / 10.04",0.00033289,-11.553
"450.7552 / 14.84",0.00033325,-11.551
"795.3913 / 8.86  M-H-",0.00033358,-11.55
"490.2512 / 4.79",0.00033369,-11.549
"583.8416 / 16.27  M2H2",0.00033383,-11.549
"685.3250 / 13.79  MNa",0.00033402,-11.548
"359.2406 / 4.94",0.0003342,-11.547
"388.2011 / 7.12",0.00033436,-11.546
"558.2403 / 3.03",0.00033448,-11.546
"777.3873 / 12.14  MH",0.00033489,-11.544
"343.1977 / 6.72",0.00033537,-11.542
"448.7634 / 19.46",0.00033548,-11.541
"536.2080 / 19.10  M-2H2-",0.00033567,-11.541
"872.4528 / 19.85  M-H-",0.0003356,-11.541
"989.5024 / 14.85  MNa-2H-",0.00033549,-11.541
"863.4605 / 12.68  MNa-2H-",0.00033592,-11.54
"463.2558 / 12.00",0.00033611,-11.539
"482.2246 / 4.09  MNa",0.0003362,-11.538
"508.2755 / 3.51",0.00033629,-11.538
"552.3007 / 14.05  MNa",0.00033657,-11.537
"572.2450 / 11.52",0.00033641,-11.537
"453.1977 / 5.17  MAcO-H-",0.00033678,-11.536
"389.7012 / 9.03",0.00033694,-11.535
"562.2981 / 16.62  M2H2",0.00033704,-11.535
"374.2069 / 16.50",0.00033716,-11.534
"517.2665 / 15.74",0.00033727,-11.534
"703.3227 / 17.89",0.00033733,-11.534
"532.2906 / 3.49  MH",0.00033778,-11.532
"573.9271 / 15.60  M3H3",0.00033768,-11.532
"537.1923 / 6.60",0.00033779,-11.532
"381.1776 / 3.86",0.00033799,-11.531
"423.2470 / 10.04  MNH4",0.00033815,-11.53
"443.2406 / 10.91  M2H2",0.00033823,-11.53
"845.4156 / 9.60  M-H-",0.00033847,-11.529
"704.3971 / 19.78  MH",0.00033933,-11.525
"728.3943 / 5.58",0.00033943,-11.525
"613.2941 / 7.08  M-H-",0.00033974,-11.523
"336.6574 / 3.08",0.00034002,-11.522
"659.8113 / 13.30",0.00034006,-11.522
"541.7546 / 15.05  M2H2",0.00034022,-11.521
"692.3969 / 18.91",0.00034033,-11.521
"374.1895 / 7.19  M3H3",0.0003404,-11.52
"376.2098 / 11.79",0.00034054,-11.52
"735.3861 / 11.29",0.00034042,-11.52
"389.7308 / 3.72",0.00034084,-11.519
"422.5888 / 12.88  M3H3",0.00034134,-11.516
"393.6569 / 13.52  M-2H2-",0.00034159,-11.515
"646.3028 / 6.50",0.00034201,-11.514
"813.3887 / 14.06",0.00034196,-11.514
"628.3482 / 11.72  M2H2",0.00034206,-11.513
"454.2289 / 16.72",0.00034234,-11.512
"602.3516 / 4.91",0.00034229,-11.512
"512.7746 / 13.42  M2H2",0.00034268,-11.511
"590.3105 / 15.98",0.00034254,-11.511
"686.3984 / 16.91",0.0003433,-11.508
"474.2926 / 14.46",0.00034371,-11.507
"315.6834 / 7.70",0.00034386,-11.506
"473.2257 / 8.42  MFA-H-",0.00034378,-11.506
"555.7585 / 17.96  M-2H2-",0.00034396,-11.505
"382.1943 / 7.26",0.00034438,-11.504
"578.2495 / 7.35",0.00034436,-11.504
"803.3707 / 15.46",0.00034442,-11.504
"833.3073 / 14.41  MNa-2H-",0.00034421,-11.504
"526.2309 / 12.53  MHK2",0.00034464,-11.503
"334.1766 / 13.33  M-H-",0.00034457,-11.503
"572.3118 / 7.54",0.00034494,-11.501
"470.2972 / 16.82",0.00034491,-11.501
"372.6858 / 12.82",0.00034518,-11.5
"738.3684 / 17.63  MNH4",0.00034548,-11.499
"533.2059 / 13.05",0.00034566,-11.498
"712.3395 / 8.10  MNa-2H-",0.00034574,-11.498
"329.1956 / 7.98",0.00034599,-11.497
"435.2230 / 13.71",0.00034594,-11.497
"723.3901 / 14.81  M-2H2-",0.00034602,-11.497
"423.2236 / 2.15",0.00034699,-11.493
"472.2044 / 12.96",0.00034685,-11.493
"400.7136 / 10.30  M2H2",0.0003473,-11.492
"594.2884 / 12.11",0.00034708,-11.492
"506.2420 / 14.35  M-2H2-",0.00034707,-11.492
"399.8714 / 9.36  M3H3",0.00034778,-11.49
"677.3196 / 19.58  M-2H2-",0.00034799,-11.489
"904.4501 / 17.61",0.00034798,-11.489
"428.5722 / 15.98",0.00034883,-11.485
"773.3437 / 11.97",0.00034902,-11.484
"409.1718 / 4.83",0.00034943,-11.483
"567.5939 / 17.79  M3H3",0.00034955,-11.482
"774.3820 / 14.45",0.00034977,-11.481
"595.2532 / 14.18",0.00035003,-11.48
"450.1951 / 6.98  M2H2",0.00035061,-11.478
"507.2220 / 6.79",0.00035047,-11.478
"528.2284 / 12.13",0.00035079,-11.477
"430.7148 / 2.73",0.00035098,-11.476
"782.8573 / 18.69  M2H2",0.00035137,-11.475
"916.3691 / 17.18",0.00035138,-11.475
"524.1299 / 9.67",0.00035131,-11.475
"423.2210 / 9.56  2MNa",0.00035156,-11.474
"520.2387 / 8.80  MNa",0.0003519,-11.473
"868.3903 / 19.31  M2H2",0.00035189,-11.473
"579.2237 / 15.25",0.00035202,-11.472
"573.2113 / 18.98",0.00035209,-11.472
"679.3303 / 17.70",0.00035225,-11.471
"480.2086 / 6.41",0.00035281,-11.469
"612.2634 / 19.01  MNa-2H-",0.00035287,-11.469
"457.2179 / 13.04",0.00035293,-11.468
"736.3289 / 19.64  M-H-",0.00035315,-11.467
"486.2188 / 12.08",0.00035403,-11.464
"640.8367 / 13.14",0.00035427,-11.463
"533.9450 / 11.34",0.0003545,-11.462
"690.3686 / 16.17",0.00035444,-11.462
"360.1393 / 12.13",0.00035478,-11.461
"740.4221 / 18.39",0.0003547,-11.461
"486.2554 / 7.32  MCH3OHH",0.00035503,-11.46
"468.3176 / 5.48",0.00035507,-11.46
"704.3360 / 13.58  M-2H2-",0.00035509,-11.46
"544.2746 / 4.64",0.00035516,-11.459
"437.2273 / 6.78",0.00035548,-11.458
"819.4110 / 15.85",0.00035563,-11.457
"902.4701 / 15.04  MNa-2H-",0.00035593,-11.456
"506.7952 / 11.44  M2H2",0.00035627,-11.455
"375.1536 / 5.13",0.00035617,-11.455
"539.2171 / 16.12",0.00035746,-11.45
"298.1767 / 4.72",0.00035806,-11.448
"692.3639 / 16.08  M3H3",0.00035814,-11.447
"630.2965 / 18.85",0.00035825,-11.447
"488.7753 / 7.69",0.00035864,-11.445
"515.2297 / 17.21",0.00035871,-11.445
"520.7506 / 7.15  M2H2",0.00035861,-11.445
"742.2682 / 12.34  MK-2H-",0.00035878,-11.445
"673.2581 / 13.50",0.00035888,-11.444
"592.2774 / 19.07",0.00035897,-11.444
"956.5404 / 10.83",0.00035896,-11.444
"578.7753 / 16.91  M-2H2-",0.00035915,-11.443
"690.3837 / 18.93",0.00035921,-11.443
"588.3338 / 3.60",0.00035996,-11.44
"425.2477 / 3.46  MNH4",0.00036019,-11.439
"858.4488 / 12.85",0.00036014,-11.439
"398.1817 / 4.72",0.00036027,-11.439
"594.2503 / 8.90  MNa-2H-",0.00036031,-11.438
"630.3251 / 14.75",0.0003608,-11.437
"542.2809 / 17.42",0.00036109,-11.435
"542.7867 / 17.84  M-2H2-",0.00036156,-11.433
"663.3416 / 13.82  MH",0.00036181,-11.432
"545.2579 / 14.38",0.00036192,-11.432
"660.2978 / 18.60",0.00036212,-11.431
"433.2648 / 13.71",0.00036254,-11.43
"681.2908 / 17.20",0.00036236,-11.43
"533.7645 / 16.46  M2H2",0.00036269,-11.429
"422.2431 / 11.59",0.00036417,-11.423
"500.2397 / 11.11",0.00036446,-11.422
"439.2168 / 9.36  MNa",0.00036466,-11.421
"827.3518 / 6.63",0.00036467,-11.421
"598.3569 / 18.02",0.00036485,-11.42
"307.1515 / 3.66",0.00036527,-11.419
"772.3963 / 7.49  M-H-",0.00036511,-11.419
"475.2240 / 11.80  M-2H2-",0.00036552,-11.418
"571.2346 / 3.38",0.00036581,-11.417
"563.2119 / 15.27  MNa-2H-",0.00036565,-11.417
"458.6897 / 17.21",0.00036596,-11.416
"594.2398 / 9.47",0.00036601,-11.416
"695.8538 / 15.97",0.00036607,-11.416
"520.7384 / 18.44  M-2H2-",0.00036594,-11.416
"621.2513 / 6.67",0.00036623,-11.415
"835.3902 / 12.10",0.00036612,-11.415
"519.2558 / 12.15",0.00036673,-11.413
"393.2242 / 7.10",0.00036696,-11.412
"575.2515 / 15.59  MHK2",0.00036704,-11.412
"475.7524 / 15.92",0.00036727,-11.411
"663.8248 / 13.91  M2H2",0.00036768,-11.409
"494.2075 / 12.96",0.00036793,-11.408
"599.3023 / 8.05",0.00036868,-11.405
"547.7757 / 18.47",0.00036937,-11.403
"820.4187 / 14.71  M-H-",0.00036917,-11.403
"442.2271 / 12.95",0.00036984,-11.401
"505.2967 / 11.87",0.00036969,-11.401
"575.3049 / 8.92  M-H-",0.00036984,-11.401
"425.7200 / 11.64  MHNH42",0.00037008,-11.4
"486.2548 / 11.18",0.00037036,-11.399
"732.4304 / 19.83  MH",0.00037047,-11.398
"612.2776 / 3.47",0.00037047,-11.398
"427.2202 / 10.27",0.00037079,-11.397
"530.3086 / 2.07",0.0003708,-11.397
"613.2937 / 3.63",0.00037074,-11.397
"568.2970 / 3.36",0.00037116,-11.396
"624.2609 / 7.31",0.00037124,-11.395
"470.2239 / 12.53",0.00037157,-11.394
"629.3690 / 16.59",0.00037146,-11.394
"470.1873 / 11.59",0.00037207,-11.392
"449.2060 / 6.49",0.00037233,-11.391
"752.3291 / 19.23  M-H-",0.00037244,-11.391
"582.2857 / 16.03",0.00037269,-11.39
"687.4035 / 3.74  M-H-",0.00037258,-11.39
"610.2810 / 14.34  MTFA-H-",0.00037287,-11.389
"739.3635 / 18.62",0.00037314,-11.388
"529.2585 / 15.79  M3H3",0.0003737,-11.386
"639.2694 / 18.08  M3H3",0.00037392,-11.385
"545.2606 / 12.80",0.00037408,-11.384
"449.2026 / 11.23",0.00037418,-11.384
"531.2502 / 12.88",0.00037465,-11.382
"445.2284 / 7.45",0.00037498,-11.381
"444.7381 / 11.17",0.00037517,-11.38
"522.2399 / 14.74",0.00037513,-11.38
"361.2079 / 6.01",0.00037554,-11.379
"729.2837 / 7.58  2MNa-2H-",0.00037577,-11.378
"444.2453 / 7.91",0.00037611,-11.377
"579.3244 / 8.45",0.00037594,-11.377
"428.2236 / 11.77",0.0003762,-11.376
"811.4449 / 10.79",0.00037654,-11.375
"485.2595 / 11.75",0.00037693,-11.373
"874.5272 / 10.97",0.00037695,-11.373
"420.6985 / 14.63",0.00037777,-11.37
"661.3676 / 5.10",0.00037809,-11.369
"458.2698 / 13.77  MNH4",0.00037836,-11.368
"197.0680 / 4.98",2642.5,11.368
"653.3101 / 19.42  M-H-",0.00037824,-11.368
"297.0486 / 14.01",2641.3,11.367
"522.5005 / 12.40",0.00037883,-11.366
"558.2881 / 4.66",0.00037949,-11.364
"387.6990 / 6.21",0.00037962,-11.363
"799.3724 / 15.42",0.00037971,-11.363
"389.2455 / 3.83",0.00038045,-11.36
"372.1574 / 17.93",0.00038067,-11.359
"826.9207 / 11.33",0.00038103,-11.358
"435.1915 / 10.98",0.00038129,-11.357
"593.2903 / 19.42  MNa-2H-",0.00038162,-11.356
"175.1197 / 4.98",0.0003819,-11.355
"512.7877 / 13.38",0.0003817,-11.355
"825.4445 / 17.83",0.00038181,-11.355
"428.0587 / 14.12",0.00038193,-11.354
"449.5027 / 7.41",0.00038191,-11.354
"735.3303 / 11.48",0.00038202,-11.354
"587.3033 / 5.99",0.00038235,-11.353
"848.4251 / 12.99",0.00038227,-11.353
"384.1809 / 6.21",0.00038264,-11.352
"671.3439 / 18.87  M-H-",0.00038285,-11.351
"742.3965 / 19.29",0.00038309,-11.35
"767.3334 / 19.44  MNa-2H-",0.00038348,-11.349
"869.4708 / 9.00",0.0003837,-11.348
"848.8909 / 18.83  M-2H2-",0.00038358,-11.348
"385.7002 / 10.68",0.00038386,-11.347
"344.2171 / 8.05",0.00038384,-11.347
"378.6987 / 18.33",0.00038451,-11.345
"745.3246 / 11.07",0.00038489,-11.343
"918.4776 / 17.82",0.00038496,-11.343
"385.2450 / 12.36",0.00038505,-11.343
"529.1927 / 9.85",0.00038483,-11.343
"600.2243 / 15.11",0.00038487,-11.343
"563.8000 / 18.31  M2H2",0.00038532,-11.342
"414.1649 / 12.37",0.00038512,-11.342
"644.3637 / 10.54  M-H-",0.00038557,-11.341
"491.2307 / 5.46",0.00038612,-11.339
"555.7934 / 8.85",0.00038611,-11.339
"525.3019 / 14.51",0.00038597,-11.339
"421.7056 / 6.99  M2H2",0.00038669,-11.337
"591.2972 / 10.51",0.00038645,-11.337
"459.2609 / 16.14",0.00038686,-11.336
"616.3661 / 10.25",0.00038685,-11.336
"330.1660 / 3.77",0.00038675,-11.336
"331.1413 / 5.20",0.0003875,-11.334
"429.2162 / 12.66",0.00038743,-11.334
"527.2134 / 14.06  M-H-",0.00038729,-11.334
"619.3097 / 14.88",0.00038773,-11.333
"583.3202 / 5.51",0.00038816,-11.331
"640.3297 / 1.97",0.00038821,-11.331
"498.2573 / 15.72",0.0003885,-11.33
"433.7239 / 10.18",0.00038868,-11.329
"170.0597 / 5.10",0.00038902,-11.328
"583.2517 / 14.57  M-2H2-",0.00038906,-11.328
"638.3513 / 16.44",0.00038886,-11.328
"679.2923 / 16.19",0.00038907,-11.328
"598.2822 / 14.02",0.00038913,-11.327
"343.7203 / 4.76",0.00038981,-11.325
"496.2412 / 16.17  MHK2",0.00038976,-11.325
"441.1494 / 6.63",0.00038997,-11.324
"787.7395 / 14.72",0.00039015,-11.324
"788.8749 / 18.67  M-2H2-",0.00039011,-11.324
"482.2986 / 13.34  M-H2O-H-",0.00039041,-11.323
"373.2087 / 8.09  MCH3OHH",0.00039049,-11.322
"512.2460 / 10.57",0.00039087,-11.321
"439.2166 / 16.54",0.00039135,-11.319
"884.4284 / 13.18",0.00039141,-11.319
"171.1131 / 11.44",0.00039176,-11.318
"458.8896 / 6.64  M3H3",0.00039174,-11.318
"460.3125 / 2.54",0.00039157,-11.318
"490.2673 / 5.24",0.00039174,-11.318
"357.2449 / 5.33",0.0003919,-11.317
"590.3206 / 16.54",0.00039192,-11.317
"698.2751 / 3.51",0.0003928,-11.314
"475.2874 / 5.13",0.00039343,-11.312
"736.3768 / 11.33",0.00039323,-11.312
"399.2257 / 17.17",0.00039369,-11.311
"423.2337 / 3.47",0.00039386,-11.31
"700.2925 / 3.46",0.00039409,-11.309
"701.3832 / 14.28",0.00039453,-11.308
"334.1761 / 9.95",0.00039455,-11.307
"351.7066 / 7.79",0.00039507,-11.306
"629.3143 / 13.68",0.00039525,-11.305
"485.7587 / 11.12",0.00039594,-11.302
"575.2775 / 16.98",0.00039601,-11.302
"874.4828 / 13.76",0.00039604,-11.302
"453.9985 / 10.28",0.00039647,-11.301
"382.1938 / 10.30",0.00039643,-11.301
"920.6281 / 24.73  MAcO-H-",0.00039647,-11.301
"614.3382 / 19.23",0.00039672,-11.3
"386.2565 / 9.95",0.00039727,-11.298
"523.2388 / 12.65",0.00039768,-11.296
"588.7165 / 19.67",0.00039812,-11.295
"401.2042 / 15.08",0.00039815,-11.294
"729.2928 / 17.71  M-2H2-",0.00039916,-11.291
"535.2089 / 17.61",0.00039937,-11.29
"579.3114 / 16.47  MNa-2H-",0.00039935,-11.29
"463.7371 / 14.70  M2H2",0.00039953,-11.289
"578.2819 / 14.16",0.00039959,-11.289
"655.2927 / 9.62",0.00039983,-11.288
"379.1440 / 6.55",0.00039984,-11.288
"463.7132 / 16.59",0.00040028,-11.287
"912.4076 / 18.63",0.00040087,-11.285
"357.2126 / 9.66",0.00040135,-11.283
"486.2557 / 15.82",0.00040167,-11.282
"457.3039 / 17.81",0.00040185,-11.281
"674.2714 / 18.75",0.00040192,-11.281
"738.3693 / 14.04",0.00040226,-11.28
"347.6800 / 6.82",0.00040246,-11.279
"387.7209 / 10.67",0.00040246,-11.279
"415.7064 / 13.68",0.0004024,-11.279
"591.2715 / 13.64",0.00040244,-11.279
"432.2551 / 14.99",0.00040273,-11.278
"449.7203 / 14.74",0.00040279,-11.278
"990.5403 / 18.82",0.0004029,-11.277
"481.1961 / 12.47  MNa-2H-",0.00040321,-11.276
"625.3155 / 10.35  MNa",0.00040345,-11.275
"468.2812 / 10.20",0.00040399,-11.273
"896.4694 / 9.41",0.00040463,-11.271
"479.2137 / 11.63  3M-H-",0.00040593,-11.266
"877.4592 / 16.31",0.00040612,-11.266
"776.4204 / 17.42",0.00040648,-11.265
"478.2287 / 8.37  MNa-2H-",0.00040643,-11.265
"505.2290 / 18.18",0.00040628,-11.265
"519.2555 / 10.42",0.00040628,-11.265
"326.1719 / 9.32  M-H2O-H-",0.00040669,-11.264
"832.2845 / 13.49",0.00040679,-11.263
"723.3775 / 8.73",0.00040716,-11.262
"437.7394 / 12.63  M2H2",0.00040758,-11.261
"719.3718 / 17.10  MNa-2H-",0.00040744,-11.261
"706.3786 / 9.27  M-H-",0.00040785,-11.26
"261.1269 / 4.50",0.00040879,-11.256
"695.2939 / 19.01  MBr-",0.00040878,-11.256
"489.2292 / 5.07",0.00040905,-11.255
"981.5508 / 14.42",0.00040929,-11.255
"870.4003 / 16.08",0.00040963,-11.253
"453.2346 / 9.64",0.00040992,-11.252
"530.3094 / 11.73",0.00040998,-11.252
"364.7155 / 7.94",0.00041018,-11.251
"866.4260 / 18.21  M3H3",0.00041029,-11.251
"651.2992 / 18.88",0.0004104,-11.251
"314.1716 / 11.98  MH",0.00041121,-11.248
"493.2668 / 17.53",0.00041178,-11.246
"245.1267 / 7.34",0.00041194,-11.245
"517.7353 / 15.14",0.00041222,-11.244
"736.3368 / 8.14  MNa",0.00041221,-11.244
"428.0690 / 14.06",0.00041324,-11.241
"521.2717 / 10.44  MNH4",0.00041354,-11.24
"386.1633 / 11.26",0.00041351,-11.24
"516.3020 / 13.04",0.00041337,-11.24
"632.3401 / 8.52",0.00041333,-11.24
"453.9868 / 10.31",0.00041363,-11.239
"520.2800 / 14.21",0.00041376,-11.239
"787.4564 / 18.67",0.00041421,-11.237
"553.2971 / 10.54  M-H-",0.00041462,-11.236
"628.4027 / 11.35",0.00041464,-11.236
"400.5612 / 9.49",0.00041489,-11.235
"645.6647 / 14.97  M3H3",0.00041481,-11.235
"496.2631 / 14.82  MHNa2",0.00041507,-11.234
"642.3234 / 13.15",0.00041526,-11.234
"444.2435 / 4.69",0.00041553,-11.233
"543.2843 / 16.92",0.000416,-11.231
"487.7605 / 9.13",0.00041656,-11.229
"522.8286 / 19.53  M2H2",0.00041692,-11.228
"376.2037 / 7.54",0.00041681,-11.228
"599.7801 / 15.89  M-2H2-",0.00041728,-11.227
"475.2565 / 13.91",0.00041735,-11.226
"406.6628 / 13.50",0.00041782,-11.225
"410.7220 / 18.65",0.00041768,-11.225
"210.9998 / 4.72",0.00041783,-11.225
"479.2068 / 13.07",0.00041783,-11.225
"577.2820 / 9.86",0.0004184,-11.223
"452.1779 / 11.64  MNa",0.00041935,-11.22
"556.0580 / 19.10  M4H4",0.00041936,-11.22
"589.2080 / 15.54",0.00041934,-11.22
"499.1678 / 12.58",0.00041956,-11.219
"819.3828 / 12.68  MH",0.00042015,-11.217
"948.4560 / 17.61",0.00042024,-11.217
"540.3138 / 13.77  M-H-",0.00042173,-11.211
"563.2803 / 12.26",0.00042184,-11.211
"504.2660 / 10.15",0.00042221,-11.21
"609.2872 / 11.86  MNa-2H-",0.00042205,-11.21
"637.2843 / 16.05",0.00042229,-11.209
"419.2200 / 16.07",0.00042286,-11.208
"388.1788 / 11.28",0.00042299,-11.207
"876.4663 / 16.76",0.00042344,-11.206
"585.2532 / 9.39",0.00042351,-11.205
"369.2118 / 4.57",0.00042363,-11.205
"587.3293 / 13.87",0.00042373,-11.205
"335.1685 / 11.41",0.00042393,-11.204
"442.2675 / 9.83",0.00042399,-11.204
"491.2354 / 9.47",0.00042464,-11.201
"496.2867 / 14.34  M-H-",0.00042517,-11.2
"594.2423 / 14.57  M-2H2-",0.00042514,-11.2
"907.4559 / 18.54  M-2H2-",0.00042518,-11.2
"99.9257 / 12.53",0.00042536,-11.199
"518.2734 / 17.68  M2H2",0.00042567,-11.198
"615.3079 / 7.10",0.0004258,-11.198
"447.2589 / 17.64",0.00042603,-11.197
"366.2029 / 14.17",0.00042675,-11.194
"675.3468 / 15.15  M3H3",0.00042722,-11.193
"488.6900 / 19.37",0.00042711,-11.193
"800.4517 / 17.20",0.00042745,-11.192
"858.4684 / 15.77  M-H-",0.00042741,-11.192
"713.3564 / 8.80",0.00042763,-11.191
"432.2447 / 6.62",0.00042808,-11.19
"643.3297 / 9.78",0.00042851,-11.188
"472.2764 / 14.44",0.00042909,-11.186
"661.3164 / 16.47",0.00042919,-11.186
"519.7671 / 11.65",0.00042942,-11.185
"286.1768 / 6.78",0.00042959,-11.185
"382.1756 / 15.64",0.0004296,-11.185
"488.1982 / 8.81",0.00042963,-11.185
"371.2292 / 7.83",0.00042978,-11.184
"461.1661 / 14.81",0.00043015,-11.183
"572.2931 / 8.48",0.0004302,-11.183
"699.4032 / 18.59",0.00043021,-11.183
"635.3097 / 18.20  M2H2",0.00043046,-11.182
"222.9651 / 19.03",0.00043048,-11.182
"783.3487 / 15.64  M-H2O-H-",0.00043028,-11.182
"529.2619 / 15.89",0.00043065,-11.181
"437.7144 / 15.05  M2H2",0.00043216,-11.176
"802.3221 / 5.33",0.00043259,-11.175
"510.2548 / 6.94",0.00043401,-11.17
"764.3379 / 14.76",0.00043414,-11.17
"426.2096 / 6.68",0.00043428,-11.169
"568.3097 / 9.42  MNH4",0.00043434,-11.169
"430.3012 / 10.55",0.0004347,-11.168
"505.1971 / 13.27",0.00043516,-11.166
"726.3471 / 18.94  M2H2",0.0004356,-11.165
"568.2750 / 2.75  MAcO-H-",0.00043563,-11.165
"454.2662 / 15.89",0.00043575,-11.164
