"","Fold Change","log2(FC)"
"753.4254 / 11.79  M-H-",4.2508e-05,-14.522
"422.2507 / 12.64",4.2536e-05,-14.521
"512.2461 / 6.68",4.2558e-05,-14.52
"552.3109 / 17.73  M2H2",4.278e-05,-14.513
"482.2236 / 12.92  M-H-",4.3023e-05,-14.505
"356.6859 / 3.96  M2H2",4.3065e-05,-14.503
"401.2760 / 13.85",4.35e-05,-14.489
"334.1376 / 11.96  MNa-2H-",4.3587e-05,-14.486
"358.1973 / 13.65  M-H-",4.3591e-05,-14.486
"522.2210 / 17.20  M-2H2-",4.3957e-05,-14.474
"576.2576 / 17.53  M2H2",4.4055e-05,-14.47
"732.3934 / 18.37",4.4148e-05,-14.467
"923.4961 / 17.83  M-H-",4.4277e-05,-14.463
"543.3157 / 13.59  M-H-",4.4407e-05,-14.459
"861.1418 / 18.39",4.4455e-05,-14.457
"502.7740 / 10.52  M2H2",4.4629e-05,-14.452
"501.2305 / 7.93  M-H-",4.4622e-05,-14.452
"516.3035 / 15.53  MH",4.4889e-05,-14.443
"590.2311 / 13.59  MH",4.5048e-05,-14.438
"378.2022 / 12.88",4.5337e-05,-14.429
"684.4405 / 2.42",4.5528e-05,-14.423
"779.9027 / 18.68  M2H2",4.5648e-05,-14.419
"745.4296 / 19.75  MH",4.594e-05,-14.41
"774.4356 / 3.74  M-H-",4.6069e-05,-14.406
"343.7335 / 2.48",4.6195e-05,-14.402
"500.2717 / 8.30  M-H-",4.6481e-05,-14.393
"520.3131 / 9.10",4.682e-05,-14.383
"814.4673 / 9.41",4.7036e-05,-14.376
"373.2825 / 3.69",4.7165e-05,-14.372
"509.2575 / 12.52",4.7213e-05,-14.37
"532.2345 / 14.20  M2H2",4.7252e-05,-14.369
"423.2236 / 10.54",4.7464e-05,-14.363
"409.2281 / 9.83",4.7477e-05,-14.362
"476.2141 / 5.73",4.751e-05,-14.361
"406.1654 / 16.27  MH",4.7636e-05,-14.358
"470.2724 / 11.54",4.7713e-05,-14.355
"639.3460 / 14.54  M-H2O-H-",4.7788e-05,-14.353
"729.3917 / 19.54",4.8078e-05,-14.344
"376.2112 / 14.66  M2H2",4.8193e-05,-14.341
"803.3808 / 15.46  MH",4.8505e-05,-14.332
"636.3357 / 19.68",4.8494e-05,-14.332
"471.2570 / 7.04  MNH4",4.8568e-05,-14.33
"388.7287 / 3.76  M2H2",4.8868e-05,-14.321
"552.6289 / 11.33  M3H3",4.9029e-05,-14.316
"573.8207 / 12.29  M2H2",4.9145e-05,-14.313
"543.2464 / 15.30",4.9256e-05,-14.309
"753.3889 / 12.12",4.96e-05,-14.299
"601.3185 / 10.29  M-H-",4.9744e-05,-14.295
"426.1709 / 9.89",5.0356e-05,-14.277
